ros_time_s,Error_Distancia
1762170796.1115,-0.0409
1762170796.1490,-0.0409
1762170796.1997,-0.0409
1762170796.2606,-0.0042
1762170796.2993,-0.0042
1762170796.3497,-0.0042
1762170796.3989,-0.0042
1762170796.4616,-0.0182
1762170796.4993,-0.0182
1762170796.5484,-0.0182
1762170796.6064,-0.0017
1762170796.6493,-0.0017
1762170796.6991,-0.0017
1762170796.7579,-0.0029
1762170796.7992,-0.0029
1762170796.8486,-0.0029
1762170796.9025,-0.0261
1762170796.9478,-0.0261
1762170796.9976,-0.0261
1762170797.0478,-0.0261
1762170797.1061,-0.0297
1762170797.1504,-0.0297
1762170797.1992,-0.0297
1762170797.2602,-0.0119
1762170797.2988,-0.0119
1762170797.3493,-0.0119
1762170797.3993,-0.0119
1762170797.4592,0.0278
1762170797.4997,0.0278
1762170797.5480,0.0278
1762170797.6342,-0.0120
1762170797.6481,-0.0120
1762170797.6993,-0.0120
1762170797.7608,0.0181
1762170797.7993,0.0181
1762170797.8489,0.0181
1762170797.8992,0.0181
1762170797.9608,-0.0114
1762170797.9992,-0.0114
1762170798.0492,-0.0114
1762170798.1122,0.0197
1762170798.1492,0.0197
1762170798.1990,0.0197
1762170798.2592,0.0361
1762170798.2991,0.0361
1762170798.3478,0.0361
1762170798.4027,0.0236
1762170798.4477,0.0236
1762170798.4980,0.0236
1762170798.5482,0.0236
1762170798.6048,0.0322
1762170798.6477,0.0322
1762170798.6981,0.0322
1762170798.7488,0.0322
1762170798.8109,0.0023
1762170798.8492,0.0023
1762170798.8986,0.0023
1762170798.9615,0.0553
1762170798.9993,0.0553
1762170799.0492,0.0553
1762170799.1113,0.0298
1762170799.1490,0.0298
1762170799.1992,0.0298
1762170799.2583,0.0499
1762170799.2988,0.0499
1762170799.3493,0.0499
1762170799.3978,0.0499
1762170799.4623,0.0195
1762170799.4991,0.0195
1762170799.5489,0.0195
1762170799.6104,0.0157
1762170799.6490,0.0157
1762170799.6992,0.0157
1762170799.7568,0.0215
1762170799.7983,0.0215
1762170799.8487,0.0215
1762170799.8990,0.0215
1762170799.9616,0.0201
1762170799.9982,0.0201
1762170800.0489,0.0201
1762170800.1119,0.0263
1762170800.1490,0.0263
1762170800.1991,0.0263
1762170800.2568,0.0241
1762170800.2987,0.0241
1762170800.3483,0.0241
1762170800.3982,0.0241
1762170800.4571,0.0077
1762170800.4989,0.0077
1762170800.5479,0.0077
1762170800.6094,-0.0023
1762170800.6484,-0.0023
1762170800.6994,-0.0023
1762170800.7588,0.0189
1762170800.7984,0.0189
1762170800.8483,0.0189
1762170800.8984,0.0189
1762170800.9565,-0.0195
1762170800.9984,-0.0195
1762170801.0482,-0.0195
1762170801.1073,0.0112
1762170801.1476,0.0112
1762170801.1984,0.0112
1762170801.2483,0.0112
1762170801.3071,-0.0033
1762170801.3483,-0.0033
1762170801.3982,-0.0033
1762170801.4566,0.0073
1762170801.4983,0.0073
1762170801.5481,0.0073
1762170801.6072,0.0069
1762170801.6482,0.0069
1762170801.6982,0.0069
1762170801.7482,0.0069
1762170801.8070,0.0099
1762170801.8480,0.0099
1762170801.8982,0.0099
1762170801.9573,-0.0100
1762170801.9984,-0.0100
1762170802.0483,-0.0100
1762170802.1109,0.0007
1762170802.1483,0.0007
1762170802.1993,0.0007
1762170802.2572,0.0125
1762170802.2991,0.0125
1762170802.3484,0.0125
1762170802.3993,0.0125
1762170802.4580,0.0141
1762170802.4989,0.0141
1762170802.5484,0.0141
1762170802.6099,0.0089
1762170802.6482,0.0089
1762170802.6978,0.0089
1762170802.7612,-0.0312
1762170802.8000,-0.0312
1762170802.8488,-0.0312
1762170802.8999,-0.0312
1762170802.9564,-0.0208
1762170802.9994,-0.0208
1762170803.0484,-0.0208
1762170803.1096,-0.0109
1762170803.1487,-0.0109
1762170803.1991,-0.0109
1762170803.2569,-0.0069
1762170803.2994,-0.0069
1762170803.3489,-0.0069
1762170803.3999,-0.0069
1762170803.4584,-0.0253
1762170803.4992,-0.0253
1762170803.5485,-0.0253
1762170803.6118,-0.0234
1762170803.6482,-0.0234
1762170803.6994,-0.0234
1762170803.7587,-0.0339
1762170803.7993,-0.0339
1762170803.8483,-0.0339
1762170803.9108,-0.0245
1762170803.9481,-0.0245
1762170803.9983,-0.0245
1762170804.0589,-0.0345
1762170804.0981,-0.0345
1762170804.1484,-0.0345
1762170804.1982,-0.0345
1762170804.2597,-0.0218
1762170804.2983,-0.0218
1762170804.3483,-0.0218
1762170804.4101,-0.0110
1762170804.4477,-0.0110
1762170804.4992,-0.0110
1762170804.5483,-0.0110
1762170804.6065,-0.0081
1762170804.6483,-0.0081
1762170804.6981,-0.0081
1762170804.7578,0.0005
1762170804.7988,0.0005
1762170804.8483,0.0005
1762170804.9080,-0.0008
1762170804.9483,-0.0008
1762170804.9992,-0.0008
1762170805.0484,-0.0008
1762170805.1075,0.0148
1762170805.1482,0.0148
1762170805.1992,0.0148
1762170805.2569,0.0035
1762170805.2983,0.0035
1762170805.3483,0.0035
1762170805.4086,0.0135
1762170805.4476,0.0135
1762170805.4982,0.0135
1762170805.5601,0.0307
1762170805.5998,0.0307
1762170805.6485,0.0307
1762170805.6994,0.0307
1762170805.7584,0.0045
1762170805.7981,0.0045
1762170805.8483,0.0045
1762170805.9085,0.0227
1762170805.9480,0.0227
1762170805.9992,0.0227
1762170806.0486,0.0227
1762170806.1089,0.0164
1762170806.1485,0.0164
1762170806.1988,0.0164
1762170806.2559,0.0129
1762170806.2986,0.0129
1762170806.3487,0.0129
1762170806.4082,0.0109
1762170806.4483,0.0109
1762170806.4984,0.0109
1762170806.5567,0.0156
1762170806.5984,0.0156
1762170806.6485,0.0156
1762170806.7034,-0.0061
1762170806.7483,-0.0061
1762170806.7989,-0.0061
1762170806.8483,-0.0061
1762170806.9094,-0.0010
1762170806.9484,-0.0010
1762170806.9986,-0.0010
1762170807.0609,0.0217
1762170807.0985,0.0217
1762170807.1486,0.0217
1762170807.2081,0.0137
1762170807.2485,0.0137
1762170807.2985,0.0137
1762170807.3484,0.0137
1762170807.4095,0.0224
1762170807.4483,0.0224
1762170807.4985,0.0224
1762170807.5565,0.0305
1762170807.5988,0.0305
1762170807.6485,0.0305
1762170807.6988,0.0305
1762170807.7554,0.0001
1762170807.7989,0.0001
1762170807.8486,0.0001
1762170807.9090,-0.0122
1762170807.9487,-0.0122
1762170807.9989,-0.0122
1762170808.0594,0.0203
1762170808.0987,0.0203
1762170808.1485,0.0203
1762170808.2080,0.0174
1762170808.2484,0.0174
1762170808.2986,0.0174
1762170808.3572,-0.0131
1762170808.3986,-0.0131
1762170808.4486,-0.0131
1762170808.4985,-0.0131
1762170808.5583,-0.0107
1762170808.5986,-0.0107
1762170808.6482,-0.0107
1762170808.7092,0.0169
1762170808.7482,0.0169
1762170808.7986,0.0169
1762170808.8484,0.0169
1762170808.9086,0.0164
1762170808.9484,0.0164
1762170808.9989,0.0164
1762170809.0585,-0.0015
1762170809.0985,-0.0015
1762170809.1482,-0.0015
1762170809.2082,0.0121
1762170809.2484,0.0121
1762170809.2985,0.0121
1762170809.3579,-0.0033
1762170809.3988,-0.0033
1762170809.4486,-0.0033
1762170809.4982,-0.0033
1762170809.5576,0.0149
1762170809.5984,0.0149
1762170809.6486,0.0149
1762170809.7081,0.0104
1762170809.7486,0.0104
1762170809.7985,0.0104
1762170809.8576,0.0140
1762170809.8983,0.0140
1762170809.9485,0.0140
1762170809.9983,0.0140
1762170810.0560,-0.0080
1762170810.0985,-0.0080
1762170810.1486,-0.0080
1762170810.2078,0.0125
1762170810.2483,0.0125
1762170810.2986,0.0125
1762170810.3557,-0.0100
1762170810.3985,-0.0100
1762170810.4483,-0.0100
1762170810.4986,-0.0100
1762170810.5581,-0.0037
1762170810.5986,-0.0037
1762170810.6485,-0.0037
1762170810.7077,-0.0117
1762170810.7486,-0.0117
1762170810.7988,-0.0117
1762170810.8604,-0.0049
1762170810.8982,-0.0049
1762170810.9484,-0.0049
1762170811.0072,-0.0013
1762170811.0484,-0.0013
1762170811.0991,-0.0013
1762170811.1485,-0.0013
1762170811.2064,0.0076
1762170811.2483,0.0076
1762170811.2981,0.0076
1762170811.3581,0.0061
1762170811.3987,0.0061
1762170811.4484,0.0061
1762170811.5092,0.0227
1762170811.5481,0.0227
1762170811.5986,0.0227
1762170811.6483,0.0227
1762170811.7079,-0.0017
1762170811.7485,-0.0017
1762170811.7986,-0.0017
1762170811.8582,0.0047
1762170811.8987,0.0047
1762170811.9487,0.0047
1762170812.0070,0.0019
1762170812.0484,0.0019
1762170812.0984,0.0019
1762170812.1486,0.0019
1762170812.2089,-0.0153
1762170812.2484,-0.0153
1762170812.2986,-0.0153
1762170812.3590,-0.0013
1762170812.3985,-0.0013
1762170812.4487,-0.0013
1762170812.5087,0.0075
1762170812.5488,0.0075
1762170812.5990,0.0075
1762170812.6576,0.0087
1762170812.6992,0.0087
1762170812.7490,0.0087
1762170812.7989,0.0087
1762170812.8583,0.0061
1762170812.8993,0.0061
1762170812.9491,0.0061
1762170813.0099,-0.0035
1762170813.0483,-0.0035
1762170813.0988,-0.0035
1762170813.1571,-0.0083
1762170813.1986,-0.0083
1762170813.2488,-0.0083
1762170813.2989,-0.0083
1762170813.3591,0.0208
1762170813.3986,0.0208
1762170813.4483,0.0208
1762170813.5060,0.0184
1762170813.5485,0.0184
1762170813.5988,0.0184
1762170813.6576,0.0010
1762170813.6995,0.0010
1762170813.7491,0.0010
1762170813.7994,0.0010
1762170813.8605,0.0200
1762170813.8989,0.0200
1762170813.9485,0.0200
1762170814.0108,0.0225
1762170814.0484,0.0225
1762170814.0988,0.0225
1762170814.1586,0.0167
1762170814.1988,0.0167
1762170814.2481,0.0167
1762170814.3081,-0.0090
1762170814.3485,-0.0090
1762170814.3990,-0.0090
1762170814.4490,-0.0090
1762170814.5091,0.0143
1762170814.5485,0.0143
1762170814.5989,0.0143
1762170814.6561,0.0068
1762170814.6984,0.0068
1762170814.7485,0.0068
1762170814.8093,-0.0068
1762170814.8484,-0.0068
1762170814.8986,-0.0068
1762170814.9567,0.0044
1762170814.9986,0.0044
1762170815.0484,0.0044
1762170815.0987,0.0044
1762170815.1581,-0.0066
1762170815.1989,-0.0066
1762170815.2485,-0.0066
1762170815.3106,-0.0250
1762170815.3487,-0.0250
1762170815.3989,-0.0250
1762170815.4577,-0.0132
1762170815.4986,-0.0132
1762170815.5485,-0.0132
1762170815.5989,-0.0132
1762170815.6605,0.0280
1762170815.6987,0.0280
1762170815.7484,0.0280
1762170815.8085,-0.0171
1762170815.8484,-0.0171
1762170815.8986,-0.0171
1762170815.9591,-0.0227
1762170815.9987,-0.0227
1762170816.0485,-0.0227
1762170816.0990,-0.0227
1762170816.1565,0.0177
1762170816.1988,0.0177
1762170816.2490,0.0177
1762170816.3095,0.0196
1762170816.3488,0.0196
1762170816.3982,0.0196
1762170816.4595,0.0142
1762170816.4991,0.0142
1762170816.5491,0.0142
1762170816.5994,0.0142
1762170816.6596,0.0003
1762170816.6984,0.0003
1762170816.7490,0.0003
1762170816.8096,0.0239
1762170816.8493,0.0239
1762170816.8985,0.0239
1762170816.9598,-0.0058
1762170816.9984,-0.0058
1762170817.0490,-0.0058
1762170817.1095,-0.0092
1762170817.1487,-0.0092
1762170817.1978,-0.0092
1762170817.2488,-0.0092
1762170817.3050,0.0002
1762170817.3491,0.0002
1762170817.3992,0.0002
1762170817.4604,0.0037
1762170817.4992,0.0037
1762170817.5489,0.0037
1762170817.5992,0.0037
1762170817.6601,0.0124
1762170817.6983,0.0124
1762170817.7491,0.0124
1762170817.8101,0.0087
1762170817.8493,0.0087
1762170817.8993,0.0087
1762170817.9580,0.0065
1762170817.9985,0.0065
1762170818.0490,0.0065
1762170818.1099,-0.0153
1762170818.1491,-0.0153
1762170818.1979,-0.0153
1762170818.2578,-0.0120
1762170818.2984,-0.0120
1762170818.3488,-0.0120
1762170818.3986,-0.0120
1762170818.4599,-0.0020
1762170818.4985,-0.0020
1762170818.5488,-0.0020
1762170818.6077,-0.0152
1762170818.6492,-0.0152
1762170818.6985,-0.0152
1762170818.7590,-0.0042
1762170818.7984,-0.0042
1762170818.8486,-0.0042
1762170818.8991,-0.0042
1762170818.9600,-0.0023
1762170818.9992,-0.0023
1762170819.0491,-0.0023
1762170819.1070,-0.0021
1762170819.1492,-0.0021
1762170819.1991,-0.0021
1762170819.2601,0.0105
1762170819.2979,0.0105
1762170819.3488,0.0105
1762170819.3995,0.0105
1762170819.4600,-0.0077
1762170819.4990,-0.0077
1762170819.5488,-0.0077
1762170819.6106,-0.0044
1762170819.6486,-0.0044
1762170819.6983,-0.0044
1762170819.7585,0.0252
1762170819.7984,0.0252
1762170819.8491,0.0252
1762170819.8985,0.0252
1762170819.9600,0.0087
1762170819.9985,0.0087
1762170820.0484,0.0087
1762170820.1100,0.0143
1762170820.1484,0.0143
1762170820.1990,0.0143
1762170820.2603,0.0227
1762170820.2978,0.0227
1762170820.3488,0.0227
1762170820.4091,0.0319
1762170820.4488,0.0319
1762170820.4989,0.0319
1762170820.5490,0.0319
1762170820.6083,0.0393
1762170820.6489,0.0393
1762170820.6992,0.0393
1762170820.7613,0.0293
1762170820.7984,0.0293
1762170820.8488,0.0293
1762170820.9112,0.0359
1762170820.9491,0.0359
1762170820.9981,0.0359
1762170821.0491,0.0359
1762170821.1063,0.0295
1762170821.1491,0.0295
1762170821.1992,0.0295
1762170821.2610,0.0461
1762170821.2984,0.0461
1762170821.3489,0.0461
1762170821.4088,0.0326
1762170821.4490,0.0326
1762170821.4994,0.0326
1762170821.5589,0.0641
1762170821.5989,0.0641
1762170821.6487,0.0641
1762170821.6985,0.0641
1762170821.7590,0.0459
1762170821.7984,0.0459
1762170821.8488,0.0459
1762170821.9100,0.0582
1762170821.9490,0.0582
1762170821.9997,0.0582
1762170822.0488,0.0582
1762170822.1111,0.0473
1762170822.1487,0.0473
1762170822.1985,0.0473
1762170822.2600,0.0470
1762170822.2990,0.0470
1762170822.3492,0.0470
1762170822.4064,0.0158
1762170822.4492,0.0158
1762170822.4990,0.0158
1762170822.5609,0.0261
1762170822.5984,0.0261
1762170822.6488,0.0261
1762170822.6993,0.0261
1762170822.7579,0.0072
1762170822.7982,0.0072
1762170822.8484,0.0072
1762170822.9105,0.0346
1762170822.9484,0.0346
1762170822.9987,0.0346
1762170823.0613,0.0142
1762170823.0985,0.0142
1762170823.1491,0.0142
1762170823.1984,0.0142
1762170823.2598,0.0059
1762170823.2985,0.0059
1762170823.3491,0.0059
1762170823.4079,0.0148
1762170823.4492,0.0148
1762170823.4994,0.0148
1762170823.5599,0.0107
1762170823.5994,0.0107
1762170823.6490,0.0107
1762170823.7087,0.0110
1762170823.7487,0.0110
1762170823.7984,0.0110
1762170823.8488,0.0110
1762170823.9079,-0.0139
1762170823.9485,-0.0139
1762170823.9991,-0.0139
1762170824.0597,-0.0018
1762170824.0984,-0.0018
1762170824.1489,-0.0018
1762170824.2088,0.0040
1762170824.2489,0.0040
1762170824.2987,0.0040
1762170824.3581,0.0178
1762170824.3989,0.0178
1762170824.4489,0.0178
1762170824.4981,0.0178
1762170824.5568,-0.0337
1762170824.5985,-0.0337
1762170824.6491,-0.0337
1762170824.7104,-0.0297
1762170824.7490,-0.0297
1762170824.7985,-0.0297
1762170824.8491,-0.0297
1762170824.9077,-0.0106
1762170824.9491,-0.0106
1762170824.9985,-0.0106
1762170825.0566,-0.0028
1762170825.0992,-0.0028
1762170825.1490,-0.0028
1762170825.2080,-0.0114
1762170825.2491,-0.0114
1762170825.2986,-0.0114
1762170825.3551,-0.0012
1762170825.3988,-0.0012
1762170825.4486,-0.0012
1762170825.5086,0.0025
1762170825.5488,0.0025
1762170825.5982,0.0025
1762170825.6490,0.0025
1762170825.7086,-0.0173
1762170825.7492,-0.0173
1762170825.7984,-0.0173
1762170825.8591,-0.0048
1762170825.8985,-0.0048
1762170825.9489,-0.0048
1762170826.0089,-0.0188
1762170826.0483,-0.0188
1762170826.0989,-0.0188
1762170826.1491,-0.0188
1762170826.2109,-0.0040
1762170826.2493,-0.0040
1762170826.2990,-0.0040
1762170826.3563,-0.0044
1762170826.3991,-0.0044
1762170826.4492,-0.0044
1762170826.5089,-0.0013
1762170826.5492,-0.0013
1762170826.5989,-0.0013
1762170826.6585,-0.0137
1762170826.6981,-0.0137
1762170826.7492,-0.0137
1762170826.7985,-0.0137
1762170826.8610,-0.0287
1762170826.8983,-0.0287
1762170826.9492,-0.0287
1762170827.0079,-0.0178
1762170827.0494,-0.0178
1762170827.0982,-0.0178
1762170827.1574,0.0136
1762170827.1983,0.0136
1762170827.2492,0.0136
1762170827.2990,0.0136
1762170827.3601,-0.0219
1762170827.3992,-0.0219
1762170827.4492,-0.0219
1762170827.5061,0.0093
1762170827.5491,0.0093
1762170827.5984,0.0093
1762170827.6556,-0.0110
1762170827.6995,-0.0110
1762170827.7497,-0.0110
1762170827.7983,-0.0110
1762170827.8597,-0.0065
1762170827.8994,-0.0065
1762170827.9491,-0.0065
1762170828.0108,0.0576
1762170828.0493,0.0576
1762170828.0993,0.0576
1762170828.1608,0.0009
1762170828.1984,0.0009
1762170828.2487,0.0009
1762170828.3099,-0.0162
1762170828.3490,-0.0162
1762170828.3978,-0.0162
1762170828.4492,-0.0162
1762170828.5071,-0.0119
1762170828.5491,-0.0119
1762170828.5983,-0.0119
1762170828.6566,0.0087
1762170828.6983,0.0087
1762170828.7493,0.0087
1762170828.8089,0.0163
1762170828.8491,0.0163
1762170828.8982,0.0163
1762170828.9492,0.0163
1762170829.0091,0.0112
1762170829.0491,0.0112
1762170829.0995,0.0112
1762170829.1624,0.0225
1762170829.1983,0.0225
1762170829.2490,0.0225
1762170829.3104,0.0081
1762170829.3493,0.0081
1762170829.3995,0.0081
1762170829.4495,0.0081
1762170829.5117,0.0166
1762170829.5491,0.0166
1762170829.5992,0.0166
1762170829.6600,0.0072
1762170829.6993,0.0072
1762170829.7491,0.0072
1762170829.8088,0.0168
1762170829.8490,0.0168
1762170829.8992,0.0168
1762170829.9591,0.0246
1762170829.9981,0.0246
1762170830.0491,0.0246
1762170830.0984,0.0246
1762170830.1607,-0.0084
1762170830.1983,-0.0084
1762170830.2491,-0.0084
1762170830.3070,0.0028
1762170830.3491,0.0028
1762170830.3984,0.0028
1762170830.4573,-0.0029
1762170830.4982,-0.0029
1762170830.5491,-0.0029
1762170830.5982,-0.0029
1762170830.6603,0.0183
1762170830.6985,0.0183
1762170830.7497,0.0183
1762170830.8078,-0.0067
1762170830.8492,-0.0067
1762170830.8982,-0.0067
1762170830.9593,-0.0082
1762170830.9987,-0.0082
1762170831.0499,-0.0082
1762170831.0987,-0.0082
1762170831.1608,0.0229
1762170831.1987,0.0229
1762170831.2498,0.0229
1762170831.3091,0.0300
1762170831.3492,0.0300
1762170831.3984,0.0300
1762170831.4603,0.0281
1762170831.4985,0.0281
1762170831.5498,0.0281
1762170831.6087,0.0058
1762170831.6490,0.0058
1762170831.6983,0.0058
1762170831.7487,0.0058
1762170831.8092,0.0128
1762170831.8495,0.0128
1762170831.8983,0.0128
1762170831.9602,-0.0106
1762170831.9994,-0.0106
1762170832.0491,-0.0106
1762170832.1080,-0.0117
1762170832.1497,-0.0117
1762170832.1982,-0.0117
1762170832.2493,-0.0117
1762170832.3091,0.0027
1762170832.3491,0.0027
1762170832.3992,0.0027
1762170832.4597,-0.0024
1762170832.4993,-0.0024
1762170832.5493,-0.0024
1762170832.6092,0.0255
1762170832.6490,0.0255
1762170832.6982,0.0255
1762170832.7492,0.0255
1762170832.8087,-0.0280
1762170832.8493,-0.0280
1762170832.8991,-0.0280
1762170832.9590,-0.0155
1762170832.9992,-0.0155
1762170833.0491,-0.0155
1762170833.1104,0.0045
1762170833.1491,0.0045
1762170833.1982,0.0045
1762170833.2490,0.0045
1762170833.3073,0.0037
1762170833.3492,0.0037
1762170833.3981,0.0037
1762170833.4608,-0.0107
1762170833.4982,-0.0107
1762170833.5492,-0.0107
1762170833.6083,-0.0172
1762170833.6492,-0.0172
1762170833.6983,-0.0172
1762170833.7578,-0.0087
1762170833.7983,-0.0087
1762170833.8491,-0.0087
1762170833.8984,-0.0087
1762170833.9609,-0.0182
1762170833.9992,-0.0182
1762170834.0489,-0.0182
1762170834.1072,0.0093
1762170834.1491,0.0093
1762170834.1983,0.0093
1762170834.2592,0.0104
1762170834.2981,0.0104
1762170834.3491,0.0104
1762170834.4087,-0.0069
1762170834.4491,-0.0069
1762170834.4983,-0.0069
1762170834.5491,-0.0069
1762170834.6099,-0.0058
1762170834.6485,-0.0058
1762170834.6994,-0.0058
1762170834.7596,0.0012
1762170834.7994,0.0012
1762170834.8492,0.0012
1762170834.9098,0.0022
1762170834.9493,0.0022
1762170834.9983,0.0022
1762170835.0610,0.0141
1762170835.0985,0.0141
1762170835.1492,0.0141
1762170835.1990,0.0141
1762170835.2600,-0.0071
1762170835.2979,-0.0071
1762170835.3492,-0.0071
1762170835.4094,0.0239
1762170835.4488,0.0239
1762170835.4994,0.0239
1762170835.5492,0.0239
1762170835.6064,-0.0070
1762170835.6492,-0.0070
1762170835.6983,-0.0070
1762170835.7577,-0.0264
