ros_time_s,Imu_Error_yaw
1762170792.6698,0.0000
1762170792.9517,0.0000
1762170793.2089,0.0011
1762170793.4632,0.0011
1762170793.6690,0.0011
1762170793.8931,0.0011
1762170794.1032,0.0011
1762170794.2771,0.0011
1762170794.4830,0.0011
1762170794.6553,0.0011
1762170794.8367,0.0011
1762170795.0166,0.0011
1762170795.1951,0.0011
1762170795.3722,0.0011
1762170795.5515,0.0011
1762170795.7054,0.0011
1762170795.8847,0.0011
1762170796.0644,0.0011
1762170796.2253,0.0011
1762170796.4049,0.0011
1762170796.5585,0.0011
1762170796.7374,0.0011
1762170796.8971,-0.0011
1762170797.0767,0.0011
1762170797.2336,0.0055
1762170797.4024,0.0109
1762170797.5799,0.0175
1762170797.7354,0.0295
1762170797.9138,0.0404
1762170798.0591,0.0404
1762170798.2394,0.0458
1762170798.3910,0.0513
1762170798.5627,0.0556
1762170798.7505,0.0644
1762170798.9056,0.0644
1762170799.0845,0.0698
1762170799.2390,0.0709
1762170799.4100,0.0698
1762170799.5633,0.0698
1762170799.7456,0.0676
1762170799.9142,0.0644
1762170800.0695,0.0589
1762170800.2413,0.0567
1762170800.4195,0.0567
1762170800.5737,0.0535
1762170800.7345,0.0535
1762170800.9084,0.0524
1762170801.0748,0.0491
1762170801.2515,0.0491
1762170801.4058,0.0469
1762170801.5744,0.0426
1762170801.7515,0.0382
1762170801.9069,0.0382
1762170802.0627,0.0349
1762170802.2457,0.0316
1762170802.3998,0.0305
1762170802.5612,0.0305
1762170802.7394,0.0273
1762170802.9009,0.0284
1762170803.0545,0.0251
1762170803.2209,0.0229
1762170803.3994,0.0229
1762170803.5556,0.0175
1762170803.7342,0.0131
1762170803.8895,0.0164
1762170804.0428,0.0164
1762170804.2089,0.0164
1762170804.3788,0.0196
1762170804.5566,0.0229
1762170804.7116,0.0251
1762170804.8726,0.0251
1762170805.0495,0.0284
1762170805.2052,0.0295
1762170805.3842,0.0338
1762170805.5380,0.0338
1762170805.7172,0.0436
1762170805.8708,0.0513
1762170806.0483,0.0535
1762170806.2005,0.0524
1762170806.3671,0.0524
1762170806.5449,0.0513
1762170806.6964,0.0502
1762170806.8765,0.0447
1762170807.0321,0.0447
1762170807.1850,0.0426
1762170807.3683,0.0382
1762170807.5222,0.0349
1762170807.7004,0.0349
1762170807.8539,0.0360
1762170808.0330,0.0349
1762170808.1892,0.0316
1762170808.3431,0.0316
1762170808.5227,0.0262
1762170808.6763,0.0229
1762170808.8548,0.0164
1762170809.0101,0.0076
1762170809.1875,0.0076
1762170809.3414,0.0044
1762170809.5200,0.0044
1762170809.6662,0.0044
1762170809.8431,0.0044
1762170809.9976,0.0044
1762170810.1662,0.0055
1762170810.3466,0.0055
1762170810.5116,0.0022
1762170810.6592,0.0022
1762170810.8244,-0.0011
1762170810.9972,-0.0022
1762170811.1508,-0.0087
1762170811.3379,-0.0087
1762170811.4917,-0.0109
1762170811.6487,-0.0076
1762170811.8292,-0.0022
1762170811.9818,-0.0011
1762170812.1502,-0.0011
1762170812.3294,-0.0033
1762170812.4848,-0.0044
1762170812.6389,-0.0044
1762170812.8047,-0.0065
1762170812.9744,-0.0065
1762170813.1424,-0.0033
1762170813.3169,-0.0033
1762170813.4678,-0.0033
1762170813.6229,-0.0033
1762170813.8063,-0.0044
1762170813.9605,-0.0011
1762170814.1190,0.0011
1762170814.2830,0.0033
1762170814.4602,0.0033
1762170814.6157,0.0033
1762170814.7772,-0.0022
1762170814.9452,-0.0098
1762170815.1260,-0.0098
1762170815.2818,-0.0164
1762170815.4419,-0.0229
1762170815.6266,-0.0284
1762170815.7754,-0.0284
1762170815.9429,-0.0327
1762170816.1173,-0.0294
1762170816.2610,-0.0262
1762170816.4382,-0.0240
1762170816.6067,-0.0240
1762170816.7761,-0.0207
1762170816.9303,-0.0175
1762170817.0884,-0.0175
1762170817.2660,-0.0175
1762170817.4262,-0.0175
1762170817.6033,-0.0196
1762170817.7581,-0.0175
1762170817.9141,-0.0153
1762170818.0846,-0.0153
1762170818.2409,-0.0142
1762170818.4203,-0.0175
1762170818.5746,-0.0207
1762170818.7395,-0.0207
1762170818.9106,-0.0240
1762170819.0803,-0.0240
1762170819.2357,-0.0229
1762170819.4138,-0.0229
1762170819.5655,-0.0185
1762170819.7422,-0.0153
1762170819.9053,-0.0131
1762170820.0613,-0.0142
1762170820.2399,-0.0142
1762170820.3957,-0.0120
1762170820.5721,-0.0087
1762170820.7265,-0.0087
1762170820.8859,-0.0087
1762170821.0580,-0.0098
1762170821.2189,-0.0120
1762170821.3922,-0.0164
1762170821.5474,-0.0164
1762170821.7183,-0.0240
