ros_time_s,Lecturas_ValidasRojo
1762170792.6713,0.0000
1762170792.9531,0.0000
1762170793.2102,0.0000
1762170793.4648,0.0000
1762170793.6702,0.0000
1762170793.8945,0.0000
1762170794.1046,0.0000
1762170794.2787,0.0000
1762170794.4843,0.0000
1762170794.6566,0.0000
1762170794.8380,0.0000
1762170795.0181,0.0000
1762170795.1965,0.0000
1762170795.3727,0.0000
1762170795.5521,0.0000
1762170795.7061,0.0000
1762170795.8852,0.0000
1762170796.0659,0.0000
1762170796.2267,0.0000
1762170796.4065,0.0000
1762170796.5597,0.0000
1762170796.7396,0.0000
1762170796.9005,0.0000
1762170797.0772,0.0000
1762170797.2350,0.0000
1762170797.4036,0.0000
1762170797.5815,0.0000
1762170797.7368,0.0000
1762170797.9154,0.0000
1762170798.0600,0.0000
1762170798.2407,0.0000
1762170798.3914,0.0000
1762170798.5631,0.0000
1762170798.7515,0.0000
1762170798.9066,0.0000
1762170799.0860,0.0000
1762170799.2405,0.0000
1762170799.4108,0.0000
1762170799.5643,0.0000
1762170799.7477,0.0000
1762170799.9158,0.0000
1762170800.0709,0.0000
1762170800.2427,0.0000
1762170800.4208,0.0000
1762170800.5751,0.0000
1762170800.7358,0.0000
1762170800.9098,0.0000
1762170801.0764,0.0000
1762170801.2524,0.0000
1762170801.4065,0.0000
1762170801.5760,0.0000
1762170801.7525,0.0000
1762170801.9083,1.0000
1762170802.0639,0.0000
1762170802.2468,0.0000
1762170802.4011,1.0000
1762170802.5623,1.0000
1762170802.7409,0.0000
1762170802.9033,3.0000
1762170803.0555,2.0000
1762170803.2222,4.0000
1762170803.4008,4.0000
1762170803.5566,3.0000
1762170803.7357,3.0000
1762170803.8907,2.0000
1762170804.0438,4.0000
1762170804.2103,3.0000
1762170804.3801,4.0000
1762170804.5576,3.0000
1762170804.7128,4.0000
1762170804.8740,4.0000
1762170805.0504,5.0000
1762170805.2061,4.0000
1762170805.3857,4.0000
1762170805.5394,4.0000
1762170805.7186,4.0000
1762170805.8722,5.0000
1762170806.0495,4.0000
1762170806.2014,4.0000
1762170806.3686,4.0000
1762170806.5458,4.0000
1762170806.6971,3.0000
1762170806.8781,4.0000
1762170807.0332,3.0000
1762170807.1862,5.0000
1762170807.3698,4.0000
1762170807.5235,3.0000
1762170807.7015,3.0000
1762170807.8551,2.0000
1762170808.0348,2.0000
1762170808.1904,1.0000
1762170808.3443,2.0000
1762170808.5243,2.0000
1762170808.6777,2.0000
1762170808.8558,1.0000
1762170809.0113,2.0000
1762170809.1885,1.0000
1762170809.3425,1.0000
1762170809.5210,0.0000
1762170809.6676,1.0000
1762170809.8441,0.0000
1762170809.9985,0.0000
1762170810.1678,0.0000
1762170810.3475,0.0000
1762170810.5133,0.0000
1762170810.6604,0.0000
1762170810.8258,0.0000
1762170810.9982,0.0000
1762170811.1517,0.0000
1762170811.3396,0.0000
1762170811.4925,0.0000
1762170811.6497,0.0000
1762170811.8308,0.0000
1762170811.9835,0.0000
1762170812.1513,0.0000
1762170812.3309,0.0000
1762170812.4862,0.0000
1762170812.6406,0.0000
1762170812.8056,0.0000
1762170812.9758,0.0000
1762170813.1434,0.0000
1762170813.3183,0.0000
1762170813.4693,0.0000
1762170813.6242,0.0000
1762170813.8074,0.0000
1762170813.9618,0.0000
1762170814.1204,0.0000
1762170814.2843,0.0000
1762170814.4615,0.0000
1762170814.6170,0.0000
1762170814.7786,0.0000
1762170814.9462,0.0000
1762170815.1275,0.0000
1762170815.2834,0.0000
1762170815.4431,0.0000
1762170815.6287,0.0000
1762170815.7768,0.0000
1762170815.9441,0.0000
1762170816.1182,0.0000
1762170816.2624,0.0000
1762170816.4392,0.0000
1762170816.6079,0.0000
1762170816.7777,0.0000
1762170816.9320,0.0000
1762170817.0894,0.0000
1762170817.2675,0.0000
1762170817.4275,0.0000
1762170817.6045,0.0000
1762170817.7593,0.0000
1762170817.9153,0.0000
1762170818.0856,0.0000
1762170818.2418,0.0000
1762170818.4217,0.0000
1762170818.5760,0.0000
1762170818.7404,0.0000
1762170818.9121,0.0000
1762170819.0817,0.0000
1762170819.2372,0.0000
1762170819.4152,0.0000
1762170819.5669,0.0000
1762170819.7431,0.0000
1762170819.9062,0.0000
1762170820.0629,0.0000
1762170820.2405,0.0000
1762170820.3970,0.0000
1762170820.5735,0.0000
1762170820.7278,0.0000
1762170820.8868,0.0000
1762170821.0594,0.0000
1762170821.2204,0.0000
1762170821.3933,0.0000
1762170821.5486,0.0000
1762170821.7197,0.0000
1762170821.8741,0.0000
1762170822.0515,0.0000
1762170822.2046,0.0000
1762170822.3836,0.0000
1762170822.5385,0.0000
1762170822.7185,0.0000
1762170822.8716,0.0000
1762170823.0264,0.0000
1762170823.2032,0.0000
1762170823.3570,0.0000
1762170823.5371,0.0000
1762170823.6895,0.0000
1762170823.8696,0.0000
1762170824.0286,0.0000
1762170824.1842,0.0000
1762170824.3412,0.0000
1762170824.5197,0.0000
1762170824.6809,0.0000
1762170824.8578,0.0000
1762170825.0123,0.0000
1762170825.1747,0.0000
1762170825.3446,0.0000
1762170825.4991,0.0000
1762170825.6568,0.0000
1762170825.8370,0.0000
1762170825.9974,0.0000
1762170826.1774,0.0000
1762170826.3264,0.0000
1762170826.4885,0.0000
1762170826.6489,0.0000
1762170826.8120,0.0000
1762170826.9904,0.0000
1762170827.1467,0.0000
1762170827.3130,0.0000
1762170827.4876,0.0000
1762170827.6407,0.0000
1762170827.8136,0.0000
1762170827.9763,0.0000
1762170828.1318,0.0000
1762170828.2984,0.0000
1762170828.4767,0.0000
1762170828.6363,0.0000
1762170828.7950,0.0000
1762170828.9729,0.0000
1762170829.1267,0.0000
1762170829.2847,0.0000
1762170829.4497,0.0000
1762170829.6154,0.0000
1762170829.7962,0.0000
1762170829.9422,0.0000
1762170830.1237,0.0000
1762170830.2904,0.0000
1762170830.4463,0.0000
1762170830.6178,0.0000
1762170830.7825,0.0000
1762170830.9391,0.0000
1762170831.1133,0.0000
1762170831.2664,0.0000
1762170831.4260,0.0000
1762170831.5930,0.0000
1762170831.7727,0.0000
1762170831.9339,0.0000
1762170832.0871,0.0000
1762170832.2597,0.0000
1762170832.4238,0.0000
1762170832.5836,0.0000
1762170832.7585,1.0000
1762170832.9226,1.0000
1762170833.0807,1.0000
1762170833.2495,1.0000
1762170833.4030,1.0000
1762170833.5782,2.0000
1762170833.7435,2.0000
1762170833.9021,2.0000
1762170834.0634,3.0000
1762170834.2386,3.0000
1762170834.3924,3.0000
1762170834.5627,4.0000
1762170834.7334,3.0000
1762170834.8859,3.0000
1762170835.0438,4.0000
1762170835.2204,3.0000
1762170835.3853,3.0000
1762170835.5521,3.0000
1762170835.7191,3.0000
1762170835.8668,3.0000
1762170836.0433,4.0000
1762170836.2072,2.0000
1762170836.3796,4.0000
1762170836.5332,3.0000
1762170836.7061,3.0000
1762170836.8532,4.0000
1762170837.0297,3.0000
1762170837.1797,3.0000
1762170837.3498,4.0000
1762170837.5244,3.0000
1762170837.6833,5.0000
1762170837.8519,5.0000
1762170838.0056,4.0000
1762170838.1710,5.0000
1762170838.3373,4.0000
1762170838.5039,3.0000
1762170838.6768,3.0000
1762170838.8414,3.0000
1762170838.9965,2.0000
1762170839.1755,3.0000
1762170839.3235,2.0000
1762170839.4883,2.0000
1762170839.6674,2.0000
1762170839.8139,2.0000
1762170839.9972,2.0000
1762170840.1531,1.0000
1762170840.3054,1.0000
1762170840.4868,1.0000
1762170840.6388,1.0000
1762170840.8099,0.0000
1762170840.9771,0.0000
1762170841.1329,0.0000
1762170841.3103,0.0000
1762170841.4745,0.0000
1762170841.6175,0.0000
1762170841.7796,0.0000
1762170841.9514,0.0000
1762170842.1117,0.0000
