ros_time_s,Lecturas_ValidasVerde
1762170792.6698,40.0000
1762170792.9517,41.0000
1762170793.2089,33.0000
1762170793.4632,32.0000
1762170793.6690,26.0000
1762170793.8931,28.0000
1762170794.1032,24.0000
1762170794.2771,24.0000
1762170794.4830,24.0000
1762170794.6553,27.0000
1762170794.8367,28.0000
1762170795.0166,23.0000
1762170795.1951,24.0000
1762170795.3722,22.0000
1762170795.5515,24.0000
1762170795.7054,23.0000
1762170795.8847,22.0000
1762170796.0644,21.0000
1762170796.2253,22.0000
1762170796.4049,22.0000
1762170796.5585,24.0000
1762170796.7374,20.0000
1762170796.8971,22.0000
1762170797.0767,22.0000
1762170797.2336,23.0000
1762170797.4024,23.0000
1762170797.5799,20.0000
1762170797.7354,18.0000
1762170797.9138,22.0000
1762170798.0591,20.0000
1762170798.2394,21.0000
1762170798.3910,21.0000
1762170798.5627,20.0000
1762170798.7505,22.0000
1762170798.9056,19.0000
1762170799.0845,21.0000
1762170799.2390,20.0000
1762170799.4100,24.0000
1762170799.5633,22.0000
1762170799.7456,19.0000
1762170799.9142,20.0000
1762170800.0695,20.0000
1762170800.2413,19.0000
1762170800.4195,21.0000
1762170800.5737,21.0000
1762170800.7345,20.0000
1762170800.9084,18.0000
1762170801.0748,19.0000
1762170801.2515,19.0000
1762170801.4058,19.0000
1762170801.5744,19.0000
1762170801.7515,18.0000
1762170801.9069,19.0000
1762170802.0627,19.0000
1762170802.2457,21.0000
1762170802.3998,22.0000
1762170802.5612,21.0000
1762170802.7394,18.0000
1762170802.9009,20.0000
1762170803.0545,21.0000
1762170803.2209,22.0000
1762170803.3994,21.0000
1762170803.5556,19.0000
1762170803.7342,22.0000
1762170803.8895,20.0000
1762170804.0428,22.0000
1762170804.2089,20.0000
1762170804.3788,22.0000
1762170804.5566,21.0000
1762170804.7116,23.0000
1762170804.8726,20.0000
1762170805.0495,20.0000
1762170805.2052,21.0000
1762170805.3842,22.0000
1762170805.5380,23.0000
1762170805.7172,23.0000
1762170805.8708,22.0000
1762170806.0483,20.0000
1762170806.2005,24.0000
1762170806.3671,24.0000
1762170806.5449,22.0000
1762170806.6964,21.0000
1762170806.8765,22.0000
1762170807.0321,21.0000
1762170807.1850,22.0000
1762170807.3683,21.0000
1762170807.5222,20.0000
1762170807.7004,22.0000
1762170807.8539,20.0000
1762170808.0330,22.0000
1762170808.1892,22.0000
1762170808.3431,23.0000
1762170808.5227,24.0000
1762170808.6763,22.0000
1762170808.8548,23.0000
1762170809.0101,23.0000
1762170809.1875,24.0000
1762170809.3414,23.0000
1762170809.5200,22.0000
1762170809.6662,22.0000
1762170809.8431,23.0000
1762170809.9976,22.0000
