ros_time_s,Lidar_Left
1762170792.6698,1.1131
1762170792.9517,1.1148
1762170793.2089,1.1192
1762170793.4632,1.1039
1762170793.6690,1.1352
1762170793.8931,1.1221
1762170794.1032,1.1252
1762170794.2771,1.0867
1762170794.4830,1.1175
1762170794.6553,1.1063
1762170794.8367,1.1096
1762170795.0166,1.1312
1762170795.1951,1.1130
1762170795.3722,1.1114
1762170795.5515,1.1007
1762170795.7054,1.1153
1762170795.8847,1.1086
1762170796.0644,1.1409
1762170796.2253,1.1042
1762170796.4049,1.1182
1762170796.5585,1.1017
1762170796.7374,1.1029
1762170796.8971,1.1261
1762170797.0767,1.1297
1762170797.2336,1.1119
1762170797.4024,1.0722
1762170797.5799,1.1120
1762170797.7354,1.0819
1762170797.9138,1.1114
1762170798.0591,1.0803
1762170798.2394,1.0639
1762170798.3910,1.0764
1762170798.5627,1.0678
1762170798.7505,1.0977
1762170798.9056,1.0447
1762170799.0845,1.0702
1762170799.2390,1.0501
1762170799.4100,1.0805
1762170799.5633,1.0843
1762170799.7456,1.0785
1762170799.9142,1.0799
1762170800.0695,1.0737
1762170800.2413,1.0759
1762170800.4195,1.0923
1762170800.5737,1.1023
1762170800.7345,1.0811
1762170800.9084,1.1195
1762170801.0748,1.0888
1762170801.2515,1.1033
1762170801.4058,1.0927
1762170801.5744,1.0931
1762170801.7515,1.0901
1762170801.9069,1.1100
1762170802.0627,1.0993
1762170802.2457,1.0875
1762170802.3998,1.0859
1762170802.5612,1.0911
1762170802.7394,1.1312
1762170802.9009,1.1208
1762170803.0545,1.1109
1762170803.2209,1.1069
1762170803.3994,1.1253
1762170803.5556,1.1234
1762170803.7342,1.1339
1762170803.8895,1.1245
1762170804.0428,1.1345
1762170804.2089,1.1218
1762170804.3788,1.1110
1762170804.5566,1.1081
1762170804.7116,1.0995
1762170804.8726,1.1008
1762170805.0495,1.0852
1762170805.2052,1.0965
1762170805.3842,1.0865
1762170805.5380,1.0693
1762170805.7172,1.0955
1762170805.8708,1.0773
1762170806.0483,1.0836
1762170806.2005,1.0871
1762170806.3671,1.0891
1762170806.5449,1.0844
1762170806.6964,1.1061
1762170806.8765,1.1010
1762170807.0321,1.0783
1762170807.1850,1.0863
1762170807.3683,1.0776
1762170807.5222,1.0695
1762170807.7004,1.0999
1762170807.8539,1.1122
1762170808.0330,1.0797
1762170808.1892,1.0826
1762170808.3431,1.1131
1762170808.5227,1.1107
1762170808.6763,1.0831
1762170808.8548,1.0836
1762170809.0101,1.1015
1762170809.1875,1.0879
1762170809.3414,1.1033
1762170809.5200,1.0851
1762170809.6662,1.0896
1762170809.8431,1.0860
1762170809.9976,1.1080
1762170810.1662,1.0875
1762170810.3466,1.1100
1762170810.5116,1.1037
1762170810.6592,1.1117
1762170810.8244,1.1049
1762170810.9972,1.1013
1762170811.1508,1.0924
1762170811.3379,1.0939
1762170811.4917,1.0773
1762170811.6487,1.1017
1762170811.8292,1.0953
1762170811.9818,1.0981
1762170812.1502,1.1153
1762170812.3294,1.1013
1762170812.4848,1.0925
1762170812.6389,1.0913
1762170812.8047,1.0939
1762170812.9744,1.1035
1762170813.1424,1.1083
1762170813.3169,1.0792
1762170813.4678,1.0816
1762170813.6229,1.0990
1762170813.8063,1.0800
1762170813.9605,1.0775
1762170814.1190,1.0833
1762170814.2830,1.1090
1762170814.4602,1.0857
1762170814.6157,1.0932
1762170814.7772,1.1068
1762170814.9452,1.0956
1762170815.1260,1.1066
1762170815.2818,1.1250
1762170815.4419,1.1132
1762170815.6266,1.0720
1762170815.7754,1.1171
1762170815.9429,1.1227
1762170816.1173,1.0823
1762170816.2610,1.0804
1762170816.4382,1.0858
1762170816.6067,1.0997
1762170816.7761,1.0761
1762170816.9303,1.1058
1762170817.0884,1.1092
1762170817.2660,1.0998
1762170817.4262,1.0963
1762170817.6033,1.0876
1762170817.7581,1.0913
1762170817.9141,1.0935
1762170818.0846,1.1153
1762170818.2409,1.1120
1762170818.4203,1.1020
1762170818.5746,1.1152
1762170818.7395,1.1042
1762170818.9106,1.1023
1762170819.0803,1.1021
1762170819.2357,1.0895
1762170819.4138,1.1077
1762170819.5655,1.1044
1762170819.7422,1.0748
1762170819.9053,1.0913
1762170820.0613,1.0857
1762170820.2399,1.0773
1762170820.3957,1.0681
1762170820.5721,1.0607
1762170820.7265,1.0707
1762170820.8859,1.0641
1762170821.0580,1.0705
1762170821.2189,1.0539
1762170821.3922,1.0674
1762170821.5474,1.0359
