ros_time_s,Vel_Des
1762170796.1119,-20.0000
1762170796.1494,-20.3900
1762170796.2000,-20.3900
1762170796.2611,-8.3100
1762170796.3002,-8.3100
1762170796.3504,-8.3100
1762170796.3996,-8.3100
1762170796.4621,-11.6800
1762170796.5004,-11.6800
1762170796.5488,-11.6800
1762170796.6067,-5.2200
1762170796.6498,-5.2200
1762170796.6997,-5.2200
1762170796.7583,-7.0400
1762170796.7998,-7.0400
1762170796.8492,-7.0400
1762170796.9030,-14.3000
1762170796.9481,-14.3000
1762170796.9978,-14.3000
1762170797.0481,-14.3000
1762170797.1063,-15.8000
1762170797.1509,-15.8000
1762170797.2000,-15.8000
1762170797.2607,-11.8600
1762170797.2994,-11.8600
1762170797.3506,-11.8600
1762170797.3998,-11.8600
1762170797.4592,8.1400
1762170797.5004,15.0200
1762170797.5486,15.0200
1762170797.6348,-4.9800
1762170797.6488,-11.8600
1762170797.6998,-11.8600
1762170797.7611,8.1400
1762170797.7999,11.6800
1762170797.8495,11.6800
1762170797.8997,11.6800
1762170797.9611,-8.3200
1762170798.0002,-11.8800
1762170798.0513,-11.8800
1762170798.1127,8.1200
1762170798.1504,11.6700
1762170798.1997,11.6700
1762170798.2594,18.3700
1762170798.2999,18.3700
1762170798.3480,18.3700
1762170798.4033,13.2700
1762170798.4482,13.2700
1762170798.4984,13.2700
1762170798.5485,13.2700
1762170798.6054,16.7800
1762170798.6483,16.7800
1762170798.6991,16.7800
1762170798.7493,16.7800
1762170798.8113,6.2500
1762170798.8499,6.2500
1762170798.8992,6.2500
1762170798.9619,26.2500
1762170799.0001,29.7200
1762170799.0498,29.7200
1762170799.1117,15.8100
1762170799.1497,15.8100
1762170799.1999,15.8100
1762170799.2588,25.3000
1762170799.2995,25.3000
1762170799.3511,25.3000
1762170799.3982,25.3000
1762170799.4629,11.6700
1762170799.4999,11.6700
1762170799.5497,11.6700
1762170799.6107,11.7300
1762170799.6497,11.7300
1762170799.7003,11.7300
1762170799.7571,12.3600
1762170799.7988,12.3600
1762170799.8492,12.3600
1762170799.8998,12.3600
1762170799.9627,11.7100
1762170799.9987,11.7100
1762170800.0496,11.7100
1762170800.1124,14.4100
1762170800.1500,14.4100
1762170800.1999,14.4100
1762170800.2573,13.4700
1762170800.2993,13.4700
1762170800.3489,13.4700
1762170800.3988,13.4700
1762170800.4579,10.8000
1762170800.5002,10.8000
1762170800.5490,10.8000
1762170800.6101,-6.3100
1762170800.6488,-6.3100
1762170800.7008,-6.3100
1762170800.7592,11.6700
1762170800.7987,11.6700
1762170800.8488,11.6700
1762170800.8989,11.6700
1762170800.9568,-8.3300
1762170800.9990,-11.6700
1762170801.0488,-11.6700
1762170801.1078,8.3300
1762170801.1484,11.8900
1762170801.1990,11.8900
1762170801.2489,11.8900
1762170801.3078,-7.4500
1762170801.3491,-7.4500
1762170801.3989,-7.4500
1762170801.4573,10.5400
1762170801.4992,10.5400
1762170801.5488,10.5400
1762170801.6076,10.2700
1762170801.6488,10.2700
1762170801.6988,10.2700
1762170801.7489,10.2700
1762170801.8076,11.9200
1762170801.8487,11.9200
1762170801.8987,11.9200
1762170801.9577,-8.0800
1762170801.9990,-11.9400
1762170802.0488,-11.9400
1762170802.1114,2.7200
1762170802.1487,2.7200
1762170802.2003,2.7200
1762170802.2576,11.8400
