ros_time_s,imu_heading
1762170790.0649,359.9370
1762170790.2649,359.9370
1762170790.4652,359.9370
1762170790.6667,359.9370
1762170790.8669,359.9370
1762170791.0665,359.9370
1762170791.2680,359.9370
1762170791.4697,359.9370
1762170791.6717,359.9370
1762170791.8720,359.9370
1762170792.0720,359.9370
1762170792.2736,359.9370
1762170792.4739,359.9370
1762170792.6743,359.9370
1762170792.8753,359.9370
1762170793.0760,359.9370
1762170793.2775,359.9370
1762170793.4773,359.9370
1762170793.6776,359.9370
1762170793.8790,359.9370
1762170794.0785,359.9370
1762170794.2791,359.9370
1762170794.4796,359.9370
1762170794.6803,359.9370
1762170794.8800,359.9370
1762170795.0802,359.9370
1762170795.2805,359.9370
1762170795.4810,359.9370
1762170795.6816,359.9370
1762170795.8826,359.9370
1762170796.0854,359.9370
1762170796.3270,0.0620
1762170796.5404,359.9370
1762170796.7524,359.6870
1762170796.9905,359.3750
1762170797.2020,359.0000
1762170797.4130,358.3120
1762170797.6262,357.6870
1762170797.8365,357.3750
1762170798.0509,357.0620
1762170798.2601,356.8120
1762170798.4704,356.3120
1762170798.6823,356.0000
1762170798.8949,355.9370
1762170799.1337,356.0000
1762170799.3480,356.1250
1762170799.5581,356.3120
1762170799.7591,356.6250
1762170799.9623,356.7500
1762170800.2014,356.9370
1762170800.4002,356.9370
1762170800.6031,357.0000
1762170800.8256,357.1870
1762170801.0370,357.3120
1762170801.2503,357.5620
1762170801.4593,357.8120
1762170801.6719,358.0000
1762170801.8965,358.1870
1762170802.1305,358.2500
1762170802.3420,358.4370
1762170802.5526,358.3750
1762170802.7547,358.5620
1762170802.9760,358.6870
1762170803.1879,359.0000
1762170803.4025,359.2500
1762170803.6130,359.0620
1762170803.8249,359.0620
1762170804.0369,358.8750
1762170804.2494,358.6870
1762170804.4594,358.5620
1762170804.6704,358.3750
1762170804.8873,358.3120
1762170805.1005,358.0620
1762170805.3100,357.5000
1762170805.5215,357.0620
1762170805.7328,356.9370
1762170805.9446,357.0000
1762170806.1675,357.0620
1762170806.4073,357.1250
