ros_time_s,omega_1
1762170790.0643,0.0000
1762170790.2643,0.0000
1762170790.4646,0.0000
1762170790.6662,0.0000
1762170790.8664,0.0000
1762170791.0663,0.0000
1762170791.2678,0.0000
1762170791.4695,0.0000
1762170791.6710,0.0000
1762170791.8714,0.0000
1762170792.0715,0.0000
1762170792.2731,0.0000
1762170792.4734,0.0000
1762170792.6739,0.0000
1762170792.8748,0.0000
1762170793.0755,0.0000
1762170793.2770,0.0000
1762170793.4768,0.0000
1762170793.6772,0.0000
1762170793.8784,0.0000
1762170794.0781,0.0000
1762170794.2786,0.0000
1762170794.4792,0.0000
1762170794.6796,0.0000
1762170794.8795,0.0000
1762170795.0798,0.0000
1762170795.2803,0.0000
1762170795.4808,0.0000
1762170795.6814,0.0000
1762170795.8824,0.0000
1762170796.0844,0.0000
1762170796.3266,-3.5050
1762170796.5397,-8.3470
1762170796.7521,-9.9410
1762170796.9903,-8.2340
1762170797.2016,-13.2400
1762170797.4125,-14.9370
1762170797.6260,-10.0130
1762170797.8358,-8.3580
1762170798.0498,-5.4590
1762170798.2599,-7.1860
1762170798.4702,-2.2100
1762170798.6821,2.7240
1762170798.8944,7.5760
1762170799.1333,8.4810
1762170799.3474,13.1890
1762170799.5575,16.5810
1762170799.7590,11.3080
1762170799.9620,12.2330
1762170800.2010,11.9970
1762170800.3999,13.1170
1762170800.6026,10.3830
1762170800.8247,6.6410
1762170801.0365,10.8860
1762170801.2501,7.8440
1762170801.4591,9.4570
1762170801.6714,10.3930
1762170801.8961,10.6190
1762170802.1296,9.1390
1762170802.3415,4.1120
1762170802.5523,8.3060
1762170802.7544,11.3900
1762170802.9755,7.7100
1762170803.1874,2.6010
1762170803.4022,-2.3850
1762170803.6128,-7.3190
1762170803.8244,-12.1920
1762170804.0364,-15.7800
1762170804.2492,-16.0880
1762170804.4588,-15.7690
1762170804.6698,-12.1100
1762170804.8867,-9.8790
1762170805.1002,-4.9550
1762170805.3095,-0.0310
1762170805.5207,4.9030
1762170805.7323,9.7560
1762170805.9443,9.3650
1762170806.1672,11.8010
1762170806.4071,11.8830
1762170806.6067,11.2560
1762170806.8106,10.2180
1762170807.0234,5.2120
1762170807.2356,5.5410
1762170807.4473,10.4340
1762170807.6874,14.2270
1762170807.9021,13.8980
1762170808.1123,8.9130
1762170808.3161,11.5240
1762170808.5283,8.8610
1762170808.7394,3.8340
1762170808.9512,6.0340
1762170809.1635,9.5810
1762170809.3765,7.8640
1762170809.5882,5.5310
1762170809.7996,7.8130
1762170809.9999,11.2150
1762170810.2294,8.4400
1762170810.4414,10.7630
1762170810.6534,6.4040
1762170810.8664,1.4390
1762170811.0783,-3.5050
1762170811.2951,-4.1220
1762170811.5080,0.8530
1762170811.7184,5.7260
1762170811.9302,3.3620
1762170812.1327,4.9960
1762170812.3393,3.3620
1762170812.5512,-1.5930
1762170812.7623,0.7710
1762170812.9745,5.7260
1762170813.1853,5.4070
1762170813.3962,0.5450
1762170813.6082,2.8780
1762170813.8204,4.5750
1762170814.0325,5.9420
1762170814.2443,10.8760
1762170814.4796,8.5430
1762170814.6905,8.8000
1762170814.8992,9.3650
1762170815.1081,7.6790
1762170815.3293,5.3460
1762170815.5413,0.3080
1762170815.7522,-3.3510
1762170815.9632,-1.7170
1762170816.1756,-6.7440
1762170816.3872,-4.4820
1762170816.6016,0.3910
1762170816.8122,1.8810
1762170817.0252,4.1530
1762170817.2363,-0.1950
1762170817.4500,-1.8710
1762170817.6611,3.0940
1762170817.8702,7.9670
1762170818.1088,9.2210
1762170818.3243,6.4660
1762170818.5371,1.4190
1762170818.7519,-3.5980
