ros_time_s,Error_Distancia
1762172568.1567,0.0106
1762172568.1961,0.0106
1762172568.2462,0.0106
1762172568.3067,0.0015
1762172568.3464,0.0015
1762172568.3963,0.0015
1762172568.4464,0.0015
1762172568.5083,0.0440
1762172568.5456,0.0440
1762172568.5950,0.0440
1762172568.6495,0.0089
1762172568.6951,0.0089
1762172568.7450,0.0089
1762172568.7950,0.0089
1762172568.8520,-0.0076
1762172568.8966,-0.0076
1762172568.9462,-0.0076
1762172569.0079,0.0152
1762172569.0467,0.0152
1762172569.0966,0.0152
1762172569.1569,0.0061
1762172569.1966,0.0061
1762172569.2468,0.0061
1762172569.2970,0.0061
1762172569.3533,0.0090
1762172569.3965,0.0090
1762172569.4460,0.0090
1762172569.5032,0.0026
1762172569.5466,0.0026
1762172569.5967,0.0026
1762172569.6825,0.0149
1762172569.6954,0.0149
1762172569.7461,0.0149
1762172569.8039,0.0037
1762172569.8464,0.0037
1762172569.8964,0.0037
1762172569.9466,0.0037
1762172570.0035,-0.0117
1762172570.0465,-0.0117
1762172570.0964,-0.0117
1762172570.1570,-0.0111
1762172570.1966,-0.0111
1762172570.2466,-0.0111
1762172570.2966,-0.0111
1762172570.3569,-0.0014
1762172570.3951,-0.0014
1762172570.4451,-0.0014
1762172570.4998,-0.0180
1762172570.5451,-0.0180
1762172570.5950,-0.0180
1762172570.6496,-0.0098
1762172570.6952,-0.0098
1762172570.7451,-0.0098
1762172570.7967,-0.0098
1762172570.8581,0.0134
1762172570.8959,0.0134
1762172570.9462,0.0134
1762172571.0033,-0.0035
1762172571.0461,-0.0035
1762172571.0964,-0.0035
1762172571.1585,0.0238
1762172571.1968,0.0238
1762172571.2466,0.0238
1762172571.2964,0.0238
1762172571.3538,0.0338
1762172571.3965,0.0338
1762172571.4466,0.0338
1762172571.5040,0.0100
1762172571.5461,0.0100
1762172571.5956,0.0100
1762172571.6564,0.0102
1762172571.6958,0.0102
1762172571.7466,0.0102
1762172571.7956,0.0102
1762172571.8596,0.0198
1762172571.8958,0.0198
1762172571.9466,0.0198
1762172572.0050,0.0059
1762172572.0462,0.0059
1762172572.0957,0.0059
1762172572.1587,0.0390
1762172572.1969,0.0390
1762172572.2464,0.0390
1762172572.2969,0.0390
1762172572.3575,0.0042
1762172572.3959,0.0042
1762172572.4464,0.0042
1762172572.5059,0.0275
1762172572.5465,0.0275
1762172572.5958,0.0275
1762172572.6568,-0.0053
1762172572.6955,-0.0053
1762172572.7467,-0.0053
1762172572.8064,-0.0292
1762172572.8465,-0.0292
1762172572.8959,-0.0292
1762172572.9464,-0.0292
1762172573.0062,0.0110
1762172573.0460,0.0110
1762172573.0957,0.0110
1762172573.1576,0.0009
1762172573.1958,0.0009
1762172573.2467,0.0009
1762172573.3053,0.0000
1762172573.3457,0.0000
1762172573.3959,0.0000
1762172573.4465,0.0000
1762172573.5058,0.0426
1762172573.5463,0.0426
1762172573.5966,0.0426
1762172573.6570,-0.0064
1762172573.6965,-0.0064
1762172573.7464,-0.0064
1762172573.8066,0.0338
1762172573.8464,0.0338
1762172573.8958,0.0338
1762172573.9471,0.0338
1762172574.0076,0.0042
1762172574.0464,0.0042
1762172574.0966,0.0042
1762172574.1587,-0.0188
1762172574.1959,-0.0188
1762172574.2462,-0.0188
1762172574.3036,0.0112
1762172574.3467,0.0112
1762172574.3958,0.0112
1762172574.4466,0.0112
1762172574.5088,0.0403
1762172574.5466,0.0403
1762172574.5968,0.0403
1762172574.6535,0.0095
1762172574.6966,0.0095
1762172574.7466,0.0095
1762172574.8080,0.0120
1762172574.8465,0.0120
1762172574.8958,0.0120
1762172574.9568,0.0014
1762172574.9966,0.0014
1762172575.0466,0.0014
1762172575.0957,0.0014
1762172575.1583,0.0099
1762172575.1968,0.0099
1762172575.2465,0.0099
