ros_time_s,Imu_Error_yaw
1762172565.7287,0.0000
1762172565.9888,0.0000
1762172566.2192,0.0000
1762172566.4487,0.0000
1762172566.6530,0.0000
1762172566.8578,0.0000
1762172567.0378,0.0000
1762172567.2165,0.0000
1762172567.4012,0.0000
1762172567.5994,0.0000
1762172567.7809,0.0000
1762172567.9347,0.0000
1762172568.1149,0.0000
1762172568.2846,0.0000
1762172568.4651,0.0000
1762172568.6165,0.0000
1762172568.7957,0.0000
1762172568.9760,0.0011
1762172569.1318,0.0022
1762172569.2998,0.0011
1762172569.4789,0.0000
1762172569.6340,-0.0022
1762172569.7950,-0.0054
1762172569.9735,-0.0065
1762172570.1287,-0.0087
1762172570.3062,-0.0087
1762172570.4666,-0.0098
1762172570.6213,-0.0087
1762172570.8008,-0.0076
1762172570.9679,-0.0076
1762172571.1215,-0.0054
1762172571.2999,-0.0033
1762172571.4601,0.0033
1762172571.6192,0.0098
1762172571.7974,0.0098
1762172571.9559,0.0175
1762172572.1259,0.0207
1762172572.3034,0.0207
1762172572.4542,0.0207
1762172572.6325,0.0196
1762172572.7878,0.0207
1762172572.9673,0.0196
1762172573.1247,0.0196
1762172573.2810,0.0196
1762172573.4600,0.0186
1762172573.6135,0.0175
1762172573.7797,0.0131
1762172573.9587,0.0131
1762172574.1134,0.0120
1762172574.2672,0.0131
1762172574.4510,0.0164
1762172574.6041,0.0153
1762172574.7581,0.0153
1762172574.9354,0.0109
1762172575.0983,0.0120
1762172575.2532,0.0065
1762172575.4317,0.0065
1762172575.5847,0.0000
1762172575.7649,0.0000
1762172575.9278,-0.0011
1762172576.0760,-0.0011
1762172576.2539,-0.0022
1762172576.4076,-0.0011
1762172576.5621,-0.0022
1762172576.7413,-0.0022
1762172576.8952,-0.0022
1762172577.0689,-0.0033
1762172577.2235,-0.0022
1762172577.3765,-0.0022
1762172577.5538,0.0044
1762172577.7092,0.0087
1762172577.8710,0.0131
1762172578.0508,0.0186
1762172578.1995,0.0186
1762172578.3531,0.0251
1762172578.5314,0.0316
1762172578.6863,0.0349
1762172578.8656,0.0349
1762172579.0193,0.0404
1762172579.1708,0.0436
1762172579.3348,0.0458
1762172579.5137,0.0458
1762172579.6687,0.0513
1762172579.8467,0.0556
1762172579.9916,0.0578
1762172580.1597,0.0600
1762172580.3143,0.0600
1762172580.4815,0.0578
1762172580.6479,0.0589
1762172580.8048,0.0589
