ros_time_s,Lecturas_ValidasRojo
1762172565.7301,0.0000
1762172565.9902,0.0000
1762172566.2205,0.0000
1762172566.4502,0.0000
1762172566.6545,0.0000
1762172566.8593,0.0000
1762172567.0392,0.0000
1762172567.2168,0.0000
1762172567.4016,0.0000
1762172567.5997,0.0000
1762172567.7824,0.0000
1762172567.9359,0.0000
1762172568.1156,0.0000
1762172568.2860,0.0000
1762172568.4667,0.0000
1762172568.6170,0.0000
1762172568.7961,0.0000
1762172568.9779,0.0000
1762172569.1330,0.0000
1762172569.3011,0.0000
1762172569.4805,0.0000
1762172569.6355,0.0000
1762172569.7964,0.0000
1762172569.9747,0.0000
1762172570.1300,0.0000
1762172570.3076,0.0000
1762172570.4671,0.0000
1762172570.6220,0.0000
1762172570.8019,0.0000
1762172570.9695,0.0000
1762172571.1227,0.0000
1762172571.3010,0.0000
1762172571.4614,0.0000
1762172571.6204,1.0000
1762172571.7981,1.0000
1762172571.9570,1.0000
1762172572.1273,2.0000
1762172572.3047,2.0000
1762172572.4554,1.0000
1762172572.6334,2.0000
1762172572.7888,2.0000
1762172572.9697,3.0000
1762172573.1261,3.0000
1762172573.2824,3.0000
1762172573.4617,3.0000
1762172573.6149,4.0000
1762172573.7804,2.0000
1762172573.9601,4.0000
1762172574.1148,4.0000
1762172574.2684,4.0000
1762172574.4520,5.0000
1762172574.6053,4.0000
1762172574.7593,5.0000
1762172574.9363,5.0000
1762172575.0992,5.0000
1762172575.2543,3.0000
1762172575.4327,3.0000
1762172575.5856,3.0000
1762172575.7662,3.0000
1762172575.9291,3.0000
1762172576.0764,3.0000
1762172576.2551,3.0000
1762172576.4090,2.0000
1762172576.5635,3.0000
1762172576.7427,3.0000
1762172576.8970,3.0000
1762172577.0706,3.0000
1762172577.2251,4.0000
1762172577.3783,2.0000
1762172577.5551,3.0000
1762172577.7107,4.0000
1762172577.8719,2.0000
1762172578.0517,3.0000
1762172578.2008,2.0000
1762172578.3540,1.0000
1762172578.5324,1.0000
1762172578.6898,0.0000
1762172578.8674,1.0000
1762172579.0211,0.0000
1762172579.1718,0.0000
1762172579.3359,0.0000
1762172579.5152,0.0000
1762172579.6700,0.0000
1762172579.8483,0.0000
1762172579.9925,0.0000
1762172580.1610,0.0000
1762172580.3155,0.0000
1762172580.4828,0.0000
1762172580.6492,0.0000
1762172580.8067,0.0000
1762172580.9723,0.0000
1762172581.1393,0.0000
1762172581.2985,0.0000
1762172581.4736,0.0000
1762172581.6272,0.0000
1762172581.8056,0.0000
1762172581.9608,0.0000
1762172582.1148,0.0000
1762172582.2809,0.0000
1762172582.4598,0.0000
1762172582.6147,0.0000
1762172582.7719,0.0000
1762172582.9389,0.0000
1762172583.0956,0.0000
1762172583.2788,0.0000
1762172583.4292,0.0000
1762172583.5837,0.0000
1762172583.7511,0.0000
1762172583.9144,0.0000
1762172584.0761,0.0000
1762172584.2552,0.0000
1762172584.4091,0.0000
1762172584.5838,0.0000
1762172584.7386,0.0000
1762172584.8925,0.0000
1762172585.0582,0.0000
1762172585.2181,0.0000
1762172585.3831,0.0000
1762172585.5625,0.0000
1762172585.7171,0.0000
1762172585.8750,0.0000
1762172586.0429,0.0000
1762172586.2217,0.0000
1762172586.3744,0.0000
1762172586.5505,0.0000
1762172586.7054,0.0000
1762172586.8804,0.0000
1762172587.0415,0.0000
1762172587.2000,0.0000
1762172587.3653,0.0000
1762172587.5436,0.0000
1762172587.6973,0.0000
1762172587.8659,0.0000
1762172588.0300,0.0000
1762172588.1896,0.0000
1762172588.3434,0.0000
1762172588.5148,0.0000
1762172588.6792,0.0000
1762172588.8431,0.0000
1762172589.0189,0.0000
1762172589.1692,0.0000
1762172589.3399,0.0000
1762172589.4938,0.0000
1762172589.6635,0.0000
