ros_time_s,Lecturas_ValidasVerde
1762172565.7287,23.0000
1762172565.9888,35.0000
1762172566.2192,30.0000
1762172566.4487,32.0000
1762172566.6530,32.0000
1762172566.8578,30.0000
1762172567.0378,29.0000
1762172567.2165,29.0000
1762172567.4012,25.0000
1762172567.5994,26.0000
1762172567.7809,29.0000
1762172567.9347,26.0000
1762172568.1149,24.0000
1762172568.2846,25.0000
1762172568.4651,27.0000
1762172568.6165,25.0000
1762172568.7957,22.0000
1762172568.9760,23.0000
1762172569.1318,23.0000
1762172569.2998,27.0000
1762172569.4789,25.0000
1762172569.6340,24.0000
1762172569.7950,24.0000
1762172569.9735,23.0000
1762172570.1287,22.0000
1762172570.3062,23.0000
1762172570.4666,21.0000
1762172570.6213,23.0000
1762172570.8008,23.0000
1762172570.9679,23.0000
1762172571.1215,25.0000
1762172571.2999,25.0000
1762172571.4601,22.0000
1762172571.6192,24.0000
1762172571.7974,23.0000
1762172571.9559,22.0000
1762172572.1259,24.0000
1762172572.3034,22.0000
1762172572.4542,23.0000
1762172572.6325,20.0000
1762172572.7878,21.0000
1762172572.9673,22.0000
1762172573.1247,24.0000
1762172573.2810,22.0000
1762172573.4600,23.0000
1762172573.6135,22.0000
1762172573.7797,20.0000
1762172573.9587,22.0000
1762172574.1134,21.0000
1762172574.2672,22.0000
1762172574.4510,21.0000
1762172574.6041,22.0000
1762172574.7581,20.0000
1762172574.9354,21.0000
1762172575.0983,21.0000
1762172575.2532,20.0000
1762172575.4317,21.0000
1762172575.5847,21.0000
1762172575.7649,22.0000
1762172575.9278,24.0000
1762172576.0760,23.0000
1762172576.2539,23.0000
1762172576.4076,18.0000
1762172576.5621,19.0000
1762172576.7413,24.0000
1762172576.8952,20.0000
1762172577.0689,23.0000
1762172577.2235,23.0000
1762172577.3765,24.0000
1762172577.5538,21.0000
1762172577.7092,23.0000
1762172577.8710,22.0000
1762172578.0508,23.0000
1762172578.1995,23.0000
1762172578.3531,23.0000
1762172578.5314,22.0000
1762172578.6863,21.0000
1762172578.8656,23.0000
1762172579.0193,21.0000
1762172579.1708,23.0000
1762172579.3348,24.0000
1762172579.5137,21.0000
1762172579.6687,22.0000
1762172579.8467,22.0000
1762172579.9916,20.0000
1762172580.1597,21.0000
1762172580.3143,23.0000
1762172580.4815,22.0000
1762172580.6479,22.0000
1762172580.8048,21.0000
1762172580.9714,21.0000
1762172581.1381,22.0000
1762172581.2963,19.0000
1762172581.4726,21.0000
1762172581.6260,20.0000
1762172581.8042,19.0000
1762172581.9595,22.0000
1762172582.1134,21.0000
1762172582.2800,18.0000
1762172582.4586,21.0000
1762172582.6133,20.0000
