ros_time_s,Lidar_Left
1762172565.7287,1.2387
1762172565.9888,1.1003
1762172566.2192,1.0913
1762172566.4487,1.0821
1762172566.6530,1.0889
1762172566.8578,1.0875
1762172567.0378,1.0873
1762172567.2165,1.1068
1762172567.4012,1.0874
1762172567.5994,1.1046
1762172567.7809,1.0847
1762172567.9347,1.0765
1762172568.1149,1.0894
1762172568.2846,1.0985
1762172568.4651,1.0560
1762172568.6165,1.0911
1762172568.7957,1.1076
1762172568.9760,1.0848
1762172569.1318,1.0939
1762172569.2998,1.0910
1762172569.4789,1.0974
1762172569.6340,1.0851
1762172569.7950,1.0963
1762172569.9735,1.1117
1762172570.1287,1.1111
1762172570.3062,1.1014
1762172570.4666,1.1180
1762172570.6213,1.1098
1762172570.8008,1.0866
1762172570.9679,1.1035
1762172571.1215,1.0762
1762172571.2999,1.0662
1762172571.4601,1.0900
1762172571.6192,1.0898
1762172571.7974,1.0802
1762172571.9559,1.0941
1762172572.1259,1.0610
1762172572.3034,1.0958
1762172572.4542,1.0725
1762172572.6325,1.1053
1762172572.7878,1.1292
1762172572.9673,1.0890
1762172573.1247,1.0991
1762172573.2810,1.1000
1762172573.4600,1.0574
1762172573.6135,1.1064
1762172573.7797,1.0662
1762172573.9587,1.0958
1762172574.1134,1.1188
1762172574.2672,1.0888
1762172574.4510,1.0597
1762172574.6041,1.0905
1762172574.7581,1.0880
1762172574.9354,1.0986
1762172575.0983,1.0901
1762172575.2532,1.1033
1762172575.4317,1.0793
1762172575.5847,1.0798
1762172575.7649,1.0930
1762172575.9278,1.0987
1762172576.0760,1.0847
1762172576.2539,1.1112
1762172576.4076,1.1345
1762172576.5621,1.1204
1762172576.7413,1.1306
1762172576.8952,1.1063
1762172577.0689,1.1149
1762172577.2235,1.0873
1762172577.3765,1.0824
1762172577.5538,1.1105
1762172577.7092,1.0997
1762172577.8710,1.0921
1762172578.0508,1.1003
1762172578.1995,1.0832
1762172578.3531,1.1115
1762172578.5314,1.1150
1762172578.6863,1.1104
1762172578.8656,1.0821
1762172579.0193,1.0946
1762172579.1708,1.0670
1762172579.3348,1.0650
1762172579.5137,1.0790
1762172579.6687,1.0728
1762172579.8467,1.1133
1762172579.9916,1.0918
1762172580.1597,1.0893
1762172580.3143,1.1105
1762172580.4815,1.0783
1762172580.6479,1.0657
1762172580.8048,1.0712
1762172580.9714,1.0900
1762172581.1381,1.0806
1762172581.2963,1.1207
1762172581.4726,1.0969
1762172581.6260,1.1188
1762172581.8042,1.1036
1762172581.9595,1.0832
1762172582.1134,1.0735
1762172582.2800,1.1169
1762172582.4586,1.0790
1762172582.6133,1.0928
1762172582.7709,1.0534
1762172582.9376,1.0794
1762172583.0943,1.0752
1762172583.2780,1.0860
1762172583.4282,1.0828
1762172583.5825,1.0683
1762172583.7499,1.0619
1762172583.9131,1.0801
1762172584.0750,1.0690
1762172584.2537,1.0713
1762172584.4076,1.0734
1762172584.5827,1.0894
1762172584.7373,1.0998
1762172584.8918,1.1010
1762172585.0570,1.0884
1762172585.2167,1.0785
1762172585.3822,1.0786
1762172585.5611,1.0815
1762172585.7158,1.1098
1762172585.8741,1.1069
1762172586.0417,1.1153
1762172586.2202,1.1029
1762172586.3735,1.0708
1762172586.5493,1.1056
1762172586.7038,1.1064
1762172586.8794,1.0989
1762172587.0401,1.1083
1762172587.1989,1.0899
