ros_time_s,Vel_Des
1762172568.1573,11.9200
1762172568.1969,11.9200
1762172568.2470,11.9200
1762172568.3072,4.8600
1762172568.3472,4.8600
1762172568.3971,4.8600
1762172568.4472,4.8600
1762172568.5088,21.8600
1762172568.5463,21.8600
1762172568.5953,21.8600
1762172568.6502,11.4400
1762172568.6957,11.4400
1762172568.7458,11.4400
1762172568.7958,11.4400
1762172568.8529,-8.5600
1762172568.8973,-10.7300
1762172568.9467,-10.7300
1762172569.0082,9.2700
1762172569.0473,11.7400
1762172569.0975,11.7400
1762172569.1574,9.7600
1762172569.1976,9.7600
1762172569.2471,9.7600
1762172569.2979,9.7600
1762172569.3537,11.5300
1762172569.3974,11.5300
1762172569.4468,11.5300
1762172569.5035,6.6800
1762172569.5475,6.6800
1762172569.5976,6.6800
1762172569.6828,11.7500
1762172569.6966,11.7500
1762172569.7472,11.7500
1762172569.8045,7.8600
1762172569.8475,7.8600
1762172569.8975,7.8600
1762172569.9480,7.8600
1762172570.0041,-11.8700
1762172570.0479,-11.8700
1762172570.0977,-11.8700
1762172570.1574,-11.9000
1762172570.1974,-11.9000
1762172570.2472,-11.9000
1762172570.2972,-11.9000
1762172570.3576,-4.7100
1762172570.3957,-4.7100
1762172570.4458,-4.7100
1762172570.5005,-11.6800
1762172570.5457,-11.6800
1762172570.5958,-11.6800
1762172570.6503,-11.8800
1762172570.6959,-11.8800
1762172570.7456,-11.8800
1762172570.7980,-11.8800
1762172570.8588,8.1200
1762172570.8968,11.8000
1762172570.9476,11.8000
1762172571.0035,-7.7300
1762172571.0469,-7.7300
1762172571.0976,-7.7300
1762172571.1593,12.2700
1762172571.1975,13.3600
1762172571.2474,13.3600
1762172571.2972,13.3600
1762172571.3540,17.4300
1762172571.3972,17.4300
1762172571.4472,17.4300
1762172571.5042,11.9300
1762172571.5468,11.9300
1762172571.5963,11.9300
1762172571.6569,11.9400
1762172571.6964,11.9400
1762172571.7474,11.9400
1762172571.7962,11.9400
1762172571.8600,11.6700
1762172571.8965,11.6700
1762172571.9474,11.6700
1762172572.0055,9.5700
1762172572.0468,9.5700
1762172572.0963,9.5700
1762172572.1592,19.5600
1762172572.1977,19.5600
1762172572.2473,19.5600
1762172572.2980,19.5600
1762172572.3583,8.3000
1762172572.3971,8.3000
1762172572.4471,8.3000
1762172572.5065,14.8900
1762172572.5474,14.8900
1762172572.5963,14.8900
1762172572.6573,-5.1100
1762172572.6961,-9.1500
1762172572.7476,-9.1500
1762172572.8070,-15.5900
1762172572.8479,-15.5900
1762172572.8967,-15.5900
