ros_time_s,imu_heading
1762172564.9395,0.0000
1762172565.1396,0.0000
1762172565.3399,0.0000
1762172565.5409,0.0000
1762172565.7426,0.0000
1762172565.9447,0.0000
1762172566.1452,0.0000
1762172566.3458,0.0000
1762172566.5463,0.0000
1762172566.7473,0.0000
1762172566.9478,0.0000
1762172567.1478,0.0000
1762172567.3470,0.0000
1762172567.5485,0.0000
1762172567.7488,0.0000
1762172567.9484,0.0000
1762172568.1489,0.0000
1762172568.3709,359.9370
1762172568.5971,359.8750
1762172568.8066,359.9370
1762172569.0246,0.0000
1762172569.2365,0.1250
1762172569.4426,0.3120
1762172569.6752,0.3750
1762172569.8873,0.5000
1762172570.0941,0.5620
1762172570.3039,0.5000
1762172570.5155,0.4370
1762172570.7274,0.3120
1762172570.9488,0.1870
1762172571.1467,359.8120
1762172571.3740,359.4370
1762172571.5836,359.0000
1762172571.7972,358.8120
1762172572.0083,358.8120
1762172572.2307,358.8750
1762172572.4434,358.8120
1762172572.6551,358.8750
1762172572.8657,358.8750
1762172573.0775,358.9370
1762172573.2906,359.0000
1762172573.5044,359.2500
1762172573.7154,359.3120
1762172573.9268,359.2500
1762172574.1386,359.0620
1762172574.3518,359.1250
1762172574.5628,359.3750
1762172574.7639,359.3120
1762172575.0008,359.6250
1762172575.2123,0.0000
1762172575.4252,0.0000
1762172575.6367,0.0620
1762172575.8515,0.1250
1762172576.0844,0.0620
1762172576.2984,0.1250
1762172576.5092,0.1250
1762172576.7227,0.1870
1762172576.9335,0.1250
1762172577.1453,359.7500
1762172577.3570,359.5000
1762172577.5691,359.2500
1762172577.7795,358.9370
1762172577.9908,358.5620
1762172578.2026,358.1870
1762172578.4147,358.0000
1762172578.6266,357.6870
1762172578.8398,357.5000
1762172579.0533,357.3750
1762172579.2640,357.0620
1762172579.4756,356.8120
1762172579.6871,356.6870
1762172579.9016,356.5620
1762172580.1340,356.6870
1762172580.3486,356.6250
1762172580.5493,356.6250
1762172580.7608,356.6870
1762172580.9638,356.5620
1762172581.1804,356.5620
1762172581.4037,356.6870
1762172581.6255,356.8120
1762172581.8303,356.8120
1762172582.0423,357.0620
1762172582.2543,357.1250
1762172582.4664,357.1250
1762172582.6796,357.1870
1762172582.8916,357.0620
1762172583.0946,356.9370
1762172583.3152,356.8750
1762172583.5173,356.8750
1762172583.7364,356.9370
1762172583.9503,356.8750
1762172584.1735,356.9370
1762172584.3749,357.1870
1762172584.5750,357.3120
1762172584.8003,357.6870
1762172585.0115,357.8750
1762172585.2232,357.8750
1762172585.4355,357.8120
1762172585.6540,357.8750
1762172585.8865,358.2500
1762172586.0998,358.5620
1762172586.3090,358.7500
1762172586.5216,358.5620
1762172586.7344,358.4370
1762172586.9475,358.1870
1762172587.1584,357.8750
1762172587.3705,357.6250
1762172587.5830,357.4370
1762172587.7944,357.3120
1762172588.0063,357.1870
1762172588.2077,357.1870
1762172588.4213,357.1870
1762172588.6490,357.3750
1762172588.8563,357.5620
1762172589.0672,357.8120
1762172589.2803,357.8750
1762172589.4952,357.9370
1762172589.7084,357.9370
1762172589.9176,357.9370
1762172590.1364,358.1250
1762172590.3494,358.4370
1762172590.5595,358.6870
1762172590.7702,358.9370
1762172590.9820,359.3750
1762172591.1966,359.7500
1762172591.4068,0.1870
1762172591.6380,0.5620
1762172591.8503,0.8120
1762172592.0639,1.0000
1762172592.2896,1.3120
1762172592.5020,1.5000
1762172592.7117,1.8750
1762172592.9230,2.5000
1762172593.1366,3.0630
1762172593.3504,3.4380
1762172593.5596,3.6880
1762172593.7711,3.9380
1762172593.9826,3.9380
1762172594.1947,4.1250
1762172594.3957,4.1870
1762172594.5965,4.1870
1762172594.8021,4.2500
1762172595.0033,4.3120
1762172595.2155,4.3120
1762172595.4272,4.4370
1762172595.6382,4.6870
1762172595.8490,4.8120
1762172596.0612,4.5000
1762172596.2733,4.4370
1762172596.4854,4.1250
1762172596.6985,3.7500
1762172596.9291,3.2500
1762172597.1411,2.6880
1762172597.3521,2.3130
1762172597.5621,2.0000
1762172597.7743,1.7500
1762172597.9869,1.6250
1762172598.2009,1.5000
1762172598.4118,1.2500
1762172598.6231,1.0000
1762172598.8345,0.7500
1762172599.0478,0.3750
1762172599.2570,0.0000
1762172599.4681,359.5000
1762172599.6793,359.0000
1762172599.8914,358.6870
1762172600.1023,358.6250
1762172600.3142,358.5620
1762172600.5262,358.5620
1762172600.7373,358.6870
1762172600.9491,358.8750
1762172601.1600,359.1870
1762172601.3718,359.3120
1762172601.5837,359.3750
1762172601.7975,359.3120
1762172602.0094,359.2500
1762172602.2220,359.3120
1762172602.4362,359.4370
1762172602.6501,359.6250
1762172602.8604,359.7500
1762172603.0707,359.8120
1762172603.2818,359.8120
1762172603.5039,359.9370
