ros_time_s,omega_1
1762172564.9389,0.0000
1762172565.1391,0.0000
1762172565.3394,0.0000
1762172565.5404,0.0000
1762172565.7422,0.0000
1762172565.9442,0.0000
1762172566.1449,0.0000
1762172566.3454,0.0000
1762172566.5457,0.0000
1762172566.7468,0.0000
1762172566.9473,0.0000
1762172567.1476,0.0000
1762172567.3469,0.0000
1762172567.5484,0.0000
1762172567.7483,0.0000
1762172567.9480,0.0000
1762172568.1486,0.0000
1762172568.3705,3.4640
1762172568.5970,5.3560
1762172568.8063,10.1670
1762172569.0238,8.7480
1762172569.2360,10.9890
1762172569.4422,9.9410
1762172569.6750,8.5530
1762172569.8867,8.8100
1762172570.0935,6.5480
1762172570.3035,1.5630
1762172570.5153,-3.4230
1762172570.7272,-8.3990
1762172570.9485,-12.0380
1762172571.1462,-7.7610
1762172571.3735,-4.1430
1762172571.5833,0.7090
1762172571.7969,5.5610
1762172572.0081,10.3110
1762172572.2304,9.2620
1762172572.4427,14.0420
1762172572.6549,13.0040
1762172572.8653,12.5930
1762172573.0772,7.6170
1762172573.2903,6.5890
1762172573.5040,1.5930
1762172573.7147,1.8200
1762172573.9263,-1.1820
1762172574.1383,3.7320
1762172574.3513,3.3200
1762172574.5623,7.5760
1762172574.7636,11.7500
1762172575.0004,11.7500
1762172575.2117,7.0930
1762172575.4245,10.0130
1762172575.6363,10.3620
1762172575.8513,11.5960
1762172576.0841,8.0590
1762172576.2981,8.3780
1762172576.5086,8.0390
1762172576.7223,3.1150
1762172576.9332,-1.7580
1762172577.1446,-6.6720
1762172577.3565,-10.3310
1762172577.5685,-5.3970
1762172577.7792,-5.7980
1762172577.9903,-3.5670
1762172578.2022,0.0310
1762172578.4143,0.3190
1762172578.6262,-2.0460
1762172578.8393,-7.0310
1762172579.0530,-8.7170
1762172579.2634,-3.7420
1762172579.4752,1.1510
1762172579.6864,6.0450
1762172579.9011,10.9890
1762172580.1333,10.3310
1762172580.3481,12.0890
1762172580.5487,7.4730
1762172580.7603,10.9690
1762172580.9633,15.2350
1762172581.1801,12.5930
1762172581.4033,11.2980
1762172581.6252,6.5070
1762172581.8301,4.6460
1762172582.0420,-0.3700
1762172582.2540,1.8500
1762172582.4661,3.4750
1762172582.6792,1.7680
1762172582.8911,6.7540
1762172583.0941,11.9140
1762172583.3149,13.8260
1762172583.7360,12.6650
1762172583.9499,17.5990
1762172584.1732,15.2350
1762172584.3746,15.1320
1762172584.5746,14.1550
1762172584.8000,11.2770
1762172585.0111,6.6720
1762172585.2230,3.0840
1762172585.4351,7.9770
1762172585.6534,12.0990
1762172585.8860,9.5290
1762172586.0982,4.5230
1762172586.3083,-0.5140
1762172586.5211,-4.1740
1762172586.7341,-0.6170
1762172586.9470,-5.6230
1762172587.1580,-4.7180
1762172587.3701,-8.4290
1762172587.5823,-3.5260
1762172587.7940,1.3470
1762172588.0060,6.2910
1762172588.2075,11.4210
1762172588.4209,15.0190
1762172588.6458,16.9930
1762172588.8561,18.5450
1762172589.0669,13.5280
1762172589.2800,15.8720
1762172589.4947,14.8240
1762172589.7075,19.7060
1762172589.9171,24.5380
1762172590.1359,24.1270
1762172590.3489,19.1620
1762172590.5591,19.4290
1762172590.7699,24.2710
1762172590.9818,21.1970
1762172591.1961,20.8170
1762172591.4061,15.7280
1762172591.6378,16.6330
1762172591.8500,16.9510
1762172592.0632,21.8450
1762172592.2891,24.6410
1762172592.5016,29.3900
1762172592.7111,28.9480
1762172592.9228,23.9310
1762172593.1361,18.9350
1762172593.3487,13.9390
1762172593.5592,14.9060
1762172593.7709,11.2260
1762172593.9821,10.8450
1762172594.1945,9.1590
1762172594.3952,11.4000
1762172594.5961,11.4000
1762172594.8019,11.4000
1762172595.0029,11.3180
1762172595.2150,14.4530
1762172595.4269,9.4470
1762172595.6379,4.4610
1762172595.8487,-0.5140
1762172596.0609,-5.4790
1762172596.2729,-7.1140
1762172596.4850,-9.4370
1762172596.6981,-11.1130
1762172596.9288,-11.7600
1762172597.1407,-9.1180
1762172597.3518,-4.1740
1762172597.5618,0.7300
1762172597.7739,5.6740
1762172597.9862,1.3770
1762172598.2005,-3.6390
1762172598.4111,-8.6660
1762172598.6228,-13.6620
1762172598.8340,-18.6890
1762172599.0474,-18.4210
1762172599.2567,-13.4870
1762172599.4678,-8.5430
1762172599.6789,-3.6390
1762172599.8909,1.2540
1762172600.1019,6.1170
1762172600.3138,10.9690
1762172600.5257,15.8210
1762172600.7368,13.4870
1762172600.9487,14.4020
1762172601.1596,9.3750
1762172601.3716,9.6840
1762172601.5835,7.2880
1762172601.7972,5.6030
1762172602.0091,10.5370
1762172602.2216,10.1050
1762172602.4356,7.9980
1762172602.6495,3.0020
1762172602.8598,-2.0050
1762172603.0705,2.2620
1762172603.2815,7.0420
1762172603.5035,7.9770
1762172603.7148,12.4490
1762172603.9379,10.0950
1762172604.1665,10.3420
1762172604.3796,6.0140
1762172604.5923,4.3280
1762172604.8038,3.9470
1762172605.0157,-1.1000
1762172605.2269,-6.1270
1762172605.4385,-5.8290
1762172605.6514,-0.9970
1762172605.8626,3.7520
1762172606.0756,8.5840
1762172606.2876,6.1680
1762172606.5006,8.4600
1762172606.7018,10.7730
1762172606.9296,8.1010
1762172607.1415,10.5160
1762172607.3805,8.1110
1762172607.5932,8.4500
1762172607.8056,6.0650
1762172608.0186,2.3950
1762172608.2296,2.0250
1762172608.4432,-3.0020
1762172608.6538,-8.0800
1762172608.8645,-9.7760
1762172609.0766,-4.7600
1762172609.2898,0.1340
1762172609.5032,-0.9050
1762172609.7135,-1.2750
1762172609.9257,0.9250
1762172610.1376,-3.4540
1762172610.3505,-3.1560
1762172610.5613,1.7680
1762172610.7733,5.3870
