ros_time_s,Error_Distancia
1762168440.3621,-0.0193
1762168440.4010,-0.0193
1762168440.4510,-0.0193
1762168440.5009,-0.0193
1762168440.5626,-0.0156
1762168440.6010,-0.0156
1762168440.6508,-0.0156
1762168440.7010,-0.0156
1762168440.7589,-0.0349
1762168440.8009,-0.0349
1762168440.8510,-0.0349
1762168440.9012,-0.0349
1762168440.9622,-0.0227
1762168441.0010,-0.0227
1762168441.0508,-0.0227
1762168441.1129,-0.0409
1762168441.1511,-0.0409
1762168441.2006,-0.0409
1762168441.2509,-0.0409
1762168441.3117,-0.0112
1762168441.3507,-0.0112
1762168441.4006,-0.0112
1762168441.4593,-0.0179
1762168441.5007,-0.0179
1762168441.5509,-0.0179
1762168441.6010,-0.0179
1762168441.6622,-0.0008
1762168441.7010,-0.0008
1762168441.7508,-0.0008
1762168441.8133,-0.0274
1762168441.8509,-0.0274
1762168441.9004,-0.0274
1762168441.9506,-0.0274
1762168442.0355,-0.0168
1762168442.0499,-0.0168
1762168442.1007,-0.0168
1762168442.1648,-0.0287
1762168442.2011,-0.0287
1762168442.2510,-0.0287
1762168442.3114,0.0081
1762168442.3506,0.0081
1762168442.4006,0.0081
1762168442.4509,0.0081
1762168442.5124,-0.0022
1762168442.5512,-0.0022
1762168442.6006,-0.0022
1762168442.6625,0.0084
1762168442.7011,0.0084
1762168442.7511,0.0084
1762168442.8019,0.0084
1762168442.8586,-0.0145
1762168442.9001,-0.0145
1762168442.9512,-0.0145
1762168443.0136,0.0206
1762168443.0506,0.0206
1762168443.1011,0.0206
1762168443.1515,0.0206
1762168443.2117,-0.0161
1762168443.2507,-0.0161
1762168443.3011,-0.0161
1762168443.3621,0.0187
1762168443.4010,0.0187
1762168443.4509,0.0187
1762168443.5121,-0.0193
1762168443.5511,-0.0193
1762168443.6010,-0.0193
1762168443.6510,-0.0193
1762168443.7126,-0.0320
1762168443.7501,-0.0320
1762168443.8008,-0.0320
1762168443.8616,0.0077
1762168443.9011,0.0077
1762168443.9511,0.0077
1762168444.0009,0.0077
1762168444.0581,0.0106
1762168444.1003,0.0106
1762168444.1511,0.0106
1762168444.2125,0.0266
1762168444.2504,0.0266
1762168444.3004,0.0266
1762168444.3611,0.0126
1762168444.4008,0.0126
1762168444.4506,0.0126
1762168444.5004,0.0126
1762168444.5590,0.0241
1762168444.6003,0.0241
1762168444.6510,0.0241
1762168444.7086,0.0245
1762168444.7510,0.0245
1762168444.8005,0.0245
1762168444.8587,0.0211
1762168444.9008,0.0211
1762168444.9508,0.0211
1762168445.0005,0.0211
1762168445.0581,0.0055
1762168445.1010,0.0055
1762168445.1508,0.0055
1762168445.2121,-0.0021
1762168445.2510,-0.0021
1762168445.3011,-0.0021
1762168445.3511,-0.0021
1762168445.4137,0.0288
1762168445.4509,0.0288
1762168445.5010,0.0288
1762168445.5581,0.0080
1762168445.6008,0.0080
1762168445.6509,0.0080
1762168445.7100,0.0213
1762168445.7508,0.0213
1762168445.8006,0.0213
1762168445.8506,0.0213
1762168445.9116,0.0460
1762168445.9511,0.0460
1762168446.0008,0.0460
1762168446.0627,0.0158
1762168446.1008,0.0158
1762168446.1510,0.0158
1762168446.2009,0.0158
1762168446.2634,0.0326
1762168446.3007,0.0326
1762168446.3510,0.0326
1762168446.4122,0.0179
1762168446.4510,0.0179
1762168446.5010,0.0179
1762168446.5613,0.0106
1762168446.6008,0.0106
1762168446.6508,0.0106
1762168446.7007,0.0106
1762168446.7625,0.0119
1762168446.8009,0.0119
1762168446.8509,0.0119
1762168446.9107,0.0129
1762168446.9509,0.0129
1762168447.0009,0.0129
1762168447.0510,0.0129
1762168447.1121,0.0147
1762168447.1503,0.0147
1762168447.2005,0.0147
1762168447.2626,0.0202
1762168447.3009,0.0202
1762168447.3505,0.0202
1762168447.4123,-0.0086
1762168447.4509,-0.0086
1762168447.5009,-0.0086
1762168447.5499,-0.0086
1762168447.6044,0.0140
1762168447.6495,0.0140
1762168447.6995,0.0140
1762168447.7545,-0.0029
1762168447.7994,-0.0029
1762168447.8494,-0.0029
1762168447.9044,-0.0035
1762168447.9495,-0.0035
1762168448.0007,-0.0035
1762168448.0508,-0.0035
1762168448.1126,0.0119
1762168448.1512,0.0119
1762168448.2010,0.0119
1762168448.2625,-0.0084
1762168448.3011,-0.0084
1762168448.3518,-0.0084
1762168448.4013,-0.0084
1762168448.4616,0.0038
1762168448.5006,0.0038
1762168448.5509,0.0038
1762168448.6138,0.0210
1762168448.6502,0.0210
1762168448.7004,0.0210
1762168448.7610,0.0440
1762168448.8002,0.0440
1762168448.8502,0.0440
1762168448.9009,0.0440
1762168448.9637,0.0319
1762168449.0010,0.0319
1762168449.0503,0.0319
1762168449.1108,0.0369
1762168449.1504,0.0369
1762168449.2008,0.0369
1762168449.2511,0.0369
1762168449.3093,0.0116
1762168449.3511,0.0116
1762168449.4011,0.0116
1762168449.4615,-0.0075
1762168449.5010,-0.0075
1762168449.5512,-0.0075
1762168449.6149,-0.0198
1762168449.6509,-0.0198
1762168449.7010,-0.0198
1762168449.7625,-0.0277
1762168449.8009,-0.0277
1762168449.8508,-0.0277
1762168449.9009,-0.0277
1762168449.9619,-0.0158
1762168450.0005,-0.0158
1762168450.0503,-0.0158
1762168450.1130,-0.0318
1762168450.1509,-0.0318
1762168450.2008,-0.0318
1762168450.2509,-0.0318
1762168450.3126,-0.0245
1762168450.3500,-0.0245
1762168450.4007,-0.0245
1762168450.4615,-0.0167
1762168450.5003,-0.0167
1762168450.5505,-0.0167
1762168450.6008,-0.0167
1762168450.6639,-0.0261
1762168450.7013,-0.0261
1762168450.7511,-0.0261
1762168450.8082,-0.0185
1762168450.8509,-0.0185
1762168450.9009,-0.0185
1762168450.9589,-0.0233
1762168451.0010,-0.0233
1762168451.0509,-0.0233
1762168451.1010,-0.0233
1762168451.1582,-0.0356
1762168451.2009,-0.0356
1762168451.2506,-0.0356
1762168451.3134,-0.0453
1762168451.3509,-0.0453
1762168451.4010,-0.0453
1762168451.4611,0.0006
1762168451.5009,0.0006
1762168451.5507,0.0006
1762168451.6105,-0.0195
1762168451.6509,-0.0195
1762168451.7007,-0.0195
1762168451.7509,-0.0195
1762168451.8108,-0.0114
1762168451.8500,-0.0114
1762168451.9010,-0.0114
1762168451.9511,-0.0114
1762168452.0119,0.0065
1762168452.0509,0.0065
1762168452.1010,0.0065
1762168452.1618,-0.0050
1762168452.2002,-0.0050
1762168452.2505,-0.0050
1762168452.3126,-0.0220
1762168452.3505,-0.0220
1762168452.4013,-0.0220
1762168452.4503,-0.0220
1762168452.5085,-0.0002
1762168452.5508,-0.0002
1762168452.6010,-0.0002
1762168452.6627,-0.0001
1762168452.7010,-0.0001
1762168452.7510,-0.0001
1762168452.8096,0.0062
1762168452.8508,0.0062
1762168452.9014,0.0062
1762168452.9511,0.0062
1762168453.0112,-0.0180
1762168453.0503,-0.0180
1762168453.1007,-0.0180
1762168453.1576,0.0078
1762168453.1997,0.0078
1762168453.2510,0.0078
1762168453.3002,0.0078
1762168453.3583,-0.0106
1762168453.4010,-0.0106
1762168453.4510,-0.0106
1762168453.5082,-0.0157
1762168453.5509,-0.0157
1762168453.6009,-0.0157
1762168453.6606,0.0023
1762168453.7008,0.0023
1762168453.7506,0.0023
1762168453.8088,0.0088
1762168453.8507,0.0088
1762168453.9003,0.0088
1762168453.9505,0.0088
1762168454.0080,-0.0053
1762168454.0508,-0.0053
1762168454.1006,-0.0053
1762168454.1615,-0.0048
1762168454.2011,-0.0048
1762168454.2509,-0.0048
1762168454.3008,-0.0048
1762168454.3618,0.0058
1762168454.4004,0.0058
1762168454.4505,0.0058
1762168454.5108,-0.0095
1762168454.5500,-0.0095
1762168454.6007,-0.0095
1762168454.6613,0.0301
1762168454.7006,0.0301
1762168454.7510,0.0301
1762168454.8007,0.0301
1762168454.8638,0.0191
1762168454.9010,0.0191
1762168454.9495,0.0191
1762168455.0114,-0.0059
1762168455.0511,-0.0059
1762168455.1011,-0.0059
1762168455.1583,0.0135
1762168455.2016,0.0135
1762168455.2509,0.0135
1762168455.3008,0.0135
1762168455.3628,0.0176
1762168455.4009,0.0176
1762168455.4508,0.0176
1762168455.5129,0.0324
1762168455.5505,0.0324
1762168455.6004,0.0324
1762168455.6611,0.0517
1762168455.7009,0.0517
1762168455.7507,0.0517
1762168455.8010,0.0517
1762168455.8626,0.0185
1762168455.9010,0.0185
1762168455.9510,0.0185
1762168456.0120,0.0067
1762168456.0502,0.0067
1762168456.1010,0.0067
1762168456.1510,0.0067
1762168456.2089,0.0208
1762168456.2509,0.0208
1762168456.3005,0.0208
1762168456.3612,0.0013
1762168456.4010,0.0013
1762168456.4510,0.0013
1762168456.5123,-0.0133
1762168456.5513,-0.0133
1762168456.6012,-0.0133
1762168456.6512,-0.0133
1762168456.7087,-0.0199
1762168456.7510,-0.0199
1762168456.8009,-0.0199
1762168456.8636,0.0218
1762168456.9010,0.0218
1762168456.9509,0.0218
1762168457.0122,-0.0178
1762168457.0513,-0.0178
1762168457.1013,-0.0178
1762168457.1599,0.0099
1762168457.2018,0.0099
1762168457.2506,0.0099
1762168457.3017,0.0099
1762168457.3614,0.0060
1762168457.4001,0.0060
1762168457.4507,0.0060
1762168457.5124,0.0121
1762168457.5509,0.0121
1762168457.6009,0.0121
