ros_time_s,Imu_Error_yaw
1762168438.5159,0.0000
1762168438.7944,0.0000
1762168439.0807,0.0011
1762168439.3057,0.0011
1762168439.5267,0.0011
1762168439.7563,0.0011
1762168439.9490,0.0011
1762168440.1465,0.0011
1762168440.3498,0.0011
1762168440.5295,0.0011
1762168440.7115,0.0011
1762168440.9034,0.0011
1762168441.0834,0.0011
1762168441.2631,0.0011
1762168441.4415,0.0000
1762168441.6044,0.0011
1762168441.7801,0.0022
1762168441.9509,0.0065
1762168442.1272,0.0098
1762168442.2850,0.0131
1762168442.4594,0.0164
1762168442.6241,0.0186
1762168442.8110,0.0196
1762168442.9841,0.0207
1762168443.1520,0.0251
1762168443.3054,0.0305
1762168443.4853,0.0338
1762168443.6633,0.0382
1762168443.8185,0.0393
1762168444.0031,0.0393
1762168444.1704,0.0436
1762168444.3378,0.0426
1762168444.5162,0.0480
1762168444.6712,0.0524
1762168444.8491,0.0556
1762168445.0032,0.0556
1762168445.1831,0.0535
1762168445.3614,0.0524
1762168445.5149,0.0480
1762168445.6948,0.0436
1762168445.8727,0.0436
1762168446.0271,0.0415
1762168446.2069,0.0404
1762168446.3857,0.0393
1762168446.5390,0.0393
1762168446.7048,0.0382
1762168446.8704,0.0360
1762168447.0616,0.0338
1762168447.2234,0.0284
1762168447.3810,0.0240
1762168447.5610,0.0240
1762168447.7140,0.0207
1762168447.8927,0.0153
1762168448.0741,0.0087
1762168448.2309,0.0022
1762168448.4086,0.0022
1762168448.5679,-0.0022
1762168448.7464,-0.0033
1762168448.9039,-0.0054
1762168449.0723,-0.0033
1762168449.2510,-0.0033
1762168449.4050,-0.0022
1762168449.5831,-0.0011
1762168449.7387,-0.0044
1762168449.9170,-0.0076
1762168450.0881,-0.0076
1762168450.2662,-0.0098
1762168450.4211,-0.0142
1762168450.5999,-0.0164
1762168450.7533,-0.0164
1762168450.9326,-0.0164
1762168451.1047,-0.0142
1762168451.2828,-0.0087
1762168451.4366,-0.0022
1762168451.5988,-0.0022
1762168451.7786,0.0011
1762168451.9548,0.0076
1762168452.1274,0.0153
1762168452.2726,0.0251
1762168452.4509,0.0251
1762168452.6300,0.0316
1762168452.7909,0.0382
1762168452.9695,0.0447
1762168453.1244,0.0524
1762168453.3023,0.0524
1762168453.4563,0.0567
1762168453.6385,0.0578
1762168453.7942,0.0611
1762168453.9723,0.0611
1762168454.1361,0.0611
1762168454.3148,0.0665
