ros_time_s,Lecturas_ValidasRojo
1762168438.5174,0.0000
1762168438.7956,0.0000
1762168439.0822,0.0000
1762168439.3071,0.0000
1762168439.5271,0.0000
1762168439.7567,0.0000
1762168439.9494,0.0000
1762168440.1469,0.0000
1762168440.3512,0.0000
1762168440.5310,0.0000
1762168440.7127,0.0000
1762168440.9046,0.0000
1762168441.0848,0.0000
1762168441.2644,0.0000
1762168441.4433,0.0000
1762168441.6055,0.0000
1762168441.7815,0.0000
1762168441.9522,0.0000
1762168442.1287,0.0000
1762168442.2864,0.0000
1762168442.4606,0.0000
1762168442.6254,0.0000
1762168442.8123,0.0000
1762168442.9856,0.0000
1762168443.1534,0.0000
1762168443.3064,0.0000
1762168443.4867,0.0000
1762168443.6647,0.0000
1762168443.8199,0.0000
1762168444.0045,0.0000
1762168444.1724,0.0000
1762168444.3391,0.0000
1762168444.5176,0.0000
1762168444.6725,0.0000
1762168444.8508,0.0000
1762168445.0044,0.0000
1762168445.1844,0.0000
1762168445.3628,1.0000
1762168445.5161,1.0000
1762168445.6961,2.0000
1762168445.8742,1.0000
1762168446.0284,2.0000
1762168446.2083,2.0000
1762168446.3882,3.0000
1762168446.5404,3.0000
1762168446.7060,3.0000
1762168446.8720,4.0000
1762168447.0631,4.0000
1762168447.2252,4.0000
1762168447.3824,5.0000
1762168447.5614,5.0000
1762168447.7144,4.0000
1762168447.8931,4.0000
1762168448.0755,5.0000
1762168448.2322,5.0000
1762168448.4101,4.0000
1762168448.5693,5.0000
1762168448.7478,5.0000
1762168448.9051,5.0000
1762168449.0735,5.0000
1762168449.2531,5.0000
1762168449.4061,4.0000
1762168449.5847,4.0000
1762168449.7400,4.0000
1762168449.9186,4.0000
1762168450.0894,3.0000
1762168450.2676,3.0000
1762168450.4224,4.0000
1762168450.6013,2.0000
1762168450.7548,4.0000
1762168450.9344,4.0000
1762168451.1060,3.0000
1762168451.2842,2.0000
1762168451.4380,2.0000
1762168451.6000,2.0000
1762168451.7800,2.0000
1762168451.9558,1.0000
1762168452.1294,1.0000
1762168452.2739,1.0000
1762168452.4520,1.0000
1762168452.6314,2.0000
1762168452.7923,2.0000
1762168452.9710,0.0000
1762168453.1258,1.0000
1762168453.3033,1.0000
1762168453.4572,1.0000
1762168453.6400,1.0000
1762168453.7956,1.0000
1762168453.9737,1.0000
1762168454.1375,1.0000
1762168454.3161,1.0000
1762168454.4709,2.0000
1762168454.6483,1.0000
1762168454.8035,1.0000
1762168454.9820,1.0000
1762168455.1363,2.0000
1762168455.3144,1.0000
1762168455.4727,0.0000
1762168455.6492,0.0000
1762168455.8280,0.0000
1762168455.9818,0.0000
1762168456.1558,0.0000
1762168456.3259,0.0000
1762168456.4802,0.0000
1762168456.6571,0.0000
1762168456.8129,0.0000
1762168456.9896,0.0000
1762168457.1471,0.0000
1762168457.3257,0.0000
1762168457.4809,0.0000
1762168457.6574,0.0000
1762168457.8334,0.0000
1762168458.0019,0.0000
1762168458.1562,0.0000
1762168458.3353,0.0000
1762168458.4895,0.0000
1762168458.6682,0.0000
1762168458.8233,0.0000
1762168459.0017,0.0000
1762168459.1495,0.0000
1762168459.3292,0.0000
1762168459.4922,0.0000
1762168459.6756,0.0000
1762168459.8291,0.0000
1762168460.0062,0.0000
1762168460.1620,0.0000
1762168460.3412,0.0000
1762168460.4958,0.0000
1762168460.6740,0.0000
1762168460.8526,0.0000
1762168461.0186,0.0000
1762168461.1738,0.0000
1762168461.3597,0.0000
1762168461.5056,0.0000
1762168461.6963,0.0000
1762168461.8496,0.0000
1762168462.0188,0.0000
1762168462.1970,0.0000
1762168462.3505,0.0000
1762168462.5222,0.0000
1762168462.7016,0.0000
1762168462.8801,0.0000
1762168463.0337,0.0000
1762168463.2118,0.0000
1762168463.3605,0.0000
1762168463.5312,0.0000
1762168463.7012,0.0000
1762168463.8873,0.0000
1762168464.0551,0.0000
1762168464.2093,0.0000
1762168464.3878,0.0000
1762168464.5490,0.0000
1762168464.7277,0.0000
1762168464.8840,0.0000
1762168465.0602,0.0000
1762168465.2147,0.0000
1762168465.3949,0.0000
1762168465.5489,0.0000
1762168465.7299,0.0000
1762168465.8868,0.0000
1762168466.0620,0.0000
1762168466.2427,0.0000
1762168466.3962,0.0000
1762168466.5764,0.0000
1762168466.7438,0.0000
1762168466.8998,0.0000
1762168467.0678,0.0000
1762168467.2464,0.0000
1762168467.4022,0.0000
1762168467.5811,0.0000
1762168467.7572,0.0000
1762168467.9126,0.0000
1762168468.0774,0.0000
1762168468.2559,0.0000
1762168468.4108,0.0000
1762168468.5887,0.0000
1762168468.7677,0.0000
1762168468.9194,0.0000
1762168469.1001,0.0000
1762168469.2555,0.0000
1762168469.4332,0.0000
