ros_time_s,Lidar_Left
1762168438.5159,1.1255
1762168438.7944,1.1129
1762168439.0807,1.1184
1762168439.3057,1.1446
1762168439.5267,1.1250
1762168439.7563,1.1256
1762168439.9490,1.0989
1762168440.1465,1.0957
1762168440.3498,1.1193
1762168440.5295,1.1156
1762168440.7115,1.1349
1762168440.9034,1.1227
1762168441.0834,1.1409
1762168441.2631,1.1112
1762168441.4415,1.1179
1762168441.6044,1.1008
1762168441.7801,1.1274
1762168441.9509,1.1168
1762168442.1272,1.1287
1762168442.2850,1.0919
1762168442.4594,1.1022
1762168442.6241,1.0916
1762168442.8110,1.1145
1762168442.9841,1.0794
1762168443.1520,1.1161
1762168443.3054,1.0813
1762168443.4853,1.1193
1762168443.6633,1.1320
1762168443.8185,1.0923
1762168444.0031,1.0894
1762168444.1704,1.0734
1762168444.3378,1.0874
1762168444.5162,1.0759
1762168444.6712,1.0755
1762168444.8491,1.0789
1762168445.0032,1.0945
1762168445.1831,1.1021
1762168445.3614,1.0712
1762168445.5149,1.0920
1762168445.6948,1.0787
1762168445.8727,1.0540
1762168446.0271,1.0842
1762168446.2069,1.0674
1762168446.3857,1.0821
1762168446.5390,1.0894
1762168446.7048,1.0881
1762168446.8704,1.0871
1762168447.0616,1.0853
1762168447.2234,1.0798
1762168447.3810,1.1086
1762168447.5610,1.0860
1762168447.7140,1.1029
1762168447.8927,1.1035
1762168448.0741,1.0881
1762168448.2309,1.1084
1762168448.4086,1.0962
1762168448.5679,1.0790
1762168448.7464,1.0560
1762168448.9039,1.0681
1762168449.0723,1.0631
1762168449.2510,1.0884
1762168449.4050,1.1075
1762168449.5831,1.1198
1762168449.7387,1.1277
1762168449.9170,1.1158
1762168450.0881,1.1318
1762168450.2662,1.1245
1762168450.4211,1.1167
1762168450.5999,1.1261
1762168450.7533,1.1185
1762168450.9326,1.1233
1762168451.1047,1.1356
1762168451.2828,1.1453
1762168451.4366,1.0994
1762168451.5988,1.1195
1762168451.7786,1.1114
1762168451.9548,1.0935
1762168452.1274,1.1050
1762168452.2726,1.1220
1762168452.4509,1.1002
1762168452.6300,1.1001
1762168452.7909,1.0938
1762168452.9695,1.1180
1762168453.1244,1.0922
1762168453.3023,1.1106
1762168453.4563,1.1157
1762168453.6385,1.0977
1762168453.7942,1.0912
1762168453.9723,1.1053
1762168454.1361,1.1048
1762168454.3148,1.0942
1762168454.4695,1.1095
1762168454.6469,1.0699
1762168454.8022,1.0809
1762168454.9806,1.1059
1762168455.1349,1.0865
1762168455.3131,1.0824
1762168455.4708,1.0676
1762168455.6479,1.0483
1762168455.8265,1.0815
1762168455.9804,1.0933
1762168456.1547,1.0792
1762168456.3244,1.0987
1762168456.4789,1.1133
1762168456.6561,1.1199
1762168456.8117,1.0782
1762168456.9882,1.1178
1762168457.1455,1.0901
1762168457.3245,1.0940
1762168457.4796,1.0879
1762168457.6565,1.1101
1762168457.8315,1.0920
1762168458.0002,1.0889
1762168458.1550,1.1119
1762168458.3338,1.1041
1762168458.4880,1.0847
1762168458.6668,1.0946
1762168458.8219,1.0914
1762168459.0002,1.1139
1762168459.1490,1.1135
1762168459.3288,1.0928
1762168459.4908,1.1114
1762168459.6741,1.0680
1762168459.8277,1.1064
1762168460.0052,1.0791
1762168460.1607,1.0607
1762168460.3397,1.0853
1762168460.4944,1.0807
1762168460.6726,1.0750
1762168460.8511,1.1147
1762168461.0170,1.0939
1762168461.1722,1.1006
1762168461.3584,1.0886
1762168461.5045,1.0948
1762168461.6947,1.0792
1762168461.8482,1.0707
1762168462.0175,1.0866
1762168462.1956,1.0815
1762168462.3491,1.0865
1762168462.5208,1.0986
1762168462.6999,1.0927
1762168462.8785,1.0967
1762168463.0323,1.0863
1762168463.2105,1.1057
1762168463.3597,1.0969
1762168463.5299,1.0648
1762168463.6997,1.1194
1762168463.8859,1.1079
1762168464.0537,1.0833
1762168464.2081,1.1011
1762168464.3863,1.0832
1762168464.5478,1.1029
1762168464.7267,1.1056
1762168464.8827,1.1118
1762168465.0594,1.1016
1762168465.2137,1.1062
1762168465.3936,1.1009
1762168465.5475,1.0892
1762168465.7281,1.0985
1762168465.8854,1.0959
1762168466.0609,1.0890
1762168466.2411,1.0723
1762168466.3948,1.1037
1762168466.5750,1.1089
1762168466.7424,1.1127
1762168466.8983,1.1227
1762168467.0666,1.0833
1762168467.2449,1.0961
1762168467.4008,1.1101
1762168467.5793,1.1104
1762168467.7562,1.1195
1762168467.9113,1.1171
1762168468.0759,1.0895
1762168468.2544,1.1023
1762168468.4095,1.1018
1762168468.5874,1.1019
1762168468.7661,1.0737
1762168468.9186,1.0978
1762168469.0988,1.0842
1762168469.2545,1.0796
1762168469.4318,1.0630
1762168469.6100,1.0622
1762168469.7640,1.0728
1762168469.9438,1.0940
1762168470.0997,1.0870
1762168470.2786,1.0747
1762168470.5135,1.0708
1762168470.6943,1.0624
1762168470.8725,1.0775
1762168471.0265,1.1116
1762168471.2048,1.0766
1762168471.3566,1.1310
1762168471.5326,1.1008
1762168471.7107,1.0965
1762168471.8646,1.0976
1762168472.0434,1.0840
1762168472.1980,1.0728
1762168472.3801,1.1125
1762168472.5339,1.0952
1762168472.7005,1.0868
1762168472.8798,1.1148
1762168473.0531,1.1158
1762168473.2070,1.1121
1762168473.3929,1.1137
1762168473.5485,1.1126
1762168473.7302,1.1166
1762168473.8960,1.0743
1762168474.0488,1.0907
1762168474.2240,1.0814
1762168474.3984,1.0753
1762168474.5536,1.1093
1762168474.7329,1.1109
1762168474.8916,1.0786
1762168475.0576,1.0875
1762168475.2419,1.0661
1762168475.4010,1.0784
1762168475.5601,1.0686
1762168475.7411,1.0711
1762168475.8948,1.1004
1762168476.0653,1.0534
1762168476.2436,1.0861
1762168476.3990,1.0930
1762168476.5778,1.1064
1762168476.7326,1.0714
1762168476.9113,1.0687
1762168477.0847,1.1151
1762168477.2379,1.0807
1762168477.4165,1.0816
1762168477.5943,1.0865
1762168477.7439,1.0950
1762168477.9244,1.1101
1762168478.1003,1.0990
1762168478.2545,1.0904
1762168478.4344,1.0815
1762168478.5892,1.0769
1762168478.7682,1.0682
1762168478.9276,1.0917
1762168479.1056,1.0876
1762168479.2601,1.0752
1762168479.4395,1.0865
1762168479.5947,1.1095
1762168479.7816,1.0966
1762168479.9349,1.0924
1762168480.1073,1.1040
1762168480.2668,1.1062
1762168480.4462,1.1258
1762168480.6231,1.1094
1762168480.7761,1.1107
1762168480.9399,1.1240
1762168481.1041,1.1083
1762168481.2864,1.1122
1762168481.4387,1.1013
1762168481.6202,1.0867
1762168481.7977,1.1082
1762168481.9525,1.1099
1762168482.1319,1.0954
1762168482.2853,1.1264
1762168482.4637,1.1292
1762168482.6268,1.0891
1762168482.8054,1.0921
1762168482.9597,1.1127
1762168483.1269,1.1155
1762168483.2957,1.0917
1762168483.4690,1.0962
1762168483.6476,1.0853
1762168483.8008,1.0900
1762168483.9683,1.1085
1762168484.1421,1.0995
1762168484.2966,1.0960
1762168484.4749,1.0953
1762168484.6535,1.0846
1762168484.8084,1.0952
1762168484.9694,1.0888
1762168485.1478,1.1007
1762168485.3015,1.0793
1762168485.4783,1.0923
1762168485.6553,1.0834
1762168485.8099,1.0890
1762168485.9907,1.0914
1762168486.1583,1.0774
1762168486.3335,1.0686
1762168486.4986,1.0907
1762168486.6671,1.0789
1762168486.8280,1.0713
1762168486.9827,1.1011
1762168487.1646,1.0677
1762168487.3244,1.0780
1762168487.5018,1.0666
1762168487.6548,1.0744
1762168487.8212,1.0991
1762168487.9961,1.0567
1762168488.1586,1.1218
1762168488.3326,1.0677
1762168488.5123,1.1090
1762168488.6614,1.1085
1762168488.8494,1.0765
1762168489.0032,1.0923
1762168489.1721,1.0761
1762168489.3501,1.0948
1762168489.5053,1.0521
1762168489.6877,1.1114
1762168489.8413,1.0777
1762168490.0190,1.0895
1762168490.1837,1.1019
1762168490.3379,1.1125
1762168490.5236,1.0550
1762168490.6765,1.1055
1762168490.8559,1.1064
1762168491.0096,1.1113
1762168491.1966,1.1068
1762168491.3501,1.1127
1762168491.5296,1.1155
1762168491.6846,1.1096
1762168491.8690,1.0876
1762168492.0238,1.0748
1762168492.1902,1.1238
1762168492.3704,1.1061
1762168492.5234,1.0862
1762168492.7022,1.0972
1762168492.8554,1.0927
1762168493.0355,1.1178
1762168493.2148,1.1009
1762168493.3676,1.0887
1762168493.5460,1.0817
1762168493.6999,1.1044
1762168493.8794,1.0814
1762168494.0351,1.0841
1762168494.2125,1.0806
1762168494.3915,1.0746
1762168494.5458,1.0460
1762168494.7062,1.0830
1762168494.8948,1.0457
1762168495.0494,1.0483
1762168495.2195,1.0666
1762168495.3806,1.0708
1762168495.5528,1.0571
1762168495.7330,1.0718
1762168495.8990,1.0600
1762168496.0528,1.0440
1762168496.2340,1.0574
1762168496.3881,1.0537
1762168496.5656,1.0814
1762168496.7305,1.0615
1762168496.8928,1.0820
1762168497.0600,1.0991
1762168497.2403,1.1000
1762168497.3935,1.1052
1762168497.5821,1.1067
1762168497.7372,1.1228
1762168497.9138,1.0689
1762168498.0710,1.1158
1762168498.2407,1.0946
1762168498.4087,1.1091
1762168498.5829,1.1046
1762168498.7384,1.1060
1762168498.9155,1.0908
1762168499.0745,1.0897
1762168499.2514,1.1061
1762168499.4194,1.0763
1762168499.5886,1.1272
1762168499.7479,1.1283
1762168499.9271,1.0982
1762168500.0842,1.0912
1762168500.2625,1.0866
1762168500.4168,1.1041
1762168500.6000,1.0970
1762168500.7485,1.1122
1762168500.9162,1.1106
1762168501.0930,1.0772
1762168501.2694,1.0814
1762168501.4299,1.1148
1762168501.5839,1.1367
1762168501.7599,1.0689
1762168501.9315,1.0944
1762168502.0963,1.1077
1762168502.2566,1.1080
1762168502.4244,1.1201
1762168502.5897,1.1044
1762168502.7571,1.1073
1762168502.9248,1.0823
1762168503.0978,1.0784
1762168503.2655,1.0811
1762168503.4335,1.0864
1762168503.5932,1.0591
1762168503.7634,1.0782
1762168503.9409,1.0697
1762168504.0943,1.0941
1762168504.2749,1.0914
1762168504.4431,1.0798
1762168504.5969,1.0877
1762168504.7727,1.0703
1762168504.9364,1.0660
1762168505.1111,1.0855
1762168505.2709,1.0930
1762168505.4444,1.0891
1762168505.5997,1.0697
1762168505.7712,1.0632
1762168505.9424,1.1037
1762168506.1134,1.0812
1762168506.2745,1.1091
1762168506.4428,1.1033
1762168506.6104,1.1324
1762168506.7729,1.0905
1762168506.9520,1.1361
1762168507.1220,1.0904
1762168507.2886,1.1100
1762168507.4519,1.1030
1762168507.6202,1.1058
1762168507.7896,1.0754
1762168507.9677,1.1062
1762168508.1233,1.1068
1762168508.3006,1.1243
1762168508.4621,1.1246
1762168508.6394,1.1032
1762168508.7920,1.1072
1762168508.9696,1.0841
1762168509.1399,1.1137
1762168509.2938,1.1261
1762168509.4735,1.1238
1762168509.6281,1.1028
1762168509.8077,1.0902
1762168509.9779,1.0824
1762168510.1314,1.1088
1762168510.3107,1.0871
1762168510.4887,1.0634
1762168510.6430,1.0982
1762168510.8022,1.1032
1762168510.9813,1.0946
1762168511.1367,1.0765
1762168511.3069,1.0619
1762168511.4760,1.1037
1762168511.6432,1.1018
1762168511.8219,1.0541
1762168511.9772,1.0812
1762168512.1449,1.0636
1762168512.3128,1.0789
1762168512.4808,1.0770
1762168512.6611,1.1003
1762168512.8311,1.0730
1762168512.9856,1.0870
1762168513.1569,1.0929
1762168513.3128,1.1023
1762168513.4883,1.1261
1762168513.6508,1.1113
1762168513.8200,1.1221
1762168513.9922,1.1017
1762168514.1738,1.1196
1762168514.3425,1.1229
1762168514.4896,1.0993
1762168514.6825,1.1005
1762168514.8447,1.0950
1762168514.9995,1.1181
1762168515.1790,1.1017
1762168515.3524,1.0912
1762168515.4995,1.0748
1762168515.6785,1.1066
1762168515.8519,1.1271
1762168516.0057,1.0997
1762168516.1861,1.1164
1762168516.3403,1.1418
1762168516.5185,1.1133
1762168516.6915,1.1093
1762168516.8446,1.1106
1762168517.0255,1.1001
1762168517.1808,1.0956
1762168517.3628,1.0977
1762168517.5167,1.0938
1762168517.7053,1.0644
1762168517.8667,1.0682
1762168518.0203,1.0568
1762168518.2025,1.0588
1762168518.3576,1.0466
1762168518.5369,1.0558
1762168518.6896,1.0683
1762168518.8695,1.0618
1762168519.0470,1.0708
1762168519.2024,1.0722
1762168519.3677,1.0743
1762168519.5467,1.0768
1762168519.7029,1.1100
1762168519.8831,1.0849
1762168520.0347,1.0776
1762168520.2185,1.1201
1762168520.3758,1.1184
1762168520.5532,1.1063
1762168520.7207,1.0844
1762168520.8756,1.0882
1762168521.0413,1.1333
1762168521.2025,1.1008
1762168521.3778,1.1242
1762168521.5517,1.1286
1762168521.7104,1.1146
1762168521.8777,1.1256
1762168522.0385,1.1060
1762168522.2139,1.1031
1762168522.3792,1.1014
1762168522.5516,1.1312
1762168522.7089,1.1266
1762168522.8777,1.1201
1762168523.0511,1.1157
1762168523.2043,1.1104
1762168523.3843,1.1248
1762168523.5623,1.1114
1762168523.7179,1.1074
1762168523.8866,1.1318
1762168524.0661,1.1414
1762168524.2191,1.1200
1762168524.3970,1.0829
1762168524.5523,1.1272
1762168524.7338,1.1533
1762168524.8873,1.1056
1762168525.0606,1.0923
1762168525.2390,1.0964
1762168525.3837,1.0875
1762168525.5556,1.0771
1762168525.7229,1.0670
1762168525.9016,1.0687
1762168526.0561,1.1166
1762168526.2378,1.0609
1762168526.4098,1.1048
1762168526.5649,1.0983
1762168526.7341,1.0831
1762168526.9129,1.0940
1762168527.0673,1.0966
1762168527.2249,1.0907
1762168527.3911,1.0872
1762168527.5700,1.0899
1762168527.7487,1.0972
1762168527.9014,1.1025
1762168528.0814,1.1096
1762168528.2430,1.1027
1762168528.3962,1.0980
1762168528.5766,1.1059
1762168528.7343,1.0941
1762168528.9150,1.1022
1762168529.0743,1.0979
1762168529.2530,1.0974
1762168529.4074,1.1215
1762168529.5659,1.0929
1762168529.7438,1.0622
1762168529.8984,1.0949
1762168530.0784,1.0942
1762168530.2390,1.1274
1762168530.4185,1.1284
1762168530.5788,1.0771
1762168530.7334,1.1317
1762168530.9113,1.1325
1762168531.0731,1.0999
1762168531.2459,1.1420
1762168531.4151,1.0987
1762168531.5923,1.1016
1762168531.7482,1.1056
1762168531.9264,1.1037
1762168532.0799,1.1075
1762168532.2598,1.1333
1762168532.4128,1.0803
1762168532.5868,1.0857
1762168532.7406,1.0771
1762168532.9205,1.0927
1762168533.0807,1.0921
1762168533.2585,1.0884
1762168533.4244,1.0591
1762168533.5784,1.0505
1762168533.7557,1.0610
1762168533.9256,1.0446
1762168534.0800,1.0624
1762168534.2588,1.0515
1762168534.4244,1.0534
1762168534.5794,1.0595
1762168534.7566,1.0958
1762168534.9241,1.0576
1762168535.0925,1.0728
1762168535.2568,1.0743
1762168535.4354,1.0566
1762168535.5902,1.0716
1762168535.7698,1.0839
1762168535.9295,1.0886
1762168536.1080,1.0917
1762168536.2707,1.0768
1762168536.4258,1.0910
1762168536.6025,1.0750
1762168536.7557,1.0916
1762168536.9349,1.0992
1762168537.0877,1.0975
1762168537.2683,1.1038
1762168537.4363,1.0808
1762168537.6030,1.1054
1762168537.7571,1.0819
1762168537.9359,1.0706
1762168538.0949,1.0957
1762168538.2726,1.1109
1762168538.4282,1.1206
1762168538.5934,1.1171
1762168538.7776,1.1129
1762168538.9484,1.0646
1762168539.1023,1.0653
1762168539.2770,1.0613
1762168539.4432,1.0569
1762168539.6117,1.1046
1762168539.7741,1.0724
1762168539.9329,1.0654
1762168540.1052,1.0833
1762168540.2652,1.0834
1762168540.4438,1.1003
1762168540.5970,1.1081
1762168540.7709,1.1175
1762168540.9338,1.1029
1762168541.1149,1.0862
1762168541.2627,1.1263
1762168541.4399,1.1010
1762168541.6085,1.0665
1762168541.7616,1.0892
1762168541.9483,1.0779
1762168542.0976,1.0937
1762168542.2575,1.1022
1762168542.4352,1.1288
1762168542.5925,1.1099
1762168542.7575,1.1139
1762168542.9363,1.1351
1762168543.0915,1.1436
1762168543.2701,1.1051
1762168543.4249,1.1380
1762168543.5898,1.1059
1762168543.7686,1.1267
1762168543.9398,1.1012
1762168544.0899,1.1083
1762168544.2695,1.1226
1762168544.4237,1.0992
1762168544.6020,1.1222
1762168544.7512,1.1052
1762168544.9241,1.1168
1762168545.1023,1.0921
1762168545.2568,1.0999
1762168545.4240,1.1066
1762168545.6015,1.1153
1762168545.7554,1.1035
1762168545.9116,1.1097
1762168546.0891,1.0887
1762168546.2479,1.1201
1762168546.4262,1.1120
1762168546.5799,1.0961
1762168546.7593,1.1056
1762168546.9149,1.1302
1762168547.0916,1.0882
1762168547.2470,1.0933
1762168547.4244,1.0732
1762168547.5777,1.0790
1762168547.7577,1.0816
1762168547.9016,1.0893
1762168548.0806,1.0554
1762168548.2342,1.0567
1762168548.4132,1.0794
1762168548.5646,1.0722
1762168548.7434,1.0821
1762168548.9019,1.0669
1762168549.0792,1.0866
1762168549.2522,1.0852
1762168549.4124,1.1107
1762168549.5663,1.0775
1762168549.7448,1.1098
1762168549.8994,1.0921
1762168550.0774,1.0869
1762168550.2309,1.0866
1762168550.4105,1.1105
1762168550.5812,1.0879
1762168550.7305,1.1054
1762168550.9081,1.0854
1762168551.0634,1.0977
1762168551.2413,1.1015
1762168551.4083,1.0909
1762168551.5801,1.0974
1762168551.7335,1.1226
1762168551.9073,1.0871
1762168552.0649,1.1035
1762168552.2314,1.0892
1762168552.4121,1.1187
1762168552.5653,1.1089
1762168552.7448,1.1081
1762168552.9147,1.1108
1762168553.0666,1.1163
1762168553.2323,1.1228
1762168553.4114,1.1305
1762168553.5667,1.1107
1762168553.7450,1.1895
1762168553.8999,1.1870
1762168554.0797,1.2077
1762168554.2416,1.1977
1762168554.4073,1.1234
1762168554.5924,1.1099
1762168554.7482,1.1042
1762168554.9263,1.1095
1762168555.0868,1.0524
1762168555.2422,1.0646
1762168555.4271,1.0209
1762168555.5930,1.0326
1762168555.7506,1.0240
1762168555.9058,1.0453
1762168556.0923,0.9944
1762168556.2461,1.0584
1762168556.4259,1.0399
1762168556.5787,1.0427
1762168556.7558,1.0881
1762168556.9225,0.9971
1762168557.0768,1.0193
1762168557.2557,1.0256
1762168557.4110,1.0170
1762168557.5801,1.0426
1762168557.7576,1.0468
1762168557.9269,1.0710
1762168558.0833,1.0526
1762168558.2376,1.0512
1762168558.4170,1.0556
1762168558.5701,1.0361
1762168558.7496,1.0525
1762168558.9031,1.0578
1762168559.0859,1.0478
1762168559.2474,1.0509
1762168559.4102,1.0548
1762168559.5759,1.0093
1762168559.7410,1.0493
1762168559.9218,1.0307
1762168560.0804,1.0281
1762168560.2383,1.0503
1762168560.4179,1.0326
1762168560.5706,1.0376
1762168560.7532,1.0404
1762168560.9060,1.0540
1762168561.0845,1.0703
1762168561.2400,1.0595
1762168561.4183,1.0795
1762168561.5712,1.0584
1762168561.7388,1.0713
1762168561.9033,1.0376
1762168562.0699,1.0651
1762168562.2493,1.0678
1762168562.4151,1.0824
1762168562.5732,1.0711
1762168562.7528,1.0616
1762168562.9136,1.0906
1762168563.0784,1.0501
1762168563.2311,1.0690
1762168563.4047,1.0724
1762168563.5830,1.0962
1762168563.7365,1.0958
1762168563.9098,1.1363
1762168564.0634,1.0578
1762168564.2417,1.0786
1762168564.3950,1.0971
1762168564.5741,1.0673
1762168564.7285,1.1192
1762168564.9072,1.1295
1762168565.0620,1.0981
1762168565.2415,1.1060
1762168565.3951,1.1165
1762168565.5737,1.0800
1762168565.7281,1.0591
1762168565.9024,1.0595
1762168566.0808,1.1370
1762168566.2334,1.0866
1762168566.3879,1.1007
1762168566.5705,1.1124
1762168566.7335,1.1179
1762168566.8937,1.1045
1762168567.0759,1.1169
1762168567.2334,1.1251
1762168567.3869,1.0627
1762168567.5554,1.1133
1762168567.7343,1.0851
1762168567.9003,1.1237
1762168568.0655,1.1079
1762168568.2214,1.1044
1762168568.4039,1.1444
1762168568.5545,1.1737
1762168568.7370,1.1075
1762168568.9036,1.1033
1762168569.0558,1.0819
1762168569.2217,1.1454
1762168569.4034,1.2083
1762168569.5530,1.2033
1762168569.7410,1.1589
1762168569.9044,1.1814
1762168570.0560,1.1642
1762168570.2420,1.1609
1762168570.4064,1.1753
1762168570.5775,1.1868
1762168570.7545,1.2074
1762168570.9328,1.1546
1762168571.1015,1.1714
1762168571.2785,1.1342
1762168571.4568,1.0527
1762168571.6119,1.0393
1762168571.8094,1.1225
1762168571.9647,1.1319
1762168572.1438,1.2098
1762168572.3170,1.1893
1762168572.5033,1.0914
1762168572.6775,1.3095
1762168572.8538,1.3165
1762168573.0064,1.3686
1762168573.1852,1.2653
1762168573.3651,1.1556
1762168573.5188,1.0822
1762168573.6964,1.0706
1762168573.8740,1.1568
1762168574.0291,1.0318
1762168574.2099,1.0623
1762168574.3737,1.0079
1762168574.5521,1.0081
1762168574.7057,1.0145
1762168574.8971,1.0106
1762168575.0499,0.9910
1762168575.2277,1.0719
1762168575.3905,0.9956
1762168575.5603,1.0261
1762168575.7193,1.0996
1762168575.8982,1.1188
1762168576.0747,1.1357
1762168576.2304,0.9091
1762168576.4090,1.1002
1762168576.5640,1.0373
1762168576.7422,0.9312
1762168576.8962,0.8808
1762168577.0738,1.0829
1762168577.2275,1.1147
1762168577.4068,1.1183
1762168577.5876,1.1448
1762168577.7413,1.0590
1762168577.9191,1.0518
1762168578.0731,1.0693
1762168578.2608,1.0987
1762168578.4232,1.2358
1762168578.6029,1.1554
1762168578.7575,1.1832
1762168578.9174,1.1032
1762168579.0921,1.2302
1762168579.2684,1.2785
1762168579.4404,1.2436
1762168579.6051,1.1901
1762168579.7657,1.1935
1762168579.9470,1.1468
1762168580.0983,1.2554
1762168580.2746,1.2200
1762168580.4548,1.1852
1762168580.6198,1.1787
1762168580.7704,1.0646
1762168580.9499,1.0264
1762168581.1234,0.9203
1762168581.2980,0.9854
1762168581.4543,0.8200
1762168581.6335,0.8464
1762168581.8135,0.9860
1762168581.9822,0.7583
1762168582.1500,0.9818
1762168582.3272,1.1130
1762168582.4839,0.8939
1762168582.6625,0.9329
1762168582.8397,1.0395
1762168582.9954,0.9308
1762168583.1737,0.9588
1762168583.3272,1.0395
1762168583.5060,1.0610
1762168583.6838,1.0840
1762168583.8399,1.0865
1762168584.0187,1.1208
1762168584.1733,1.2000
1762168584.3494,1.1113
1762168584.5024,1.0614
1762168584.6831,1.0540
1762168584.8377,0.9846
1762168585.0102,0.6303
1762168585.1885,0.5961
1762168585.3443,0.6431
1762168585.5209,0.6251
1762168585.6759,0.5923
1762168585.8540,0.5864
1762168586.0329,0.6735
1762168586.1884,0.6578
1762168586.3651,0.5723
1762168586.5200,0.7061
1762168586.6997,0.7586
1762168586.8539,0.8048
1762168587.0320,0.7767
1762168587.2115,0.6843
1762168587.3642,0.6345
1762168587.5440,0.7517
1762168587.7257,0.8657
1762168587.8811,0.7167
1762168588.0427,0.7661
1762168588.2322,0.9877
1762168588.3862,0.9825
1762168588.5655,1.0047
1762168588.7443,0.9550
1762168588.9000,0.8571
1762168589.0779,1.0974
1762168589.2329,1.0661
1762168589.4108,1.0408
