ros_time_s,Vel_Des
1762168440.3625,-11.6700
1762168440.4017,-11.6700
1762168440.4515,-11.6700
1762168440.5018,-11.6700
1762168440.5629,-11.7300
1762168440.6016,-11.7300
1762168440.6517,-11.7300
1762168440.7016,-11.7300
1762168440.7592,-17.8700
1762168440.8016,-17.8700
1762168440.8518,-17.8700
1762168440.9022,-17.8700
1762168440.9638,-12.9000
1762168441.0018,-12.9000
1762168441.0515,-12.9000
1762168441.1133,-20.4100
1762168441.1515,-20.4100
1762168441.2035,-20.4100
1762168441.2517,-20.4100
1762168441.3121,-11.8900
1762168441.3516,-11.8900
1762168441.4014,-11.8900
1762168441.4598,-11.6800
1762168441.5012,-11.6800
1762168441.5516,-11.6800
1762168441.6016,-11.6800
1762168441.6625,-3.2100
1762168441.7013,-3.2100
1762168441.7515,-3.2100
1762168441.8136,-14.8500
1762168441.8515,-14.8500
1762168441.9011,-14.8500
1762168441.9515,-14.8500
1762168442.0360,-11.7000
1762168442.0501,-11.7000
1762168442.1015,-11.7000
1762168442.1654,-15.3800
1762168442.2016,-15.3800
1762168442.2514,-15.3800
1762168442.3119,4.6200
1762168442.3511,10.9900
1762168442.4018,10.9900
1762168442.4523,10.9900
1762168442.5131,-6.0500
1762168442.5523,-6.0500
1762168442.6017,-6.0500
1762168442.6631,11.1600
1762168442.7023,11.1600
1762168442.7524,11.1600
1762168442.8024,11.1600
1762168442.8593,-8.8400
1762168442.9010,-11.7600
1762168442.9525,-11.7600
1762168443.0143,8.2400
1762168443.0518,11.9500
1762168443.1026,11.9500
1762168443.1525,11.9500
1762168443.2120,-8.0500
1762168443.2516,-11.7200
1762168443.3018,-11.7200
1762168443.3625,8.2800
1762168443.4017,11.6700
1762168443.4517,11.6700
1762168443.5125,-8.3300
1762168443.5522,-11.6700
1762168443.6019,-11.6700
1762168443.6518,-11.6700
1762168443.7134,-16.7200
1762168443.7510,-16.7200
1762168443.8017,-16.7200
1762168443.8624,3.2800
1762168443.9026,10.8000
1762168443.9518,10.8000
1762168444.0022,10.8000
1762168444.0584,11.9200
1762168444.1010,11.9200
1762168444.1518,11.9200
1762168444.2131,14.5400
1762168444.2515,14.5400
1762168444.3013,14.5400
1762168444.3616,11.8300
1762168444.4019,11.8300
1762168444.4515,11.8300
1762168444.5013,11.8300
1762168444.5593,13.5000
1762168444.6009,13.5000
1762168444.6522,13.5000
1762168444.7088,13.6600
1762168444.7517,13.6600
1762168444.8011,13.6600
1762168444.8589,12.1900
1762168444.9013,12.1900
1762168444.9525,12.1900
1762168445.0015,12.1900
1762168445.0583,9.3500
1762168445.1019,9.3500
1762168445.1515,9.3500
1762168445.2124,-5.9300
1762168445.2523,-5.9300
1762168445.3017,-5.9300
1762168445.3517,-5.9300
1762168445.4141,14.0700
1762168445.4515,15.4100
1762168445.5015,15.4100
1762168445.5583,10.9500
1762168445.6012,10.9500
1762168445.6515,10.9500
1762168445.7102,12.2800
1762168445.7512,12.2800
1762168445.8010,12.2800
1762168445.8535,12.2800
1762168445.9122,22.9000
1762168445.9521,22.9000
1762168446.0017,22.9000
1762168446.0631,11.7300
1762168446.1016,11.7300
1762168446.1518,11.7300
1762168446.2017,11.7300
1762168446.2638,16.9400
1762168446.3013,16.9400
1762168446.3519,16.9400
1762168446.4127,11.6800
1762168446.4519,11.6800
1762168446.5019,11.6800
1762168446.5618,11.9200
1762168446.6016,11.9200
1762168446.6517,11.9200
1762168446.7018,11.9200
1762168446.7631,11.8600
1762168446.8017,11.8600
1762168446.8519,11.8600
1762168446.9112,11.8200
1762168446.9517,11.8200
1762168447.0017,11.8200
1762168447.0517,11.8200
1762168447.1123,11.7600
1762168447.1510,11.7600
1762168447.2013,11.7600
1762168447.2631,11.7600
1762168447.3018,11.7600
1762168447.3516,11.7600
1762168447.4127,-8.2400
1762168447.4517,-11.2700
1762168447.5014,-11.2700
1762168447.5502,-11.2700
1762168447.6048,8.7300
1762168447.6499,11.7800
1762168447.6998,11.7800
1762168447.7557,-7.0400
1762168447.7999,-7.0400
1762168447.8499,-7.0400
1762168447.9048,-7.7500
1762168447.9498,-7.7500
1762168448.0014,-7.7500
1762168448.0513,-7.7500
1762168448.1129,11.8600
1762168448.1518,11.8600
1762168448.2018,11.8600
1762168448.2629,-8.1400
1762168448.3018,-11.2000
1762168448.3521,-11.2000
1762168448.4019,-11.2000
1762168448.4620,8.0100
1762168448.5014,8.0100
1762168448.5517,8.0100
1762168448.6141,12.1200
1762168448.6510,12.1200
1762168448.7014,12.1200
1762168448.7613,21.8900
1762168448.8008,21.8900
1762168448.8510,21.8900
1762168448.9016,21.8900
1762168448.9641,16.6700
1762168449.0018,16.6700
1762168449.0509,16.6700
1762168449.1111,18.6900
1762168449.1511,18.6900
1762168449.2015,18.6900
1762168449.2523,18.6900
1762168449.3095,11.8700
1762168449.3518,11.8700
1762168449.4018,11.8700
1762168449.4619,-8.1300
1762168449.5017,-10.6200
1762168449.5517,-10.6200
1762168449.6151,-11.6700
1762168449.6544,-11.6700
1762168449.7018,-11.6700
1762168449.7629,-14.9700
1762168449.8016,-14.9700
1762168449.8516,-14.9700
1762168449.9017,-14.9700
1762168449.9622,-11.7300
1762168450.0012,-11.7300
1762168450.0514,-11.7300
1762168450.1136,-16.6400
1762168450.1524,-16.6400
1762168450.2015,-16.6400
1762168450.2516,-16.6400
1762168450.3132,-13.6500
1762168450.3508,-13.6500
1762168450.4019,-13.6500
1762168450.4618,-11.7100
1762168450.5007,-11.7100
1762168450.5512,-11.7100
1762168450.6015,-11.7100
1762168450.6645,-14.3000
1762168450.7023,-14.3000
1762168450.7525,-14.3000
1762168450.8087,-11.6700
1762168450.8524,-11.6700
1762168450.9023,-11.6700
1762168450.9594,-13.1500
1762168451.0023,-13.1500
1762168451.0518,-13.1500
1762168451.1020,-13.1500
1762168451.1589,-18.1800
1762168451.2024,-18.1800
1762168451.2513,-18.1800
1762168451.3138,-22.5700
1762168451.3518,-22.5700
1762168451.4018,-22.5700
1762168451.4616,-2.5700
1762168451.5018,2.5800
1762168451.5516,2.5800
1762168451.6109,-11.6700
1762168451.6517,-11.6700
1762168451.7016,-11.6700
1762168451.7517,-11.6700
1762168451.8113,-11.8800
1762168451.8505,-11.8800
1762168451.9016,-11.8800
1762168451.9518,-11.8800
1762168452.0124,8.1200
