ros_time_s,imu_heading
1762175615.8194,2.3750
1762175616.0200,2.3750
1762175616.2203,2.3750
1762175616.4207,2.3750
1762175616.6216,2.3750
1762175616.8213,2.3750
1762175617.0221,2.3750
1762175617.2232,2.3750
1762175617.4239,2.3750
1762175617.6240,2.3750
1762175617.8245,2.3750
1762175618.0234,2.3750
1762175618.2230,2.3750
1762175618.4235,2.3750
1762175618.6243,2.3750
1762175618.8243,2.3750
1762175619.0256,2.3750
1762175619.2253,2.3750
1762175619.4262,2.3750
1762175619.6265,2.3750
1762175619.8271,2.3750
1762175620.0274,2.3750
1762175620.2279,2.3750
1762175620.4287,2.3750
1762175620.6306,2.3750
1762175620.8315,2.3750
1762175621.0325,2.3750
1762175621.2325,2.3750
1762175621.4330,2.3750
1762175621.6342,2.3750
1762175621.8340,2.3750
1762175622.0353,2.3750
1762175622.2360,2.3750
1762175622.4367,2.3750
1762175622.6364,2.3750
1762175622.8373,2.3750
1762175623.0382,2.3750
1762175623.2387,2.3750
1762175623.4393,2.3750
1762175623.6398,2.3750
1762175623.8398,2.3750
1762175624.0403,2.3750
1762175624.2415,2.3750
1762175624.4419,2.3750
1762175624.6425,2.3750
1762175624.8426,2.3750
1762175625.0435,2.3750
1762175625.2438,2.3750
1762175625.4441,2.3750
1762175625.6454,2.3750
1762175625.8457,2.3750
1762175626.0460,2.3750
1762175626.2457,2.3750
1762175626.4467,2.3750
1762175626.6478,2.3750
1762175626.8481,2.3750
1762175627.0476,2.3750
1762175627.2492,2.3750
1762175627.4490,2.3750
1762175627.6501,2.3750
1762175627.8497,2.3750
1762175628.0502,2.3750
1762175628.2506,2.3750
1762175628.4524,2.3750
1762175628.6523,2.3750
1762175628.8532,2.3750
1762175629.0529,2.3750
1762175629.2541,2.3750
1762175629.4541,2.3750
1762175629.6546,2.3750
1762175629.8535,2.3750
1762175630.0555,2.3750
1762175630.2567,2.3750
1762175630.4566,2.3750
1762175630.6576,2.3750
1762175630.8581,2.3750
1762175631.0585,2.3750
1762175631.2593,2.3750
1762175631.4591,2.3750
1762175631.6586,2.3750
1762175631.8602,2.3750
1762175632.0614,2.3750
1762175632.2615,2.3750
1762175632.4621,2.3750
1762175632.6623,2.3750
1762175632.8625,2.3750
1762175633.0638,2.3750
1762175633.2644,2.3750
1762175633.4648,2.3750
1762175633.6654,2.3750
1762175633.8652,2.3750
1762175634.0664,2.3750
1762175634.2669,2.3750
1762175634.4676,2.3750
1762175634.6685,2.3750
1762175634.8690,2.3750
1762175635.0687,2.3750
1762175635.2695,2.3750
1762175635.4696,2.3750
1762175635.6701,2.3750
1762175635.8700,2.3750
1762175636.0705,2.3750
1762175636.2716,2.3750
1762175636.4722,2.3750
1762175636.6732,2.3750
1762175636.8732,2.3750
1762175637.0747,2.3750
1762175637.2742,2.3750
1762175637.4747,2.3750
1762175637.6758,2.3750
1762175637.8764,2.3750
1762175638.0764,2.3750
1762175638.2775,2.3750
1762175638.4772,2.3750
1762175638.6779,2.3750
1762175638.8789,2.3750
1762175639.0799,2.3750
1762175639.2801,2.3750
1762175639.4808,2.3750
1762175639.6810,2.3750
1762175639.8813,2.3750
1762175640.0815,2.3750
1762175640.2828,2.3750
1762175640.4835,2.3750
1762175640.6830,2.3750
1762175640.8843,2.3750
1762175641.0843,2.3750
1762175641.2847,2.3750
1762175641.4857,2.3750
1762175641.6845,2.3750
1762175641.8861,2.3750
1762175642.0871,2.3750
1762175642.2872,2.3750
1762175642.4881,2.3750
1762175642.6890,2.3750
1762175642.8895,2.3750
1762175643.0893,2.3750
1762175643.2904,2.3750
1762175643.4909,2.3750
1762175643.6901,2.3750
1762175643.8917,2.3750
1762175644.0929,2.3750
1762175644.2938,2.3750
1762175644.4951,2.3750
1762175644.6955,2.3750
1762175644.8959,2.3750
1762175645.0965,2.3750
1762175645.2955,2.3750
1762175645.4965,2.3750
1762175645.6967,2.3750
1762175645.8977,2.3750
1762175646.0982,2.3750
1762175646.2987,2.3750
1762175646.4991,2.3750
1762175646.6986,2.3750
1762175646.9001,2.3750
1762175647.1008,2.3750
1762175647.3009,2.3750
1762175647.5013,2.3750
1762175647.7023,2.3750
1762175647.9029,2.3750
1762175648.1027,2.3750
1762175648.3036,2.3750
1762175648.5044,2.3750
1762175648.7043,2.3750
1762175648.9050,2.3750
1762175649.1058,2.3750
1762175649.3064,2.3750
1762175649.5067,2.3750
1762175649.7076,2.3750
1762175649.9077,2.3750
1762175650.1077,2.3750
1762175650.3093,2.3750
1762175650.5091,2.3750
1762175650.7085,2.3750
1762175650.9104,2.3750
1762175651.1104,2.3750
1762175651.3117,2.3750
1762175651.5114,2.3750
1762175651.7130,2.3750
1762175651.9130,2.3750
1762175652.1131,2.3750
1762175652.3135,2.3750
1762175652.5148,2.3750
1762175652.7144,2.3750
1762175652.9147,2.3750
1762175653.1156,2.3750
1762175653.3164,2.3750
1762175653.5171,2.3750
1762175653.7173,2.3750
1762175653.9170,2.3750
1762175654.1186,2.3750
1762175654.3189,2.3750
1762175654.5201,2.3750
1762175654.7205,2.3750
1762175654.9197,2.3750
1762175655.1196,2.3750
1762175655.3196,2.3750
1762175655.5212,2.3750
1762175655.7214,2.3750
1762175655.9206,2.3750
1762175656.1220,2.3750
1762175656.3248,2.3750
1762175656.5255,2.3750
1762175656.7256,2.3750
1762175656.9265,2.3750
1762175657.1260,2.3750
1762175657.3264,2.3750
1762175657.5283,2.3750
1762175657.7285,2.3750
1762175657.9290,2.3750
1762175658.1288,2.3750
1762175658.3281,2.3750
1762175658.5307,2.3750
1762175658.7310,2.3750
1762175658.9318,2.3750
1762175659.1322,2.3750
1762175659.3336,2.3750
1762175659.5339,2.3750
1762175659.7341,2.3750
1762175659.9348,2.3750
1762175660.1359,2.3750
1762175660.3362,2.3750
1762175660.5373,2.3750
1762175660.7370,2.3750
1762175660.9368,2.3750
1762175661.1384,2.3750
1762175661.3383,2.3750
1762175661.5381,2.3750
1762175661.7387,2.3750
1762175661.9402,2.3750
1762175662.1416,2.3750
1762175662.3417,2.3750
1762175662.5423,2.3750
1762175662.7429,2.3750
1762175662.9434,2.3750
1762175663.1429,2.3750
1762175663.3432,2.3750
1762175663.5430,2.3750
1762175663.7434,2.3750
1762175663.9448,2.3750
1762175664.1449,2.3750
1762175664.3452,2.3750
1762175664.5480,2.3750
1762175664.7490,2.3750
1762175664.9494,2.3750
1762175665.1491,2.3750
1762175665.3502,2.3750
1762175665.5506,2.3750
1762175665.7521,2.3750
1762175665.9521,2.3750
1762175666.1521,2.3750
1762175666.3529,2.3750
1762175666.5542,2.3750
1762175666.7546,2.3750
1762175666.9542,2.3750
1762175667.1551,2.3750
1762175667.3551,2.3750
1762175667.5562,2.3750
1762175667.7565,2.3750
1762175667.9570,2.3750
1762175668.1573,2.3750
1762175668.3588,2.3750
1762175668.5585,2.3750
1762175668.7594,2.3750
1762175668.9592,2.3750
1762175669.1604,2.3750
1762175669.3608,2.3750
1762175669.5617,2.3750
1762175669.7601,2.3750
1762175669.9602,2.3750
1762175670.1623,2.3750
1762175670.3623,2.3750
1762175670.5629,2.3750
1762175670.7634,2.3750
1762175670.9640,2.3750
1762175671.1637,2.3750
1762175671.3637,2.3750
1762175671.5644,2.3750
1762175671.7644,2.3750
1762175671.9671,2.3750
1762175672.1673,2.3750
1762175672.3664,2.3750
1762175672.5672,2.3750
1762175672.7689,2.3750
1762175672.9689,2.3750
1762175673.1696,2.3750
1762175673.3713,2.3750
1762175673.5712,2.3750
1762175673.7719,2.3750
1762175673.9725,2.3750
1762175674.1718,2.3750
1762175674.3728,2.3750
1762175674.5743,2.3750
1762175674.7762,2.3750
1762175674.9772,2.3750
1762175675.1760,2.3750
1762175675.3765,2.3750
1762175675.5789,2.3750
1762175675.7792,2.3750
1762175675.9792,2.3750
1762175676.1804,2.3750
1762175676.3809,2.3750
1762175676.5814,2.3750
1762175676.7822,2.3750
1762175676.9821,2.3750
1762175677.1826,2.3750
1762175677.3839,2.3750
1762175677.5839,2.3750
1762175677.7846,2.3750
1762175677.9851,2.3750
1762175678.1850,2.3750
1762175678.3857,2.3750
1762175678.5862,2.3750
1762175678.7860,2.3750
1762175678.9858,2.3750
1762175679.1860,2.3750
1762175679.3867,2.3750
1762175679.5887,2.3750
1762175679.7904,2.3750
1762175679.9903,2.3750
1762175680.1915,2.3750
1762175680.3920,2.3750
1762175680.5919,2.3750
1762175680.7930,2.3750
1762175680.9917,2.3750
1762175681.1935,2.3750
1762175681.3945,2.3750
1762175681.5949,2.3750
1762175681.7955,2.3750
1762175681.9963,2.3750
1762175682.1966,2.3750
1762175682.3969,2.3750
1762175682.5980,2.3750
1762175682.7983,2.3750
1762175682.9973,2.3750
1762175683.1989,2.3750
1762175683.3996,2.3750
1762175683.6000,2.3750
1762175683.8007,2.3750
1762175684.0019,2.3750
1762175684.2024,2.3750
1762175684.4020,2.3750
1762175684.6040,2.3750
1762175684.8033,2.3750
1762175685.0047,2.3750
1762175685.2054,2.3750
1762175685.4053,2.3750
1762175685.6061,2.3750
