ros_time_s,omega_1
1762168438.1194,0.0000
1762168438.3191,0.0000
1762168438.5204,0.0000
1762168438.7207,0.0000
1762168438.9213,0.0000
1762168439.1219,0.0000
1762168439.3232,0.0000
1762168439.5239,0.0000
1762168439.7240,0.0000
1762168439.9245,0.0000
1762168440.1253,0.0000
1762168440.3260,0.0000
1762168440.5353,-2.6520
1762168440.7504,-7.6580
1762168440.9623,-12.6650
1762168441.2016,-13.7240
1762168441.4115,-17.4350
1762168441.6234,-12.4800
1762168441.8346,-9.5190
1762168442.0462,-11.9550
1762168442.2586,-13.0250
1762168442.4693,-14.7820
1762168442.6825,-9.7450
1762168442.8946,-4.8320
1762168443.1083,-5.9420
1762168443.3205,-2.3440
1762168443.5326,-2.0770
1762168443.7443,-4.4610
1762168443.9562,-8.2030
1762168444.1676,-3.1970
1762168444.3787,1.7780
1762168444.5905,6.7540
1762168444.8024,11.6980
1762168445.0029,11.8940
1762168445.2061,9.0050
1762168445.4252,5.2120
1762168445.6374,7.4940
1762168445.8500,12.3870
1762168446.0844,14.3810
1762168446.2974,11.9140
1762168446.5084,12.8500
1762168446.7118,11.5850
1762168446.9125,11.5550
1762168447.1129,11.5550
1762168447.3138,11.5550
1762168447.5414,9.8790
1762168447.7551,8.1720
1762168447.9642,7.7200
1762168448.1763,2.6620
1762168448.3887,5.5720
1762168448.6013,3.8340
1762168448.8115,8.7690
1762168449.0235,13.5800
1762168449.2252,18.6370
1762168449.4384,16.9820
1762168449.6524,11.9350
1762168449.8614,6.9080
1762168450.0725,1.8710
1762168450.2846,-3.1460
1762168450.4966,-8.1520
1762168450.7275,-11.8420
1762168450.9393,-12.8810
1762168451.1415,-13.4970
1762168451.3736,-17.2500
1762168451.5846,-20.9910
1762168451.7982,-15.9750
1762168451.9989,-12.5410
1762168452.2206,-8.8510
1762168452.4463,-10.4340
1762168452.6570,-12.1610
1762168452.8676,-7.1650
1762168453.0796,-2.2410
1762168453.2926,-3.3620
1762168453.5058,-1.7370
1762168453.7164,-6.8360
1762168453.9276,-2.5600
1762168454.1405,-0.9660
1762168454.3542,-6.0960
1762168454.5645,-5.8080
1762168454.7753,-8.8300
1762168454.9875,-3.7730
1762168455.1977,-4.1630
