ros_time_s,Error_Distancia
1762168978.6534,0.0300
1762168978.6915,0.0300
1762168978.7414,0.0300
1762168978.7913,0.0300
1762168978.8512,0.0193
1762168978.8912,0.0193
1762168978.9412,0.0193
1762168978.9910,0.0193
1762168979.0530,0.0412
1762168979.0908,0.0412
1762168979.1413,0.0412
1762168979.1914,0.0412
1762168979.2416,0.0412
1762168979.2993,0.0203
1762168979.3409,0.0203
1762168979.3900,0.0203
1762168979.4445,0.0157
1762168979.4899,0.0157
1762168979.5400,0.0157
1762168979.5900,0.0157
1762168979.6525,0.0014
1762168979.6917,0.0014
1762168979.7415,0.0014
1762168979.7916,0.0014
1762168979.8491,0.0059
1762168979.8914,0.0059
1762168979.9416,0.0059
1762168980.0014,0.0089
1762168980.0415,0.0089
1762168980.0914,0.0089
1762168980.1414,0.0089
1762168980.2027,-0.0010
1762168980.2407,-0.0010
1762168980.2907,-0.0010
1762168980.3713,0.0049
1762168980.3909,0.0049
1762168980.4415,0.0049
1762168980.4915,0.0049
1762168980.5502,0.0045
1762168980.5915,0.0045
1762168980.6413,0.0045
1762168980.7033,-0.0228
1762168980.7415,-0.0228
1762168980.7911,-0.0228
1762168980.8495,-0.0016
1762168980.8911,-0.0016
1762168980.9410,-0.0016
1762168980.9900,-0.0016
1762168981.0443,-0.0023
1762168981.0899,-0.0023
1762168981.1400,-0.0023
1762168981.1899,-0.0023
1762168981.2449,0.0132
1762168981.2900,0.0132
1762168981.3405,0.0132
1762168981.4010,0.0190
1762168981.4416,0.0190
1762168981.4916,0.0190
1762168981.5521,0.0076
1762168981.5915,0.0076
1762168981.6413,0.0076
1762168981.6902,0.0076
1762168981.7523,0.0092
1762168981.7913,0.0092
1762168981.8415,0.0092
1762168981.9033,0.0023
1762168981.9414,0.0023
1762168981.9912,0.0023
1762168982.0495,-0.0028
1762168982.0912,-0.0028
1762168982.1415,-0.0028
1762168982.1912,-0.0028
1762168982.2505,-0.0115
1762168982.2914,-0.0115
1762168982.3413,-0.0115
1762168982.3988,0.0311
1762168982.4414,0.0311
1762168982.4915,0.0311
1762168982.5414,0.0311
1762168982.6024,-0.0074
1762168982.6412,-0.0074
1762168982.6922,-0.0074
1762168982.7523,0.0149
1762168982.7915,0.0149
1762168982.8412,0.0149
1762168982.9023,-0.0105
1762168982.9412,-0.0105
1762168982.9915,-0.0105
1762168983.0411,-0.0105
1762168983.1018,-0.0058
1762168983.1415,-0.0058
1762168983.1918,-0.0058
1762168983.2528,-0.0099
1762168983.2916,-0.0099
1762168983.3416,-0.0099
1762168983.3915,-0.0099
1762168983.4526,0.0086
1762168983.4903,0.0086
1762168983.5417,0.0086
1762168983.6020,0.0046
1762168983.6414,0.0046
1762168983.6917,0.0046
1762168983.7522,0.0200
1762168983.7916,0.0200
1762168983.8417,0.0200
1762168983.8919,0.0200
1762168983.9532,0.0143
1762168983.9917,0.0143
1762168984.0416,0.0143
1762168984.1006,0.0018
1762168984.1417,0.0018
1762168984.1915,0.0018
1762168984.2415,0.0018
1762168984.3025,-0.0018
1762168984.3417,-0.0018
1762168984.3916,-0.0018
1762168984.4530,0.0154
1762168984.4918,0.0154
1762168984.5417,0.0154
1762168984.5969,0.0039
1762168984.6414,0.0039
1762168984.6914,0.0039
1762168984.7414,0.0039
1762168984.8024,0.0168
1762168984.8411,0.0168
1762168984.8914,0.0168
