ros_time_s,Imu_Error_yaw
1762168977.3487,0.0000
1762168977.6554,0.0000
1762168977.9361,0.0022
1762168978.1661,0.0022
1762168978.4217,0.0022
1762168978.6289,0.0022
1762168978.8332,0.0022
1762168979.0390,0.0022
1762168979.2422,0.0022
1762168979.4306,0.0022
1762168979.6196,0.0022
1762168979.7975,0.0022
1762168979.9779,0.0022
1762168980.1561,0.0022
1762168980.3115,0.0011
1762168980.4935,-0.0044
1762168980.6579,-0.0098
1762168980.8373,-0.0153
1762168981.0118,-0.0229
1762168981.1904,-0.0284
1762168981.3460,-0.0327
1762168981.5259,-0.0360
1762168981.6985,-0.0371
1762168981.8547,-0.0349
1762168982.0345,-0.0338
1762168982.1940,-0.0338
1762168982.3716,-0.0349
1762168982.5550,-0.0349
1762168982.7095,-0.0349
1762168982.8889,-0.0349
1762168983.0670,-0.0305
1762168983.2206,-0.0349
1762168983.4009,-0.0360
1762168983.5792,-0.0382
1762168983.7329,-0.0382
1762168983.9022,-0.0360
1762168984.0800,-0.0316
1762168984.2462,-0.0305
1762168984.4243,-0.0316
1762168984.5787,-0.0316
1762168984.7598,-0.0371
1762168984.9409,-0.0404
1762168985.0963,-0.0415
1762168985.2643,-0.0404
1762168985.4443,-0.0404
1762168985.6029,-0.0404
1762168985.7823,-0.0404
1762168985.9594,-0.0404
1762168986.1149,-0.0426
1762168986.2936,-0.0426
1762168986.4466,-0.0447
1762168986.6242,-0.0436
1762168986.7838,-0.0393
1762168986.9491,-0.0371
1762168987.1224,-0.0371
1762168987.3016,-0.0327
1762168987.4543,-0.0273
1762168987.6168,-0.0185
1762168987.7854,-0.0185
1762168987.9709,-0.0098
1762168988.1306,-0.0044
1762168988.2853,0.0000
1762168988.4695,0.0000
1762168988.6229,0.0022
1762168988.8028,0.0087
1762168988.9578,0.0142
1762168989.1350,0.0142
1762168989.3141,0.0175
1762168989.4664,0.0207
1762168989.6463,0.0273
1762168989.8085,0.0338
1762168989.9686,0.0338
1762168990.1372,0.0393
1762168990.3110,0.0447
1762168990.4778,0.0535
1762168990.6473,0.0589
1762168990.8272,0.0589
1762168990.9794,0.0589
1762168991.1636,0.0578
1762168991.3345,0.0535
1762168991.4880,0.0491
1762168991.6653,0.0491
1762168991.8203,0.0436
1762168991.9988,0.0393
1762168992.1544,0.0360
1762168992.3396,0.0360
1762168992.4937,0.0316
1762168992.6721,0.0284
1762168992.8354,0.0240
1762168992.9927,0.0240
1762168993.1822,0.0196
1762168993.3312,0.0175
1762168993.5131,0.0175
1762168993.6682,0.0175
1762168993.8429,0.0164
1762168994.0146,0.0120
1762168994.1818,0.0065
1762168994.3423,-0.0022
1762168994.5087,-0.0022
1762168994.6770,-0.0076
1762168994.8624,-0.0131
1762168995.0137,-0.0196
1762168995.1936,-0.0273
1762168995.3590,-0.0273
1762168995.5286,-0.0327
1762168995.6898,-0.0349
1762168995.8628,-0.0371
1762168996.0178,-0.0371
1762168996.1992,-0.0371
1762168996.3626,-0.0327
1762168996.5383,-0.0294
1762168996.6948,-0.0305
1762168996.8638,-0.0305
1762168997.0259,-0.0327
1762168997.2053,-0.0349
1762168997.3684,-0.0349
1762168997.5313,-0.0305
1762168997.7088,-0.0305
1762168997.8733,-0.0251
1762168998.0285,-0.0185
1762168998.2132,-0.0142
1762168998.3796,-0.0153
1762168998.5483,-0.0153
1762168998.6954,-0.0185
1762168998.8673,-0.0207
1762168999.0270,-0.0196
1762168999.2064,-0.0185
1762168999.3599,-0.0185
1762168999.5439,-0.0153
1762168999.7098,-0.0164
1762168999.8736,-0.0207
1762169000.0514,-0.0207
1762169000.2140,-0.0240
1762169000.3681,-0.0305
1762169000.5466,-0.0338
1762169000.7011,-0.0415
1762169000.8796,-0.0415
1762169001.0581,-0.0469
1762169001.2143,-0.0513
1762169001.3937,-0.0545
1762169001.5479,-0.0611
1762169001.7277,-0.0611
1762169001.8824,-0.0665
1762169002.0584,-0.0764
1762169002.2127,-0.0807
1762169002.3938,-0.0807
1762169002.5641,-0.0916
1762169002.7182,-0.0971
1762169002.8968,-0.1025
1762169003.0569,-0.1025
1762169003.2354,-0.1058
1762169003.3926,-0.1113
1762169003.5654,-0.1156
1762169003.7435,-0.1123
1762169003.9003,-0.1123
1762169004.0607,-0.1025
1762169004.2402,-0.0982
1762169004.3947,-0.0883
1762169004.5653,-0.0796
1762169004.7413,-0.0796
1762169004.9187,-0.0720
1762169005.0739,-0.0676
1762169005.2430,-0.0655
1762169005.4130,-0.0600
1762169005.5862,-0.0600
1762169005.7478,-0.0556
1762169005.9075,-0.0513
1762169006.0862,-0.0480
1762169006.2517,-0.0458
1762169006.4101,-0.0458
1762169006.5819,-0.0404
1762169006.7475,-0.0305
1762169006.9139,-0.0218
1762169007.0747,-0.0153
1762169007.2570,-0.0153
1762169007.4099,-0.0131
1762169007.5856,-0.0131
1762169007.7587,-0.0120
1762169007.9276,-0.0120
1762169008.0946,-0.0098
1762169008.2618,-0.0054
1762169008.4176,-0.0011
1762169008.5917,0.0000
1762169008.7649,0.0000
1762169008.9200,-0.0033
1762169009.0931,-0.0033
1762169009.2680,-0.0087
1762169009.4300,-0.0087
1762169009.6016,-0.0142
1762169009.7763,-0.0196
1762169009.9384,-0.0240
1762169010.1063,-0.0305
1762169010.2685,-0.0305
1762169010.4298,-0.0360
1762169010.5987,-0.0404
1762169010.7692,-0.0415
1762169010.9472,-0.0436
1762169011.1088,-0.0436
1762169011.2675,-0.0447
1762169011.4464,-0.0491
1762169011.6005,-0.0556
1762169011.7737,-0.0556
1762169011.9359,-0.0600
1762169012.1141,-0.0655
1762169012.2826,-0.0709
1762169012.4371,-0.0764
1762169012.6197,-0.0764
1762169012.7834,-0.0785
1762169012.9440,-0.0818
1762169013.0979,-0.0796
1762169013.2680,-0.0796
1762169013.4532,-0.0753
1762169013.6077,-0.0753
1762169013.7870,-0.0742
1762169013.9503,-0.0742
1762169014.1040,-0.0720
1762169014.2843,-0.0709
1762169014.4388,-0.0698
1762169014.6186,-0.0687
1762169014.7771,-0.0687
1762169014.9530,-0.0644
1762169015.1233,-0.0589
1762169015.2824,-0.0578
1762169015.4623,-0.0545
1762169015.6227,-0.0545
1762169015.7928,-0.0502
1762169015.9448,-0.0404
1762169016.1146,-0.0273
1762169016.2949,-0.0196
1762169016.4605,-0.0196
1762169016.6104,-0.0142
1762169016.7795,-0.0131
1762169016.9435,-0.0109
1762169017.1335,-0.0065
1762169017.2883,-0.0065
1762169017.4665,0.0022
1762169017.6215,0.0076
1762169017.8003,0.0120
1762169017.9564,0.0120
1762169018.1116,0.0164
1762169018.2957,0.0164
1762169018.4495,0.0175
1762169018.6288,0.0153
1762169018.7966,0.0153
1762169018.9525,0.0131
1762169019.1151,0.0109
1762169019.2943,0.0109
1762169019.4475,0.0087
1762169019.6257,0.0087
1762169019.7944,0.0087
1762169019.9476,0.0033
1762169020.1273,0.0011
1762169020.2805,0.0011
1762169020.4593,0.0000
1762169020.6183,0.0000
1762169020.7954,0.0000
1762169020.9673,-0.0011
1762169021.1212,-0.0011
1762169021.2979,-0.0033
1762169021.4521,0.0000
1762169021.6192,0.0055
1762169021.7970,0.0055
1762169021.9501,0.0044
1762169022.1304,0.0065
1762169022.2847,0.0087
1762169022.4751,0.0109
1762169022.6435,0.0109
1762169022.7968,0.0109
1762169022.9759,0.0109
1762169023.1310,0.0087
1762169023.2997,0.0076
1762169023.4744,0.0076
1762169023.6280,0.0065
1762169023.8066,0.0087
1762169023.9700,0.0120
1762169024.1297,0.0131
1762169024.3062,0.0131
1762169024.4619,0.0142
1762169024.6454,0.0131
1762169024.7992,0.0087
1762169024.9856,0.0000
1762169025.1368,0.0000
1762169025.3202,-0.0109
1762169025.4754,-0.0175
1762169025.6526,-0.0218
1762169025.8065,-0.0218
1762169025.9862,-0.0262
1762169026.1401,-0.0305
1762169026.3192,-0.0316
1762169026.4763,-0.0316
1762169026.6394,-0.0327
1762169026.8060,-0.0371
1762169026.9675,-0.0404
1762169027.1506,-0.0415
1762169027.3050,-0.0415
1762169027.4771,-0.0415
1762169027.6551,-0.0415
1762169027.8106,-0.0393
1762169027.9880,-0.0327
1762169028.1433,-0.0327
1762169028.3179,-0.0240
1762169028.4760,-0.0175
1762169028.6372,-0.0131
1762169028.8158,-0.0065
1762169028.9687,-0.0065
1762169029.1541,-0.0011
1762169029.3112,0.0055
1762169029.4885,0.0109
1762169029.6422,0.0109
1762169029.8204,0.0153
1762169029.9752,0.0196
1762169030.1519,0.0251
1762169030.3077,0.0360
1762169030.4862,0.0426
1762169030.6411,0.0426
1762169030.8053,0.0458
1762169030.9854,0.0556
1762169031.1540,0.0655
1762169031.3079,0.0753
1762169031.4692,0.0753
1762169031.6557,0.0862
1762169031.8098,0.0993
1762169031.9769,0.1069
1762169032.1352,0.1113
1762169032.3127,0.1113
1762169032.4723,0.1134
1762169032.6343,0.1113
1762169032.7993,0.1080
1762169032.9774,0.1080
1762169033.1325,0.1025
1762169033.3113,0.0971
1762169033.4742,0.0916
1762169033.6509,0.0851
1762169033.8064,0.0851
1762169033.9797,0.0785
1762169034.1490,0.0698
1762169034.3028,0.0665
1762169034.4825,0.0611
1762169034.6509,0.0611
1762169034.8233,0.0556
1762169034.9883,0.0491
1762169035.1421,0.0447
1762169035.3206,0.0393
1762169035.4820,0.0393
1762169035.6551,0.0338
1762169035.8343,0.0327
1762169035.9888,0.0360
1762169036.1593,0.0360
1762169036.3143,0.0436
1762169036.4924,0.0480
1762169036.6604,0.0567
1762169036.8239,0.0611
1762169037.0030,0.0611
1762169037.1582,0.0633
1762169037.3252,0.0633
1762169037.5030,0.0687
1762169037.6584,0.0687
1762169037.8370,0.0742
1762169037.9919,0.0775
1762169038.1602,0.0796
1762169038.3333,0.0829
1762169038.4872,0.0829
1762169038.6660,0.0829
1762169038.8205,0.0785
1762169038.9983,0.0742
1762169039.1524,0.0655
1762169039.3282,0.0655
1762169039.5073,0.0655
1762169039.6604,0.0655
1762169039.8397,0.0655
1762169040.0011,0.0655
1762169040.1692,0.0545
1762169040.3305,0.0404
1762169040.5096,0.0284
1762169040.6708,0.0284
1762169040.8429,0.0186
1762169040.9975,0.0098
1762169041.1781,0.0044
1762169041.3292,0.0011
1762169041.5088,0.0011
1762169041.6638,-0.0065
1762169041.8314,-0.0153
1762169042.0122,-0.0207
1762169042.1653,-0.0207
1762169042.3387,-0.0229
1762169042.5168,-0.0251
1762169042.6732,-0.0273
1762169042.8433,-0.0273
1762169043.0082,-0.0294
1762169043.1865,-0.0327
1762169043.3414,-0.0327
1762169043.5191,-0.0338
1762169043.6876,-0.0338
1762169043.8560,-0.0349
1762169044.0138,-0.0327
1762169044.1929,-0.0338
1762169044.3581,-0.0349
1762169044.5125,-0.0349
1762169044.6896,-0.0338
1762169044.8435,-0.0327
1762169045.0240,-0.0316
1762169045.1799,-0.0316
1762169045.3583,-0.0338
1762169045.5289,-0.0393
1762169045.6848,-0.0436
1762169045.8568,-0.0458
1762169046.0110,-0.0458
1762169046.1964,-0.0458
1762169046.3513,-0.0469
1762169046.5297,-0.0480
1762169046.6851,-0.0469
1762169046.8469,-0.0469
