ros_time_s,Lecturas_ValidasRojo
1762168977.3501,0.0000
1762168977.6568,0.0000
1762168977.9365,0.0000
1762168978.1666,0.0000
1762168978.4221,0.0000
1762168978.6301,0.0000
1762168978.8342,0.0000
1762168979.0405,0.0000
1762168979.2435,0.0000
1762168979.4310,0.0000
1762168979.6212,0.0000
1762168979.7989,0.0000
1762168979.9794,0.0000
1762168980.1575,0.0000
1762168980.3129,0.0000
1762168980.4947,0.0000
1762168980.6592,0.0000
1762168980.8387,0.0000
1762168981.0122,0.0000
1762168981.1908,0.0000
1762168981.3472,1.0000
1762168981.5274,0.0000
1762168981.6992,0.0000
1762168981.8559,0.0000
1762168982.0358,1.0000
1762168982.1952,1.0000
1762168982.3724,1.0000
1762168982.5564,2.0000
1762168982.7108,1.0000
1762168982.8904,2.0000
1762168983.0679,2.0000
1762168983.2215,2.0000
1762168983.4022,2.0000
1762168983.5805,2.0000
1762168983.7352,3.0000
1762168983.9035,3.0000
1762168984.0812,3.0000
1762168984.2473,4.0000
1762168984.4254,4.0000
1762168984.5797,4.0000
1762168984.7612,5.0000
1762168984.9436,4.0000
1762168985.0979,5.0000
1762168985.2654,5.0000
1762168985.4456,5.0000
1762168985.6044,4.0000
1762168985.7839,4.0000
1762168985.9610,4.0000
1762168986.1162,4.0000
1762168986.2955,4.0000
1762168986.4475,4.0000
1762168986.6252,4.0000
1762168986.7847,3.0000
1762168986.9501,3.0000
1762168987.1233,3.0000
1762168987.3031,3.0000
1762168987.4556,3.0000
1762168987.6178,2.0000
1762168987.7867,2.0000
1762168987.9719,2.0000
1762168988.1320,2.0000
1762168988.2866,2.0000
1762168988.4706,1.0000
1762168988.6240,1.0000
1762168988.8042,1.0000
1762168988.9589,1.0000
1762168989.1364,1.0000
1762168989.3158,1.0000
1762168989.4672,0.0000
1762168989.6473,0.0000
1762168989.8101,0.0000
1762168989.9697,0.0000
1762168990.1388,0.0000
1762168990.3125,0.0000
1762168990.4785,0.0000
1762168990.6489,0.0000
1762168990.8287,0.0000
1762168990.9802,0.0000
1762168991.1644,0.0000
1762168991.3360,0.0000
1762168991.4893,0.0000
1762168991.6661,0.0000
1762168991.8212,0.0000
1762168992.0003,0.0000
1762168992.1557,0.0000
1762168992.3412,0.0000
1762168992.4950,0.0000
1762168992.6734,0.0000
1762168992.8369,0.0000
1762168992.9938,0.0000
1762168993.1833,0.0000
1762168993.3326,0.0000
1762168993.5147,0.0000
1762168993.6696,0.0000
1762168993.8450,0.0000
1762168994.0157,0.0000
1762168994.1830,0.0000
1762168994.3437,0.0000
1762168994.5101,0.0000
1762168994.6786,0.0000
1762168994.8635,0.0000
1762168995.0148,0.0000
1762168995.1954,0.0000
1762168995.3600,0.0000
1762168995.5299,0.0000
1762168995.6912,0.0000
1762168995.8639,0.0000
1762168996.0187,0.0000
1762168996.2002,0.0000
1762168996.3638,0.0000
1762168996.5398,0.0000
1762168996.6967,0.0000
1762168996.8648,0.0000
1762168997.0274,0.0000
1762168997.2067,0.0000
1762168997.3699,0.0000
1762168997.5328,0.0000
1762168997.7101,0.0000
1762168997.8742,0.0000
1762168998.0299,0.0000
1762168998.2141,0.0000
1762168998.3803,0.0000
1762168998.5495,0.0000
1762168998.6966,0.0000
1762168998.8683,0.0000
1762168999.0284,0.0000
1762168999.2080,0.0000
1762168999.3608,0.0000
1762168999.5451,0.0000
1762168999.7109,0.0000
1762168999.8749,0.0000
1762169000.0531,0.0000
1762169000.2149,0.0000
1762169000.3693,0.0000
1762169000.5478,0.0000
1762169000.7023,0.0000
1762169000.8807,0.0000
1762169001.0589,0.0000
1762169001.2152,0.0000
1762169001.3948,0.0000
1762169001.5490,0.0000
1762169001.7294,0.0000
1762169001.8839,0.0000
1762169002.0599,0.0000
1762169002.2138,0.0000
1762169002.3956,0.0000
1762169002.5654,0.0000
1762169002.7195,0.0000
1762169002.8979,0.0000
1762169003.0582,0.0000
1762169003.2369,0.0000
1762169003.3945,0.0000
1762169003.5668,0.0000
1762169003.7448,0.0000
1762169003.9018,0.0000
1762169004.0617,0.0000
1762169004.2416,0.0000
1762169004.3961,0.0000
1762169004.5666,0.0000
1762169004.7428,0.0000
1762169004.9201,0.0000
1762169005.0747,0.0000
1762169005.2445,0.0000
1762169005.4141,0.0000
1762169005.5876,0.0000
1762169005.7488,0.0000
1762169005.9088,0.0000
1762169006.0878,0.0000
1762169006.2531,0.0000
1762169006.4111,0.0000
1762169006.5833,0.0000
1762169006.7484,0.0000
1762169006.9148,0.0000
1762169007.0760,0.0000
1762169007.2580,0.0000
1762169007.4111,0.0000
1762169007.5869,0.0000
1762169007.7598,0.0000
1762169007.9291,0.0000
1762169008.0958,0.0000
1762169008.2628,0.0000
1762169008.4187,0.0000
1762169008.5931,0.0000
1762169008.7662,0.0000
1762169008.9212,0.0000
1762169009.0943,0.0000
1762169009.2692,0.0000
1762169009.4313,0.0000
1762169009.6031,0.0000
1762169009.7777,0.0000
1762169009.9397,0.0000
1762169010.1077,0.0000
1762169010.2699,0.0000
1762169010.4313,0.0000
1762169010.5999,0.0000
1762169010.7706,0.0000
1762169010.9490,0.0000
1762169011.1098,0.0000
1762169011.2688,1.0000
1762169011.4477,1.0000
1762169011.6019,1.0000
1762169011.7752,2.0000
1762169011.9375,1.0000
1762169012.1152,2.0000
1762169012.2841,2.0000
1762169012.4399,3.0000
1762169012.6211,3.0000
1762169012.7850,3.0000
1762169012.9450,3.0000
1762169013.0991,3.0000
1762169013.2685,3.0000
1762169013.4543,3.0000
1762169013.6086,3.0000
1762169013.7885,3.0000
1762169013.9514,3.0000
1762169014.1053,3.0000
1762169014.2858,3.0000
1762169014.4401,3.0000
1762169014.6200,3.0000
1762169014.7785,3.0000
1762169014.9541,4.0000
1762169015.1246,4.0000
1762169015.2839,3.0000
1762169015.4636,3.0000
1762169015.6241,3.0000
1762169015.7942,4.0000
1762169015.9463,3.0000
1762169016.1158,4.0000
1762169016.2961,5.0000
1762169016.4613,5.0000
1762169016.6113,4.0000
1762169016.7808,4.0000
1762169016.9444,5.0000
1762169017.1351,5.0000
1762169017.2898,5.0000
1762169017.4682,3.0000
1762169017.6228,3.0000
1762169017.8020,3.0000
1762169017.9571,1.0000
1762169018.1128,1.0000
1762169018.2970,2.0000
1762169018.4504,0.0000
1762169018.6301,1.0000
1762169018.7977,1.0000
1762169018.9540,1.0000
1762169019.1164,0.0000
1762169019.2960,0.0000
1762169019.4487,0.0000
1762169019.6271,0.0000
1762169019.7956,0.0000
1762169019.9486,0.0000
1762169020.1292,0.0000
1762169020.2816,0.0000
1762169020.4606,0.0000
1762169020.6195,0.0000
1762169020.7966,0.0000
1762169020.9691,0.0000
