ros_time_s,Lecturas_ValidasVerde
1762168977.3487,48.0000
1762168977.6554,43.0000
1762168977.9361,37.0000
1762168978.1661,34.0000
1762168978.4217,34.0000
1762168978.6289,32.0000
1762168978.8332,28.0000
1762168979.0390,32.0000
1762168979.2422,27.0000
1762168979.4306,25.0000
1762168979.6196,25.0000
1762168979.7975,23.0000
1762168979.9779,27.0000
1762168980.1561,23.0000
1762168980.3115,24.0000
1762168980.4935,24.0000
1762168980.6579,23.0000
1762168980.8373,25.0000
1762168981.0118,22.0000
1762168981.1904,23.0000
1762168981.3460,24.0000
1762168981.5259,25.0000
1762168981.6985,26.0000
1762168981.8547,24.0000
1762168982.0345,22.0000
1762168982.1940,23.0000
1762168982.3716,23.0000
1762168982.5550,25.0000
1762168982.7095,24.0000
1762168982.8889,23.0000
1762168983.0670,24.0000
1762168983.2206,23.0000
1762168983.4009,24.0000
1762168983.5792,23.0000
1762168983.7329,25.0000
1762168983.9022,22.0000
1762168984.0800,24.0000
1762168984.2462,23.0000
1762168984.4243,26.0000
1762168984.5787,21.0000
1762168984.7598,24.0000
1762168984.9409,24.0000
1762168985.0963,24.0000
1762168985.2643,26.0000
1762168985.4443,26.0000
1762168985.6029,23.0000
1762168985.7823,23.0000
1762168985.9594,21.0000
1762168986.1149,23.0000
1762168986.2936,22.0000
1762168986.4466,22.0000
1762168986.6242,23.0000
1762168986.7838,22.0000
1762168986.9491,25.0000
1762168987.1224,24.0000
1762168987.3016,23.0000
1762168987.4543,23.0000
1762168987.6168,23.0000
1762168987.7854,22.0000
1762168987.9709,25.0000
1762168988.1306,24.0000
1762168988.2853,23.0000
1762168988.4695,24.0000
1762168988.6229,22.0000
1762168988.8028,25.0000
1762168988.9578,23.0000
1762168989.1350,22.0000
1762168989.3141,26.0000
1762168989.4664,23.0000
1762168989.6463,22.0000
1762168989.8085,25.0000
1762168989.9686,21.0000
1762168990.1372,23.0000
1762168990.3110,20.0000
1762168990.4778,23.0000
1762168990.6473,23.0000
1762168990.8272,21.0000
1762168990.9794,23.0000
1762168991.1636,26.0000
1762168991.3345,19.0000
1762168991.4880,20.0000
1762168991.6653,21.0000
1762168991.8203,21.0000
1762168991.9988,20.0000
1762168992.1544,18.0000
1762168992.3396,21.0000
1762168992.4937,23.0000
1762168992.6721,20.0000
1762168992.8354,19.0000
1762168992.9927,22.0000
1762168993.1822,21.0000
1762168993.3312,19.0000
1762168993.5131,23.0000
1762168993.6682,23.0000
1762168993.8429,21.0000
1762168994.0146,20.0000
1762168994.1818,20.0000
1762168994.3423,23.0000
1762168994.5087,22.0000
1762168994.6770,21.0000
1762168994.8624,23.0000
1762168995.0137,24.0000
1762168995.1936,22.0000
1762168995.3590,21.0000
1762168995.5286,23.0000
1762168995.6898,23.0000
1762168995.8628,22.0000
1762168996.0178,23.0000
1762168996.1992,22.0000
1762168996.3626,24.0000
1762168996.5383,21.0000
1762168996.6948,21.0000
1762168996.8638,22.0000
1762168997.0259,22.0000
1762168997.2053,21.0000
1762168997.3684,20.0000
1762168997.5313,23.0000
1762168997.7088,23.0000
1762168997.8733,21.0000
1762168998.0285,23.0000
1762168998.2132,24.0000
1762168998.3796,22.0000
1762168998.5483,23.0000
1762168998.6954,22.0000
1762168998.8673,19.0000
1762168999.0270,24.0000
1762168999.2064,25.0000
1762168999.3599,24.0000
1762168999.5439,20.0000
1762168999.7098,25.0000
1762168999.8736,24.0000
1762169000.0514,24.0000
1762169000.2140,22.0000
1762169000.3681,23.0000
1762169000.5466,25.0000
1762169000.7011,24.0000
1762169000.8796,24.0000
1762169001.0581,22.0000
1762169001.2143,22.0000
1762169001.3937,22.0000
1762169001.5479,24.0000
1762169001.7277,23.0000
1762169001.8824,23.0000
1762169002.0584,23.0000
1762169002.2127,25.0000
1762169002.3938,24.0000
1762169002.5641,24.0000
1762169002.7182,23.0000
1762169002.8968,24.0000
1762169003.0569,24.0000
1762169003.2354,23.0000
1762169003.3926,25.0000
1762169003.5654,25.0000
1762169003.7435,23.0000
1762169003.9003,22.0000
1762169004.0607,25.0000
1762169004.2402,25.0000
1762169004.3947,26.0000
1762169004.5653,26.0000
1762169004.7413,22.0000
1762169004.9187,22.0000
1762169005.0739,21.0000
1762169005.2430,25.0000
1762169005.4130,22.0000
1762169005.5862,22.0000
1762169005.7478,23.0000
1762169005.9075,24.0000
1762169006.0862,24.0000
1762169006.2517,24.0000
1762169006.4101,20.0000
1762169006.5819,23.0000
1762169006.7475,21.0000
1762169006.9139,21.0000
1762169007.0747,24.0000
1762169007.2570,23.0000
1762169007.4099,23.0000
1762169007.5856,23.0000
1762169007.7587,26.0000
1762169007.9276,24.0000
1762169008.0946,24.0000
1762169008.2618,23.0000
1762169008.4176,22.0000
1762169008.5917,21.0000
1762169008.7649,22.0000
1762169008.9200,24.0000
1762169009.0931,21.0000
1762169009.2680,24.0000
1762169009.4300,24.0000
1762169009.6016,23.0000
1762169009.7763,23.0000
1762169009.9384,20.0000
1762169010.1063,22.0000
1762169010.2685,22.0000
1762169010.4298,23.0000
1762169010.5987,22.0000
1762169010.7692,22.0000
1762169010.9472,23.0000
1762169011.1088,25.0000
1762169011.2675,23.0000
1762169011.4464,23.0000
1762169011.6005,24.0000
1762169011.7737,22.0000
1762169011.9359,21.0000
1762169012.1141,22.0000
1762169012.2826,24.0000
1762169012.4371,22.0000
1762169012.6197,23.0000
1762169012.7834,25.0000
1762169012.9440,22.0000
1762169013.0979,22.0000
1762169013.2680,23.0000
1762169013.4532,24.0000
1762169013.6077,23.0000
1762169013.7870,18.0000
1762169013.9503,23.0000
1762169014.1040,23.0000
1762169014.2843,24.0000
1762169014.4388,21.0000
1762169014.6186,23.0000
1762169014.7771,24.0000
1762169014.9530,24.0000
1762169015.1233,25.0000
1762169015.2824,24.0000
1762169015.4623,22.0000
1762169015.6227,23.0000
1762169015.7928,23.0000
1762169015.9448,23.0000
1762169016.1146,23.0000
1762169016.2949,25.0000
1762169016.4605,25.0000
1762169016.6104,24.0000
1762169016.7795,22.0000
1762169016.9435,24.0000
1762169017.1335,22.0000
1762169017.2883,22.0000
1762169017.4665,22.0000
1762169017.6215,21.0000
1762169017.8003,21.0000
1762169017.9564,20.0000
1762169018.1116,24.0000
1762169018.2957,24.0000
1762169018.4495,20.0000
1762169018.6288,21.0000
1762169018.7966,20.0000
1762169018.9525,21.0000
1762169019.1151,23.0000
1762169019.2943,23.0000
1762169019.4475,22.0000
1762169019.6257,22.0000
1762169019.7944,22.0000
1762169019.9476,22.0000
1762169020.1273,23.0000
1762169020.2805,21.0000
1762169020.4593,20.0000
1762169020.6183,26.0000
1762169020.7954,21.0000
1762169020.9673,25.0000
1762169021.1212,20.0000
1762169021.2979,21.0000
1762169021.4521,21.0000
1762169021.6192,21.0000
1762169021.7970,22.0000
1762169021.9501,21.0000
1762169022.1304,22.0000
1762169022.2847,20.0000
1762169022.4751,20.0000
1762169022.6435,22.0000
1762169022.7968,21.0000
1762169022.9759,25.0000
1762169023.1310,20.0000
1762169023.2997,23.0000
1762169023.4744,25.0000
1762169023.6280,23.0000
1762169023.8066,21.0000
1762169023.9700,22.0000
1762169024.1297,22.0000
1762169024.3062,21.0000
1762169024.4619,20.0000
1762169024.6454,20.0000
1762169024.7992,24.0000
1762169024.9856,23.0000
1762169025.1368,23.0000
1762169025.3202,24.0000
1762169025.4754,23.0000
1762169025.6526,20.0000
1762169025.8065,22.0000
1762169025.9862,24.0000
1762169026.1401,25.0000
1762169026.3192,24.0000
1762169026.4763,22.0000
1762169026.6394,23.0000
1762169026.8060,23.0000
1762169026.9675,24.0000
1762169027.1506,25.0000
1762169027.3050,24.0000
1762169027.4771,23.0000
1762169027.6551,26.0000
1762169027.8106,23.0000
1762169027.9880,24.0000
1762169028.1433,26.0000
1762169028.3179,26.0000
1762169028.4760,25.0000
1762169028.6372,24.0000
1762169028.8158,23.0000
1762169028.9687,24.0000
1762169029.1541,24.0000
1762169029.3112,21.0000
1762169029.4885,20.0000
1762169029.6422,23.0000
1762169029.8204,21.0000
1762169029.9752,25.0000
1762169030.1519,23.0000
1762169030.3077,22.0000
1762169030.4862,21.0000
1762169030.6411,23.0000
1762169030.8053,24.0000
1762169030.9854,23.0000
1762169031.1540,23.0000
1762169031.3079,21.0000
1762169031.4692,21.0000
1762169031.6557,22.0000
1762169031.8098,21.0000
1762169031.9769,24.0000
1762169032.1352,24.0000
1762169032.3127,20.0000
1762169032.4723,23.0000
1762169032.6343,23.0000
1762169032.7993,22.0000
1762169032.9774,23.0000
1762169033.1325,25.0000
1762169033.3113,24.0000
