ros_time_s,Lidar_Left
1762168977.3487,1.0706
1762168977.6554,1.0816
1762168977.9361,1.0751
1762168978.1661,1.0721
1762168978.4217,1.0789
1762168978.6289,1.0700
1762168978.8332,1.0807
1762168979.0390,1.0588
1762168979.2422,1.0797
1762168979.4306,1.0843
1762168979.6196,1.0986
1762168979.7975,1.0941
1762168979.9779,1.0911
1762168980.1561,1.1010
1762168980.3115,1.0951
1762168980.4935,1.0955
1762168980.6579,1.1228
1762168980.8373,1.1016
1762168981.0118,1.1023
1762168981.1904,1.0868
1762168981.3460,1.0810
1762168981.5259,1.0924
1762168981.6985,1.0908
1762168981.8547,1.0977
1762168982.0345,1.1028
1762168982.1940,1.1115
1762168982.3716,1.0689
1762168982.5550,1.1074
1762168982.7095,1.0851
1762168982.8889,1.1105
1762168983.0670,1.1058
1762168983.2206,1.1099
1762168983.4009,1.0914
1762168983.5792,1.0954
1762168983.7329,1.0800
1762168983.9022,1.0857
1762168984.0800,1.0982
1762168984.2462,1.1018
1762168984.4243,1.0846
1762168984.5787,1.0961
1762168984.7598,1.0832
1762168984.9409,1.0916
1762168985.0963,1.0957
1762168985.2643,1.0862
1762168985.4443,1.0939
1762168985.6029,1.1006
1762168985.7823,1.1181
1762168985.9594,1.1223
1762168986.1149,1.0996
1762168986.2936,1.1211
1762168986.4466,1.1045
1762168986.6242,1.1315
1762168986.7838,1.1211
1762168986.9491,1.1070
1762168987.1224,1.1234
1762168987.3016,1.1006
1762168987.4543,1.1176
1762168987.6168,1.0973
1762168987.7854,1.1245
1762168987.9709,1.1183
1762168988.1306,1.1254
1762168988.2853,1.1172
1762168988.4695,1.0998
1762168988.6229,1.1148
1762168988.8028,1.1160
1762168988.9578,1.0926
1762168989.1350,1.1062
1762168989.3141,1.0830
1762168989.4664,1.1183
1762168989.6463,1.0890
1762168989.8085,1.0845
1762168989.9686,1.0972
1762168990.1372,1.0829
1762168990.3110,1.0826
1762168990.4778,1.0908
1762168990.6473,1.0812
1762168990.8272,1.0891
1762168990.9794,1.0785
1762168991.1636,1.0780
1762168991.3345,1.0746
1762168991.4880,1.0593
1762168991.6653,1.0730
1762168991.8203,1.0559
1762168991.9988,1.0831
1762168992.1544,1.0819
1762168992.3396,1.0868
1762168992.4937,1.0934
