ros_time_s,Vel_Des
1762168978.6539,15.9000
1762168978.6923,15.9000
1762168978.7421,15.9000
1762168978.7920,15.9000
1762168978.8516,11.6700
1762168978.8920,11.6700
1762168978.9420,11.6700
1762168978.9917,11.6700
1762168979.0534,20.5300
1762168979.0914,20.5300
1762168979.1423,20.5300
1762168979.1919,20.5300
1762168979.2422,20.5300
1762168979.2994,11.7900
1762168979.3416,11.7900
1762168979.3906,11.7900
1762168979.4450,11.7300
1762168979.4903,11.7300
1762168979.5404,11.7300
1762168979.5903,11.7300
1762168979.6530,4.6600
1762168979.6925,4.6600
1762168979.7424,4.6600
1762168979.7922,4.6600
1762168979.8494,9.6000
1762168979.8923,9.6000
1762168979.9424,9.6000
1762168980.0018,11.4400
1762168980.0424,11.4400
1762168980.0919,11.4400
1762168980.1421,11.4400
1762168980.2032,-3.6600
1762168980.2412,-3.6600
1762168980.2914,-3.6600
1762168980.3716,8.9100
1762168980.3913,8.9100
1762168980.4419,8.9100
1762168980.4922,8.9100
1762168980.5505,8.5600
1762168980.5921,8.5600
1762168980.6421,8.5600
1762168980.7037,-11.4400
1762168980.7423,-12.9200
1762168980.7918,-12.9200
1762168980.8499,-5.0600
1762168980.8920,-5.0600
1762168980.9418,-5.0600
1762168980.9902,-5.0600
1762168981.0446,-6.3200
1762168981.0901,-6.3200
1762168981.1402,-6.3200
1762168981.1902,-6.3200
1762168981.2453,11.8100
1762168981.2902,11.8100
1762168981.3410,11.8100
1762168981.4013,11.6700
1762168981.4428,11.6700
1762168981.4921,11.6700
1762168981.5523,10.7300
1762168981.5921,10.7300
1762168981.6420,10.7300
1762168981.6905,10.7300
1762168981.7525,11.6100
1762168981.7917,11.6100
1762168981.8423,11.6100
1762168981.9038,6.2800
1762168981.9421,6.2800
1762168981.9919,6.2800
1762168982.0497,-6.9600
1762168982.0920,-6.9600
1762168982.1421,-6.9600
1762168982.1919,-6.9600
1762168982.2509,-11.8800
1762168982.2923,-11.8800
1762168982.3422,-11.8800
1762168982.3991,8.1200
1762168982.4420,16.3500
1762168982.4921,16.3500
1762168982.5423,16.3500
1762168982.6028,-3.6500
1762168982.6416,-10.5500
1762168982.6924,-10.5500
1762168982.7526,9.4500
1762168982.7922,11.7500
1762168982.8417,11.7500
1762168982.9025,-8.2500
1762168982.9417,-11.9200
1762168982.9923,-11.9200
1762168983.0417,-11.9200
1762168983.1020,-9.5100
1762168983.1421,-9.5100
1762168983.1926,-9.5100
1762168983.2532,-11.9200
1762168983.2924,-11.9200
1762168983.3422,-11.9200
1762168983.3924,-11.9200
1762168983.4530,8.0800
1762168983.4911,11.2700
1762168983.5430,11.2700
1762168983.6023,8.6600
1762168983.6422,8.6600
1762168983.6925,8.6600
1762168983.7522,11.6700
1762168983.7925,11.6700
1762168983.8424,11.6700
1762168983.8928,11.6700
1762168983.9535,11.7700
1762168983.9922,11.7700
1762168984.0423,11.7700
1762168984.1010,5.4300
1762168984.1438,5.4300
1762168984.1923,5.4300
1762168984.2424,5.4300
1762168984.3033,-5.3500
1762168984.3427,-5.3500
1762168984.3925,-5.3500
1762168984.4534,11.7400
1762168984.4926,11.7400
1762168984.5426,11.7400
1762168984.5974,8.0900
1762168984.6423,8.0900
1762168984.6925,8.0900
1762168984.7425,8.0900
1762168984.8029,11.7000
1762168984.8418,11.7000
1762168984.8921,11.7000
1762168984.9424,11.7000
1762168985.0032,11.2000
1762168985.0423,11.2000
1762168985.0930,11.2000
1762168985.1531,8.3900
1762168985.1925,8.3900
1762168985.2421,8.3900
1762168985.3029,11.7900
1762168985.3423,11.7900
1762168985.3926,11.7900
1762168985.4418,11.7900
1762168985.5030,9.7400
1762168985.5425,9.7400
1762168985.5924,9.7400
1762168985.6534,-2.5500
1762168985.6921,-2.5500
1762168985.7423,-2.5500
1762168985.7988,-11.6800
1762168985.8420,-11.6800
1762168985.8921,-11.6800
1762168985.9422,-11.6800
1762168986.0039,-12.6900
1762168986.0418,-12.6900
1762168986.0914,-12.6900
1762168986.1512,1.8000
1762168986.1928,1.8000
1762168986.2421,1.8000
1762168986.2919,1.8000
1762168986.3545,-12.1600
1762168986.3926,-12.1600
1762168986.4425,-12.1600
1762168986.5033,-8.5600
1762168986.5426,-8.5600
1762168986.5927,-8.5600
1762168986.6548,-16.5300
1762168986.6904,-16.5300
1762168986.7421,-16.5300
1762168986.8025,-12.1500
1762168986.8419,-12.1500
1762168986.8919,-12.1500
1762168986.9421,-12.1500
1762168986.9991,-10.3100
1762168987.0422,-10.3100
1762168987.0927,-10.3100
1762168987.1552,-13.1700
1762168987.1926,-13.1700
1762168987.2424,-13.1700
1762168987.2924,-13.1700
1762168987.3539,-2.3200
1762168987.3924,-2.3200
1762168987.4420,-2.3200
1762168987.5038,-11.6900
1762168987.5421,-11.6900
1762168987.5919,-11.6900
1762168987.6524,6.7300
1762168987.6920,6.7300
1762168987.7423,6.7300
1762168987.8015,-13.2700
1762168987.8425,-13.6600
1762168987.8927,-13.6600
1762168987.9425,-13.6600
1762168988.0036,-11.6800
1762168988.0424,-11.6800
1762168988.0927,-11.6800
1762168988.1541,-14.0100
1762168988.1924,-14.0100
1762168988.2431,-14.0100
1762168988.3010,-11.7000
1762168988.3420,-11.7000
1762168988.3926,-11.7000
1762168988.4437,-11.7000
1762168988.5028,0.9300
1762168988.5425,0.9300
1762168988.5922,0.9300
1762168988.6535,-11.7600
1762168988.6925,-11.7600
1762168988.7422,-11.7600
1762168988.7927,-11.7600
1762168988.8535,-11.7200
1762168988.8918,-11.7200
1762168988.9422,-11.7200
1762168989.0032,8.2800
1762168989.0421,10.5900
1762168989.0921,10.5900
1762168989.1500,-9.4100
1762168989.1922,-9.7700
1762168989.2420,-9.7700
1762168989.2921,-9.7700
1762168989.3510,10.2300
1762168989.3924,11.7000
1762168989.4424,11.7000
1762168989.5035,-8.3000
1762168989.5418,-11.6800
1762168989.5922,-11.6800
1762168989.6423,-11.6800
1762168989.7031,8.3200
1762168989.7410,11.9000
1762168989.7924,11.9000
1762168989.8530,11.7400
1762168989.8920,11.7400
1762168989.9424,11.7400
1762168990.0031,6.9400
1762168990.0421,6.9400
1762168990.0925,6.9400
1762168990.1511,11.7000
1762168990.1925,11.7000
1762168990.2427,11.7000
1762168990.2928,11.7000
1762168990.3536,11.6900
1762168990.3925,11.6900
1762168990.4426,11.6900
1762168990.5029,11.6100
1762168990.5431,11.6100
1762168990.5919,11.6100
1762168990.6420,11.6100
1762168990.6992,11.6700
1762168990.7424,11.6700
1762168990.7912,11.6700
1762168990.8525,11.9000
1762168990.8926,11.9000
1762168990.9425,11.9000
1762168991.0011,12.3400
1762168991.0417,12.3400
1762168991.0925,12.3400
1762168991.1420,12.3400
1762168991.2046,12.5900
1762168991.2417,12.5900
1762168991.2920,12.5900
1762168991.3514,14.0100
1762168991.3920,14.0100
1762168991.4412,14.0100
1762168991.5024,20.3300
1762168991.5419,20.3300
1762168991.5926,20.3300
1762168991.6425,20.3300
1762168991.7048,14.7100
1762168991.7425,14.7100
1762168991.7927,14.7100
1762168991.8543,21.9500
1762168991.8914,21.9500
1762168991.9425,21.9500
1762168991.9910,21.9500
1762168992.0493,11.7000
1762168992.0926,11.7000
1762168992.1425,11.7000
1762168992.2038,11.6800
1762168992.2424,11.6800
1762168992.2920,11.6800
1762168992.3523,11.8100
1762168992.3931,11.8100
1762168992.4430,11.8100
1762168992.4932,11.8100
1762168992.5526,10.0300
1762168992.5931,10.0300
1762168992.6433,10.0300
1762168992.7040,11.9100
1762168992.7427,11.9100
1762168992.7933,11.9100
1762168992.8522,13.3300
1762168992.8934,13.3300
1762168992.9426,13.3300
1762168992.9926,13.3300
1762168993.0543,11.8600
1762168993.0924,11.8600
1762168993.1430,11.8600
1762168993.2037,11.9400
1762168993.2422,11.9400
1762168993.2926,11.9400
1762168993.3530,12.0400
1762168993.3930,12.0400
1762168993.4423,12.0400
1762168993.4924,12.0400
1762168993.5534,13.2600
1762168993.5917,13.2600
1762168993.6443,13.2600
1762168993.7040,-6.7400
1762168993.7427,-11.6700
1762168993.7925,-11.6700
1762168993.8422,-11.6700
1762168993.9045,8.3300
1762168993.9425,18.9200
1762168993.9927,18.9200
1762168994.0536,11.5400
1762168994.0905,11.5400
1762168994.1417,11.5400
1762168994.2020,11.9200
1762168994.2425,11.9200
1762168994.2917,11.9200
1762168994.3424,11.9200
1762168994.4042,13.2200
1762168994.4422,13.2200
1762168994.4915,13.2200
1762168994.5493,9.4500
1762168994.5921,9.4500
1762168994.6425,9.4500
1762168994.7025,-10.5500
1762168994.7423,-11.7100
1762168994.7924,-11.7100
1762168994.8423,-11.7100
1762168994.9016,-11.0800
1762168994.9418,-11.0800
1762168994.9919,-11.0800
1762168995.0512,-11.4100
1762168995.0910,-11.4100
1762168995.1424,-11.4100
1762168995.1926,-11.4100
1762168995.2504,1.8900
1762168995.2934,1.8900
1762168995.3427,1.8900
1762168995.4048,-0.6800
1762168995.4435,-0.6800
1762168995.4931,-0.6800
1762168995.5526,-4.4600
1762168995.5930,-4.4600
1762168995.6429,-4.4600
1762168995.6995,15.5400
1762168995.7429,16.2200
1762168995.7928,16.2200
1762168995.8422,16.2200
1762168995.9032,20.2800
1762168995.9426,20.2800
1762168995.9923,20.2800
1762168996.0540,11.7100
1762168996.0926,11.7100
1762168996.1422,11.7100
1762168996.1932,11.7100
1762168996.2493,11.5700
1762168996.2925,11.5700
1762168996.3420,11.5700
1762168996.4018,-1.6300
1762168996.4414,-1.6300
1762168996.4922,-1.6300
1762168996.5519,-11.6700
1762168996.5921,-11.6700
1762168996.6426,-11.6700
1762168996.6928,-11.6700
1762168996.7514,-9.5700
1762168996.7925,-9.5700
1762168996.8415,-9.5700
1762168996.9019,-11.8300
1762168996.9422,-11.8300
1762168996.9925,-11.8300
1762168997.0524,-10.6000
1762168997.0925,-10.6000
1762168997.1421,-10.6000
1762168997.1924,-10.6000
1762168997.2525,-7.4600
1762168997.2915,-7.4600
1762168997.3425,-7.4600
1762168997.4033,11.7500
1762168997.4430,11.7500
1762168997.4926,11.7500
1762168997.5528,11.7400
1762168997.5924,11.7400
1762168997.6421,11.7400
1762168997.6918,11.7400
1762168997.7531,5.9900
1762168997.7926,5.9900
1762168997.8421,5.9900
1762168997.9049,11.7600
1762168997.9422,11.7600
1762168997.9925,11.7600
1762168998.0526,-8.2400
1762168998.0928,-9.4000
1762168998.1424,-9.4000
1762168998.1922,-9.4000
1762168998.2533,-12.8700
1762168998.2924,-12.8700
1762168998.3422,-12.8700
1762168998.4020,-11.6700
1762168998.4427,-11.6700
1762168998.4928,-11.6700
1762168998.5426,-11.6700
1762168998.6046,-16.5800
1762168998.6424,-16.5800
1762168998.6928,-16.5800
1762168998.7543,3.4200
1762168998.7927,23.4200
1762168998.8424,25.9300
1762168998.8993,7.6700
1762168998.9425,7.6700
1762168998.9928,7.6700
1762168999.0526,8.9700
1762168999.0928,8.9700
1762168999.1423,8.9700
1762168999.1923,8.9700
1762168999.2494,9.6500
1762168999.2921,9.6500
1762168999.3415,9.6500
1762168999.4020,11.7200
1762168999.4414,11.7200
1762168999.4920,11.7200
1762168999.5425,11.7200
1762168999.6034,11.6800
1762168999.6417,11.6800
1762168999.6925,11.6800
1762168999.7545,12.8500
1762168999.7926,12.8500
1762168999.8428,12.8500
1762168999.9042,26.2900
1762168999.9420,26.2900
1762168999.9925,26.2900
1762169000.0411,26.2900
1762169000.1049,11.8800
1762169000.1423,11.8800
1762169000.1925,11.8800
1762169000.2512,11.9300
1762169000.2936,11.9300
1762169000.3424,11.9300
1762169000.4046,13.9600
1762169000.4424,13.9600
1762169000.4928,13.9600
1762169000.5425,13.9600
1762169000.6043,25.9500
1762169000.6424,25.9500
1762169000.6932,25.9500
1762169000.7548,18.4600
1762169000.7925,18.4600
1762169000.8426,18.4600
1762169000.9035,23.7300
1762169000.9420,23.7300
1762169000.9923,23.7300
1762169001.0422,23.7300
1762169001.1036,17.2200
1762169001.1416,17.2200
1762169001.1926,17.2200
1762169001.2558,20.2700
1762169001.2917,20.2700
1762169001.3422,20.2700
1762169001.3922,20.2700
1762169001.4549,17.5400
1762169001.4930,17.5400
1762169001.5429,17.5400
1762169001.6049,16.0600
1762169001.6430,16.0600
1762169001.6931,16.0600
1762169001.7550,14.2500
1762169001.7923,14.2500
1762169001.8420,14.2500
1762169001.9011,11.7500
1762169001.9424,11.7500
1762169001.9921,11.7500
1762169002.0425,11.7500
1762169002.1037,19.3500
1762169002.1414,19.3500
1762169002.1912,19.3500
1762169002.2523,-0.6500
1762169002.2921,-11.6700
1762169002.3419,-11.6700
1762169002.3926,-11.6700
1762169002.4533,8.3300
1762169002.4925,10.8900
1762169002.5425,10.8900
1762169002.6014,9.6300
1762169002.6421,9.6300
1762169002.6913,9.6300
1762169002.7533,-10.3700
1762169002.7925,-11.8400
1762169002.8423,-11.8400
1762169002.8924,-11.8400
1762169002.9545,-16.1800
1762169002.9921,-16.1800
1762169003.0417,-16.1800
1762169003.1028,-6.4600
1762169003.1422,-6.4600
1762169003.1924,-6.4600
1762169003.2519,-13.2700
1762169003.2918,-13.2700
1762169003.3421,-13.2700
1762169003.3928,-13.2700
1762169003.4537,-10.0100
1762169003.4918,-10.0100
1762169003.5418,-10.0100
1762169003.6042,-12.0500
1762169003.6422,-12.0500
1762169003.6923,-12.0500
1762169003.7423,-12.0500
1762169003.8039,-11.7900
1762169003.8425,-11.7900
1762169003.8922,-11.7900
1762169003.9534,-18.2000
1762169003.9915,-18.2000
1762169004.0422,-18.2000
1762169004.1019,-14.4200
1762169004.1414,-14.4200
1762169004.1921,-14.4200
1762169004.2487,-11.8900
1762169004.2926,-11.8900
1762169004.3424,-11.8900
1762169004.3928,-11.8900
1762169004.4497,-11.6700
1762169004.4921,-11.6700
1762169004.5423,-11.6700
1762169004.6036,-14.6300
1762169004.6429,-14.6300
1762169004.6922,-14.6300
1762169004.7419,-14.6300
1762169004.8042,-0.5500
1762169004.8424,-0.5500
1762169004.8912,-0.5500
1762169004.9545,-0.0700
1762169004.9925,-0.0700
1762169005.0423,-0.0700
1762169005.1031,-1.9300
1762169005.1429,-1.9300
1762169005.1926,-1.9300
1762169005.2425,-1.9300
1762169005.3041,-11.6900
1762169005.3414,-11.6900
1762169005.3916,-11.6900
1762169005.4524,-11.8000
1762169005.4925,-11.8000
1762169005.5419,-11.8000
1762169005.6001,-11.8500
1762169005.6419,-11.8500
1762169005.6927,-11.8500
1762169005.7424,-11.8500
1762169005.8043,-18.1000
1762169005.8425,-18.1000
1762169005.8929,-18.1000
1762169005.9542,-11.9100
1762169005.9925,-11.9100
1762169006.0426,-11.9100
1762169006.1024,-13.0500
1762169006.1420,-13.0500
1762169006.1919,-13.0500
1762169006.2424,-13.0500
1762169006.3048,-13.0400
1762169006.3425,-13.0400
1762169006.3923,-13.0400
1762169006.4535,-11.9200
1762169006.4926,-11.9200
1762169006.5423,-11.9200
1762169006.6014,8.0800
1762169006.6425,11.3000
1762169006.6927,11.3000
1762169006.7426,11.3000
1762169006.8024,-8.7000
1762169006.8413,-12.6200
1762169006.8920,-12.6200
1762169006.9528,-11.2000
1762169006.9917,-11.2000
1762169007.0421,-11.2000
1762169007.1024,7.9700
1762169007.1423,7.9700
1762169007.1923,7.9700
1762169007.2414,7.9700
1762169007.3046,-11.7600
1762169007.3425,-11.7600
1762169007.3928,-11.7600
1762169007.4533,-11.7500
1762169007.4927,-11.7500
1762169007.5422,-11.7500
1762169007.6004,8.2500
1762169007.6422,11.1200
1762169007.6927,11.1200
1762169007.7422,11.1200
1762169007.8031,11.4800
1762169007.8413,11.4800
1762169007.8927,11.4800
1762169007.9528,9.0000
1762169007.9921,9.0000
1762169008.0424,9.0000
1762169008.0944,9.0000
1762169008.1535,10.8900
1762169008.1924,10.8900
1762169008.2417,10.8900
1762169008.3040,11.9700
1762169008.3421,11.9700
1762169008.3925,11.9700
1762169008.4546,12.8300
1762169008.4924,12.8300
1762169008.5418,12.8300
1762169008.5928,12.8300
1762169008.6501,11.7200
1762169008.6926,11.7200
1762169008.7419,11.7200
