ros_time_s,omega_1
1762168973.8077,0.0000
1762168974.0093,0.0000
1762168974.2092,0.0000
1762168974.4109,0.0000
1762168974.6109,0.0000
1762168974.8109,0.0000
1762168975.0113,0.0000
1762168975.2108,0.0000
1762168975.4122,0.0000
1762168975.6134,0.0000
1762168975.8146,0.0000
1762168976.0152,0.0000
1762168976.2166,0.0000
1762168976.4183,0.0000
1762168976.6187,0.0000
1762168976.8195,0.0000
1762168977.0202,0.0000
1762168977.2219,0.0000
1762168977.4223,0.0000
1762168977.6234,0.0000
1762168977.8233,0.0000
1762168978.0241,0.0000
1762168978.2239,0.0000
1762168978.4255,0.0000
1762168978.6260,0.0000
1762168978.8267,2.6010
1762168979.0402,7.3710
1762168979.2503,12.0890
1762168979.4622,13.6310
1762168979.6955,11.2460
1762168979.9067,6.7020
1762168980.1082,11.0920
1762168980.3325,9.5290
1762168980.5340,8.3270
1762168980.7465,8.2030
1762168980.9596,3.5880
1762168981.1713,-1.3880
1762168981.3846,-3.0630
1762168981.5975,1.8710
1762168981.8096,6.5480
1762168982.0216,9.9510
1762168982.2336,4.9240
1762168982.4443,-0.0820
1762168982.6564,4.1020
1762168982.8683,1.1210
1762168983.0813,0.7090
1762168983.2935,-4.3380
1762168983.5053,-9.3240
1762168983.7173,-5.0780
1762168983.9291,-0.1950
1762168984.1403,4.6770
1762168984.3471,5.0580
1762168984.5585,1.6960
1762168984.7702,6.6000
1762168984.9733,10.4650
1762168985.1991,10.8250
1762168985.4314,9.4780
1762168985.6312,10.1260
1762168985.8532,7.0830
1762168986.0652,2.1690
1762168986.2774,-1.4700
1762168986.4901,0.1850
1762168986.7003,-4.8420
1762168986.9124,-9.7970
1762168987.1301,-11.4620
1762168987.3714,-13.9290
1762168987.5829,-9.3340
1762168987.7968,-10.3310
1762168988.0060,-10.6700
1762168988.2441,-12.5830
1762168988.4432,-12.0790
1762168988.6722,-9.4060
1762168988.8839,-11.7400
1762168989.0959,-11.4830
1762168989.2973,-10.1260
1762168989.5220,-7.4940
1762168989.7352,-9.8580
1762168989.9471,-7.5870
1762168990.1592,-2.6010
1762168990.3702,2.4050
1762168990.5821,7.3500
1762168990.7844,11.5650
1762168990.9836,11.5650
1762168991.2129,12.3970
1762168991.4377,12.9830
1762168991.6720,15.8210
1762168991.8841,15.3680
1762168992.0960,17.6200
1762168992.3080,13.3330
1762168992.5388,11.0820
1762168992.7701,9.8170
1762168992.9716,13.0550
1762168993.2049,11.1430
1762168993.4398,11.2360
1762168993.6407,13.0450
1762168993.8740,10.4240
1762168994.0848,8.7580
1762168994.2868,11.7810
1762168994.4849,11.4310
1762168994.7210,10.2700
1762168994.9328,5.2430
1762168995.1440,0.2570
1762168995.3563,-3.3820
1762168995.5554,-1.0590
1762168995.7689,-4.7600
1762168995.9804,-0.5040
1762168996.1945,4.3790
1762168996.4037,9.2110
1762168996.6158,6.8050
1762168996.8279,1.7480
1762168997.0425,-3.2690
1762168997.2544,-8.2440
1762168997.4647,-7.9570
1762168997.6767,-3.0120
1762168997.8903,1.9120
1762168998.1008,6.7950
1762168998.3125,2.4050
1762168998.5246,-2.6420
1762168998.7384,-7.6170
1762168998.9475,-7.3300
1762168999.1585,-2.3540
1762168999.3708,2.5600
1762168999.5826,7.4530
1762168999.7997,11.6470
1762169000.0339,14.1250
1762169000.2482,15.7380
1762169000.4484,11.4210
1762169000.6485,13.3840
1762169000.8523,18.1440
1762169001.0748,20.6320
1762169001.2866,20.1590
1762169001.4975,19.7990
1762169001.7334,15.2240
1762169001.9463,13.8980
1762169002.1867,11.2870
1762169002.3984,12.2540
1762169002.6094,8.5430
1762169002.8205,9.1800
1762169003.0325,4.1630
1762169003.2462,-0.8640
1762169003.4564,-5.8900
1762169003.6685,-10.8350
1762169003.8709,-12.1300
1762169004.0817,-13.7540
1762169004.2936,-14.7210
1762169004.4932,-12.0990
1762169004.7306,-13.7130
1762169004.9316,-13.4250
1762169005.1439,-8.4500
1762169005.3555,-3.5260
1762169005.5665,-7.9150
1762169005.7698,-12.2430
1762169005.9773,-14.9160
1762169006.1805,-13.3020
1762169006.3812,-13.3020
1762169006.5828,-11.6570
1762169006.8153,-8.7170
1762169007.0275,-11.0610
1762169007.2318,-9.8790
1762169007.4442,-8.2650
1762169007.6665,-11.9760
1762169007.8774,-7.0310
1762169008.0905,-2.1280
1762169008.3020,2.8060
1762169008.5122,7.7000
1762169008.7245,12.5310
1762169008.9582,13.4970
1762169009.1971,16.6740
1762169009.4081,17.8870
1762169009.6213,12.7880
1762169009.8332,13.1170
1762169010.0361,11.4620
1762169010.2437,12.1300
1762169010.4436,11.4520
1762169010.6695,7.7410
1762169010.8803,10.0330
1762169011.0931,11.9970
1762169011.3232,8.6250
1762169011.5462,10.8450
1762169011.7573,6.4350
1762169011.9691,7.3400
1762169012.1823,2.2510
1762169012.3942,3.1760
1762169012.6041,-1.8400
1762169012.8163,-3.5360
1762169013.0472,-0.0510
1762169013.2590,-4.9140
1762169013.4710,-6.6410
1762169013.6972,-10.2280
1762169013.9301,-10.5680
1762169014.1440,-8.9230
1762169014.3549,-10.0540
1762169014.5663,-5.7570
1762169014.7772,-2.1480
1762169014.9920,-7.1650
1762169015.2022,-12.0690
1762169015.4129,-15.5430
1762169015.6144,-10.2590
1762169015.8146,-12.1200
1762169016.0220,-9.4570
1762169016.2352,-4.5230
1762169016.4469,-8.9230
1762169016.6483,-12.1920
1762169016.8469,-13.0860
1762169017.0867,-8.1930
1762169017.2995,-9.5190
1762169017.5099,-4.5230
1762169017.7211,0.4210
1762169017.9318,5.2940
1762169018.1459,6.8670
1762169018.3549,1.7580
1762169018.5669,3.9780
1762169018.7789,0.9660
1762169018.9937,5.8900
1762169019.2048,5.4280
1762169019.4168,9.6320
1762169019.6280,6.5790
1762169019.8405,8.9540
1762169020.0629,6.0750
1762169020.2749,10.3000
1762169020.4875,9.9100
1762169020.6969,4.8830
1762169020.9089,-0.1640
1762169021.1218,-3.8140
1762169021.3333,-4.2150
1762169021.5450,-9.1700
1762169021.7566,-12.8500
1762169021.9679,-7.8850
1762169022.1799,-8.2550
1762169022.3923,-6.0750
1762169022.6028,-2.4880
1762169022.8149,-7.5560
1762169023.0263,-7.1440
1762169023.2379,-7.5760
1762169023.4475,-3.2900
1762169023.6597,1.6650
1762169023.8720,6.5380
1762169024.0827,11.3800
1762169024.2937,12.9220
1762169024.5056,13.1790
1762169024.7180,17.9180
1762169024.9287,13.4670
1762169025.1414,9.7140
1762169025.3533,14.6180
1762169025.5665,10.2180
1762169025.7942,10.4240
1762169026.0036,12.0580
1762169026.2168,7.0210
1762169026.4277,1.9630
1762169026.6411,0.9050
1762169026.8521,-4.1630
1762169027.0626,-9.2110
1762169027.2748,-14.2170
1762169027.4884,-19.2440
1762169027.6982,-21.7730
1762169027.8976,-23.2530
1762169028.1089,-20.2620
1762169028.3307,-19.9630
1762169028.5440,-18.2880
1762169028.7545,-16.0470
1762169028.9656,-11.1130
1762169029.1768,-6.1780
1762169029.3877,-6.5790
1762169029.5940,-9.5290
1762169029.8026,-13.1990
1762169030.0044,-11.9250
1762169030.2179,-15.5950
1762169030.4396,-17.2800
1762169030.6392,-11.9550
1762169030.8401,-11.9550
1762169031.0428,-11.9550
1762169031.2475,-11.9550
1762169031.4584,-7.2880
1762169031.6697,-2.2920
1762169031.8815,2.6420
1762169032.0934,7.5350
1762169032.3064,12.4590
1762169032.5186,17.3220
1762169032.7436,14.6690
1762169032.9484,14.6380
1762169033.1506,16.2830
1762169033.3633,19.0490
1762169033.5748,16.6230
1762169033.7774,11.3800
1762169033.9772,11.6880
1762169034.1784,11.4520
1762169034.4114,9.1490
1762169034.6226,6.0960
1762169034.8343,7.7200
1762169035.0453,2.6930
1762169035.2574,-2.3850
1762169035.4705,-7.3810
1762169035.6940,-12.4900
1762169035.9154,-8.0390
1762169036.1382,-12.5520
1762169036.3390,-11.7810
1762169036.5665,-8.1520
1762169036.7786,-10.4850
1762169036.9929,-10.2900
1762169037.2021,-5.3250
1762169037.4142,-7.6480
1762169037.6263,-3.3510
1762169037.8402,-4.4100
1762169038.0521,0.5860
1762169038.2624,0.2360
1762169038.4747,-3.4750
1762169038.6868,1.4080
1762169038.8963,6.2400
1762169039.1082,11.0100
1762169039.3195,15.7280
1762169039.5334,20.3030
1762169039.7451,19.7270
1762169039.9782,19.6040
1762169040.2132,19.1820
1762169040.4252,22.2350
1762169040.6398,22.1840
1762169040.8489,20.4880
1762169041.0610,22.1020
1762169041.2938,17.0950
1762169041.5230,13.2610
1762169041.7459,9.9820
1762169041.9582,13.2510
1762169042.1887,11.0200
1762169042.3959,11.6880
1762169042.5961,13.7030
1762169042.8070,8.9540
1762169043.0191,5.2740
1762169043.2310,2.9500
1762169043.4430,-2.0870
1762169043.6560,-1.1920
1762169043.8670,-2.8890
1762169044.0800,-3.2280
1762169044.2936,-0.9770
1762169044.5029,3.9060
1762169044.7160,8.7890
1762169044.9500,11.1020
1762169045.1621,6.4040
1762169045.3647,3.9060
1762169045.5731,6.5380
1762169045.7872,4.1740
1762169045.9989,7.1440
1762169046.2101,2.1480
1762169046.4223,2.5080
1762169046.6339,7.4120
1762169046.8448,12.2020
1762169047.0558,13.6820
1762169047.2949,11.3800
1762169047.5060,6.8360
1762169047.7192,1.8400
1762169047.9302,-3.0530
1762169048.1424,-8.0180
1762169048.3550,-12.9730
1762169048.5671,-17.9490
1762169048.7780,-15.6770
1762169048.9933,-12.1300
1762169049.2019,-17.1980
1762169049.4149,-22.3380
1762169049.6449,-22.0500
1762169049.8569,-17.0750
1762169050.0682,-15.5120
1762169050.2800,-18.5860
1762169050.4932,-16.3140
1762169050.6941,-17.3010
1762169050.8941,-20.8580
1762169051.1168,-17.3320
1762169051.3290,-21.6600
1762169051.5302,-24.0650
1762169051.7679,-20.4050
1762169051.9790,-15.4510
1762169052.1812,-12.1300
1762169052.4159,-15.8410
1762169052.6266,-11.5750
1762169052.8407,-6.7440
1762169053.0507,-1.8400
1762169053.2627,-4.2560
1762169053.4751,0.0310
1762169053.6896,4.9240
1762169053.9012,9.8280
1762169054.1022,11.4520
1762169054.3382,9.3850
1762169054.5503,11.6470
1762169054.7608,16.4170
1762169054.9730,19.7890
1762169055.1837,14.7100
1762169055.3955,15.0500
1762169055.6337,10.7630
1762169055.8738,12.1100
1762169056.0943,15.5330
1762169056.3066,10.7320
1762169056.5444,13.2100
1762169056.7556,8.5430
1762169056.9678,3.5470
1762169057.1797,-1.3980
1762169057.3917,-6.3220
1762169057.6047,-11.2150
1762169057.8074,-14.5360
1762169058.0229,-11.8530
1762169058.2425,-11.6680
1762169058.4546,-16.0780
1762169058.6666,-21.0330
1762169058.8775,-20.7550
1762169059.0913,-17.0540
1762169059.3006,-20.7650
1762169059.5123,-15.7800
1762169059.7234,-10.8450
1762169059.9355,-5.9110
1762169060.1473,-6.9290
1762169060.3595,-5.2840
1762169060.5717,-3.0740
1762169060.7835,1.8200
1762169060.9989,6.7330
1762169061.2095,11.4620
1762169061.4216,16.1600
1762169061.8654,23.9310
1762169062.0774,28.8140
1762169062.2921,24.4870
1762169062.5022,22.8320
1762169062.7143,20.5190
1762169062.9255,15.5740
1762169063.1266,12.9940
1762169063.3634,10.6810
1762169063.5902,13.8980
1762169063.8020,18.8020
1762169064.0112,18.4520
1762169064.2221,13.4150
1762169064.4358,14.3810
1762169064.6367,11.0300
1762169064.8683,11.6780
1762169065.0813,12.2950
1762169065.2814,13.5800
1762169065.4959,18.4930
1762169065.7061,18.0930
1762169065.9174,14.3810
1762169066.1285,19.2850
1762169066.3501,18.2360
1762169066.5613,23.1190
1762169066.7731,26.6450
1762169066.9881,21.5770
1762169067.1972,21.8860
1762169067.4102,25.4630
1762169067.6222,23.7570
1762169067.8332,28.6090
1762169068.0440,33.3890
1762169068.2673,32.9980
1762169068.4785,28.0230
1762169068.6925,23.0580
1762169068.9011,18.1030
1762169069.1124,13.1270
1762169069.3243,8.0900
1762169069.5371,3.0740
1762169069.7490,-1.8710
1762169069.9600,-3.5880
1762169070.1721,1.3670
1762169070.3830,6.2300
1762169070.5850,9.4270
1762169070.8150,5.7460
1762169071.0272,6.0140
1762169071.2410,7.5760
1762169071.4537,2.4880
1762169071.6623,-2.5390
1762169071.8754,-7.6280
1762169072.0886,-9.3030
1762169072.2972,-8.9130
1762169072.5093,-4.3890
1762169072.7222,-7.4940
1762169072.9331,-2.6830
1762169073.1459,2.1590
1762169073.3581,5.5920
1762169073.5692,0.5650
1762169073.7822,-4.3890
1762169073.9941,-2.0350
1762169074.2062,2.8890
1762169074.4182,7.7720
1762169074.6310,12.6540
1762169074.8440,17.5680
1762169075.0560,20.4770
1762169075.2681,25.2470
1762169075.4801,22.8730
1762169075.6919,27.1280
1762169075.9029,28.7220
1762169076.1141,27.0150
1762169076.3263,24.7020
1762169076.5386,21.0330
1762169076.7391,25.2880
1762169076.9631,21.5770
1762169077.1741,23.8700
1762169077.3865,20.8270
1762169077.6231,18.4930
1762169077.8420,18.4730
1762169078.0508,13.4460
1762169078.2641,8.4810
1762169078.4761,3.4850
1762169078.6887,-1.5110
1762169078.9017,-6.4560
1762169079.1128,-11.3900
1762169079.3249,-16.3550
1762169079.5368,-21.3310
1762169079.7494,-26.2650
1762169079.9601,-31.2710
1762169080.1711,-36.2160
1762169080.6110,-37.3470
1762169080.8118,-37.3470
1762169081.0113,-37.3470
1762169081.2116,-36.4010
1762169081.4103,-36.1030
1762169081.6126,-36.7610
1762169081.8297,-37.0590
1762169082.0411,-35.7220
1762169082.2509,-30.7260
1762169082.4620,-30.9730
1762169082.6742,-28.7120
1762169082.8864,-23.6640
1762169083.1078,-23.8900
1762169083.3201,-28.9480
1762169083.5311,-24.6000
1762169083.7444,-19.6340
1762169083.9451,-15.4510
1762169084.1671,-17.8150
1762169084.3781,-12.9220
1762169084.5903,-7.9870
1762169084.7995,-3.0530
1762169085.0106,1.7990
1762169085.2229,6.5380
1762169085.4340,11.2050
1762169085.6445,15.8310
1762169085.8568,14.6800
1762169086.0748,13.1990
1762169086.2883,13.4360
1762169086.4976,18.1750
1762169086.7096,22.8520
1762169086.9425,27.8170
1762169087.1476,29.6370
1762169087.3589,32.7210
1762169087.5696,27.7350
1762169087.7814,22.7290
1762169087.9935,24.9800
1762169088.2045,22.6160
1762169088.4165,17.5580
1762169088.6284,12.5410
1762169088.8421,12.8810
1762169089.0536,17.7330
1762169089.2655,22.5230
1762169089.4955,19.9740
1762169089.7065,24.4560
1762169089.9186,26.0800
1762169090.1304,26.3580
1762169090.3447,24.0450
1762169090.5546,20.4360
1762169090.7667,22.0610
1762169090.9794,17.0750
1762169091.1944,19.3770
1762169091.4035,20.9910
1762169091.6145,15.9540
1762169091.8263,18.2570
1762169092.0403,23.0780
1762169092.2511,24.6200
1762169092.4902,22.8210
1762169092.7003,26.4500
1762169092.9253,22.4920
1762169093.1374,17.5270
1762169093.3494,12.5830
1762169093.5616,7.7100
1762169093.7734,2.7960
1762169093.9854,-2.1180
1762169094.1982,-7.0620
1762169094.4115,-11.9860
1762169094.6234,-11.6260
1762169094.8354,-6.7330
1762169095.0489,-11.0920
1762169095.2591,-16.0880
1762169095.4723,-13.7540
1762169095.6842,-14.7520
1762169095.8872,-11.4720
1762169096.1164,-15.1220
1762169096.3378,-18.5550
1762169096.5489,-13.5180
1762169096.7597,-13.6720
1762169096.9937,-11.4110
1762169097.1992,-9.7450
1762169097.4223,-11.8420
1762169097.6431,-16.8590
1762169097.8503,-18.5650
1762169098.0613,-13.5590
1762169098.2732,-8.6150
1762169098.4864,-3.7110
1762169098.6996,1.1310
1762169098.9081,5.9520
1762169099.1201,10.7840
1762169099.3311,15.5120
1762169099.5437,20.1280
1762169099.7531,24.7440
1762169099.9652,20.3750
1762169100.1774,18.6780
1762169100.3893,23.6440
1762169100.6012,21.2480
1762169100.8124,24.2910
1762169101.0252,19.2750
1762169101.2370,14.4020
1762169101.4481,15.3380
1762169101.6501,10.0640
1762169101.8760,7.4010
1762169102.0892,5.6230
1762169102.3000,10.5270
1762169102.5120,14.1550
1762169102.7131,10.4340
1762169102.9480,10.7220
1762169103.1600,15.2960
1762169103.3710,20.0560
1762169103.5841,24.9180
1762169103.7958,22.5950
1762169104.0071,17.6090
1762169104.2180,12.6650
1762169104.4300,7.7510
1762169104.6426,2.7860
1762169104.8416,-0.5650
1762169105.0428,-0.5650
1762169105.2425,-0.5650
1762169105.4436,-0.5650
1762169105.6434,-0.5650
1762169105.8418,-0.5650
1762169106.0420,-0.5650
1762169106.2430,-0.5650
1762169106.4432,-0.5650
1762169106.6437,-0.5650
1762169106.8466,-0.5650
1762169107.0471,-0.5650
1762169107.2480,-0.5650
1762169107.4487,-0.5650
1762169107.6495,-0.5650
1762169107.8501,-0.5650
1762169108.0509,-0.5650
1762169108.2512,-0.5650
1762169108.4512,-0.5650
1762169108.6520,-0.5650
1762169108.8524,-0.5650
1762169109.0522,-0.5650
1762169109.2531,-0.5650
1762169109.4536,-0.5650
1762169109.6543,-0.5650
1762169109.8547,-0.5650
1762169110.0551,-0.5650
1762169110.2561,-0.5650
1762169110.4551,-0.5650
1762169110.6550,-0.5650
1762169110.8558,-0.5650
1762169111.0559,-0.5650
1762169111.2558,-0.5650
1762169111.4563,-0.5650
1762169111.6570,-0.5650
1762169111.8563,-0.5650
1762169112.0568,-0.5650
1762169112.2562,-0.5650
1762169112.4569,-0.5650
1762169112.6561,-0.5650
1762169112.8566,-0.5650
1762169113.0561,-0.5650
1762169113.2564,-0.5650
1762169113.4570,-0.5650
1762169113.6591,-0.5650
1762169113.8595,-0.5650
1762169114.0595,-0.5650
1762169114.2612,-0.5650
1762169114.4617,-0.5650
1762169114.6613,-0.5650
1762169114.8622,-0.5650
1762169115.0627,-0.5650
1762169115.2627,-0.5650
1762169115.4630,-0.5650
1762169115.6632,-0.5650
1762169115.8633,-0.5650
1762169116.0636,-0.5650
1762169116.2643,-0.5650
1762169116.4650,-0.5650
1762169116.6661,-0.5650
1762169116.8667,-0.5650
1762169117.0671,-0.5650
1762169117.2687,-0.5650
1762169117.4698,-0.5650
1762169117.6698,-0.5650
1762169117.8702,-0.5650
1762169118.0706,-0.5650
1762169118.2704,-0.5650
1762169118.4698,-0.5650
1762169118.6711,-0.5650
1762169118.8731,-0.5650
1762169119.0736,-0.5650
1762169119.2746,-0.5650
1762169119.4750,-0.5650
1762169119.6762,-0.5650
1762169119.8773,-0.5650
1762169120.0788,-0.5650
1762169120.2800,-0.5650
1762169120.4794,-0.5650
1762169120.6797,-0.5650
1762169120.8800,-0.5650
1762169121.0813,-0.5650
1762169121.2813,-0.5650
1762169121.4828,-0.5650
1762169121.6836,-0.5650
1762169121.8840,-0.5650
1762169122.0856,-0.5650
1762169122.2858,-0.5650
1762169122.4875,-0.5650
1762169122.6873,-0.5650
1762169122.8891,-0.5650
1762169123.0895,-0.5650
1762169123.2903,-0.5650
1762169123.4918,-0.5650
1762169123.6917,-0.5650
1762169123.9203,-2.2200
1762169124.1317,-7.1960
1762169124.3435,-12.2020
1762169124.5555,-17.2190
1762169124.7576,-20.5600
1762169124.9571,-20.5600
1762169125.1583,-20.5600
1762169125.3588,-20.5600
1762169125.5578,-20.5600
1762169125.7586,-20.5600
1762169125.9577,-20.5600
1762169126.1582,-20.5600
1762169126.3587,-20.5600
1762169126.5594,-20.5600
1762169126.7589,-20.5600
1762169126.9594,-20.5600
