ros_time_s,Error_Distancia
1762169643.7533,0.1495
1762169643.7933,0.1495
1762169643.8426,0.1495
1762169643.8937,0.1495
1762169643.9545,0.1295
1762169643.9929,0.1295
1762169644.0424,0.1295
1762169644.0932,0.1295
1762169644.1554,0.1576
1762169644.1930,0.1576
1762169644.2437,0.1576
1762169644.3049,0.1370
1762169644.3429,0.1370
1762169644.3929,0.1370
1762169644.4542,0.1362
1762169644.4929,0.1362
1762169644.5415,0.1362
1762169644.5959,0.1358
1762169644.6415,0.1358
1762169644.6915,0.1358
1762169644.7416,0.1358
1762169644.7972,0.1477
1762169644.8429,0.1477
1762169644.8920,0.1477
1762169644.9550,0.1281
1762169644.9931,0.1281
1762169645.0432,0.1281
1762169645.0932,0.1281
1762169645.1507,0.1542
1762169645.1931,0.1542
1762169645.2432,0.1542
1762169645.3262,0.1511
1762169645.3419,0.1511
1762169645.3933,0.1511
1762169645.4518,0.1604
1762169645.4928,0.1604
1762169645.5432,0.1604
1762169645.6022,0.1587
1762169645.6427,0.1587
1762169645.6928,0.1587
1762169645.7421,0.1587
1762169645.8035,0.1327
1762169645.8429,0.1327
1762169645.8929,0.1327
1762169645.9554,0.1273
1762169645.9929,0.1273
1762169646.0426,0.1273
1762169646.1015,0.1321
1762169646.1428,0.1321
1762169646.1922,0.1321
1762169646.2424,0.1321
1762169646.3034,0.1051
1762169646.3428,0.1051
1762169646.3929,0.1051
1762169646.4554,0.1029
1762169646.4929,0.1029
1762169646.5425,0.1029
1762169646.5927,0.1029
1762169646.6464,0.1133
1762169646.6915,0.1133
1762169646.7414,0.1133
1762169646.7962,0.0911
1762169646.8416,0.0911
1762169646.8916,0.0911
1762169646.9459,0.0751
1762169646.9915,0.0751
1762169647.0430,0.0751
1762169647.0927,0.0751
1762169647.1539,0.0719
1762169647.1922,0.0719
1762169647.2426,0.0719
1762169647.3042,0.0753
1762169647.3421,0.0753
1762169647.3922,0.0753
1762169647.4523,0.0647
1762169647.4931,0.0647
1762169647.5426,0.0647
1762169647.6017,0.0445
1762169647.6427,0.0445
1762169647.6928,0.0445
1762169647.7422,0.0445
1762169647.8054,0.0475
1762169647.8423,0.0475
1762169647.8924,0.0475
1762169647.9567,0.0362
1762169647.9929,0.0362
1762169648.0430,0.0362
1762169648.0926,0.0362
1762169648.1553,-0.0008
1762169648.1930,-0.0008
1762169648.2431,-0.0008
1762169648.3036,-0.0066
1762169648.3438,-0.0066
1762169648.3927,-0.0066
1762169648.4536,-0.0020
1762169648.4928,-0.0020
1762169648.5434,-0.0020
1762169648.6030,-0.0110
1762169648.6432,-0.0110
1762169648.6929,-0.0110
1762169648.7417,-0.0110
1762169648.8017,0.0047
1762169648.8433,0.0047
1762169648.8928,0.0047
1762169648.9546,-0.0119
1762169648.9925,-0.0119
1762169649.0431,-0.0119
1762169649.1036,-0.0001
1762169649.1430,-0.0001
1762169649.1921,-0.0001
1762169649.2429,-0.0001
1762169649.3057,-0.0288
1762169649.3423,-0.0288
1762169649.3929,-0.0288
