ros_time_s,Imu_Error_yaw
1762169640.0148,0.0000
1762169640.3192,0.0000
1762169640.5782,0.0000
1762169640.8149,0.0000
1762169641.0455,0.0000
1762169641.2491,0.0000
1762169641.4551,0.0000
1762169641.6346,0.0000
1762169641.8390,0.0000
1762169642.0184,0.0000
1762169642.1994,0.0000
1762169642.3782,0.0000
1762169642.5574,0.0000
1762169642.7362,0.0000
1762169642.8878,0.0000
1762169643.0674,0.0000
1762169643.2472,0.0000
1762169643.4016,0.0000
1762169643.5808,0.0000
1762169643.7363,0.0000
1762169643.9147,0.0000
1762169644.0939,0.0000
1762169644.2551,0.0000
1762169644.4080,0.0011
1762169644.5883,0.0000
1762169644.7419,0.0000
1762169644.9222,0.0000
1762169645.0952,-0.0011
1762169645.2573,-0.0054
1762169645.4355,-0.0120
1762169645.5890,-0.0164
1762169645.7681,-0.0164
1762169645.9230,-0.0229
1762169646.0864,-0.0360
1762169646.2652,-0.0513
1762169646.4197,-0.0676
1762169646.5936,-0.0883
1762169646.7718,-0.0883
1762169646.9238,-0.1102
1762169647.1060,-0.1320
1762169647.2612,-0.1516
1762169647.4338,-0.1691
1762169647.5886,-0.1876
1762169647.7551,-0.1876
1762169647.9398,-0.2018
1762169648.0941,-0.2160
1762169648.2518,-0.2334
1762169648.4301,-0.2498
1762169648.5850,-0.2498
1762169648.7516,-0.2629
1762169648.9304,-0.2738
1762169649.0841,-0.2793
1762169649.2523,-0.2836
1762169649.4160,-0.2836
1762169649.5939,-0.2880
1762169649.7660,-0.2945
1762169649.9207,-0.2945
1762169650.0944,-0.2945
1762169650.2495,-0.2934
1762169650.4278,-0.2880
1762169650.5814,-0.2836
1762169650.7591,-0.2836
1762169650.9136,-0.2782
1762169651.0923,-0.2738
1762169651.2442,-0.2683
1762169651.4087,-0.2629
1762169651.5838,-0.2629
1762169651.7387,-0.2574
1762169651.9190,-0.2487
1762169652.0746,-0.2433
1762169652.2588,-0.2433
1762169652.4138,-0.2334
1762169652.5919,-0.2214
1762169652.7455,-0.2084
1762169652.9247,-0.1985
1762169653.0777,-0.1985
1762169653.2359,-0.1909
1762169653.4153,-0.1844
1762169653.5701,-0.1767
1762169653.7479,-0.1680
1762169653.9021,-0.1604
1762169654.0805,-0.1604
1762169654.2367,-0.1495
1762169654.4095,-0.1418
1762169654.5689,-0.1374
1762169654.7354,-0.1374
1762169654.9027,-0.1309
1762169655.0808,-0.1244
1762169655.2350,-0.1145
1762169655.4077,-0.1145
1762169655.5862,-0.1036
1762169655.7392,-0.0938
1762169655.9190,-0.0796
1762169656.0731,-0.0796
1762169656.2506,-0.0709
1762169656.4060,-0.0655
1762169656.5755,-0.0578
1762169656.7547,-0.0513
1762169656.9088,-0.0513
1762169657.0876,-0.0458
1762169657.2409,-0.0415
1762169657.4208,-0.0360
1762169657.5751,-0.0316
1762169657.7531,-0.0316
1762169657.9082,-0.0284
1762169658.0855,-0.0218
1762169658.2396,-0.0175
1762169658.4145,-0.0153
1762169658.5933,-0.0153
1762169658.7407,-0.0153
1762169658.9090,-0.0120
1762169659.0867,-0.0120
1762169659.2431,-0.0131
1762169659.4262,-0.0131
1762169659.5807,-0.0120
1762169659.7604,-0.0185
1762169659.9147,-0.0218
1762169660.0693,-0.0218
1762169660.2574,-0.0273
1762169660.4111,-0.0316
1762169660.5901,-0.0371
1762169660.7460,-0.0371
1762169660.9004,-0.0436
1762169661.0759,-0.0502
1762169661.2387,-0.0578
1762169661.4190,-0.0578
1762169661.5733,-0.0578
1762169661.7520,-0.0600
1762169661.9059,-0.0655
1762169662.0766,-0.0655
1762169662.2321,-0.0655
1762169662.4153,-0.0665
1762169662.5708,-0.0687
1762169662.7243,-0.0698
1762169662.9132,-0.0709
1762169663.0771,-0.0709
1762169663.2304,-0.0709
1762169663.4102,-0.0655
1762169663.5618,-0.0611
1762169663.7402,-0.0611
1762169663.8968,-0.0545
1762169664.0529,-0.0480
1762169664.2326,-0.0447
1762169664.4044,-0.0436
1762169664.5709,-0.0436
1762169664.7240,-0.0393
1762169664.8870,-0.0360
1762169665.0656,-0.0371
1762169665.2183,-0.0371
1762169665.3973,-0.0415
1762169665.5517,-0.0447
1762169665.7300,-0.0469
1762169665.8901,-0.0469
1762169666.0585,-0.0513
1762169666.2159,-0.0535
1762169666.3935,-0.0578
1762169666.5478,-0.0611
1762169666.7278,-0.0611
1762169666.8821,-0.0644
1762169667.0524,-0.0698
1762169667.2102,-0.0785
1762169667.3854,-0.0785
1762169667.5449,-0.0883
1762169667.7213,-0.0971
1762169667.8741,-0.1036
1762169668.0456,-0.1069
1762169668.2064,-0.1069
1762169668.3811,-0.1069
1762169668.5523,-0.1134
1762169668.7033,-0.1178
1762169668.8819,-0.1178
1762169669.0372,-0.1244
1762169669.2095,-0.1309
1762169669.3889,-0.1320
1762169669.5430,-0.1287
1762169669.7063,-0.1287
1762169669.8773,-0.1276
1762169670.0374,-0.1211
1762169670.2112,-0.1080
1762169670.3725,-0.1080
1762169670.5378,-0.0971
1762169670.6955,-0.0862
1762169670.8778,-0.0796
1762169671.0327,-0.0796
1762169671.2028,-0.0742
1762169671.3722,-0.0687
1762169671.5311,-0.0655
1762169671.7061,-0.0589
1762169671.8654,-0.0589
1762169672.0296,-0.0524
1762169672.2060,-0.0469
1762169672.3598,-0.0415
1762169672.5245,-0.0371
1762169672.6915,-0.0371
1762169672.8568,-0.0371
1762169673.0218,-0.0338
1762169673.1900,-0.0294
1762169673.3442,-0.0294
1762169673.5214,-0.0262
1762169673.6858,-0.0229
1762169673.8390,-0.0207
1762169674.0192,-0.0196
1762169674.1808,-0.0196
1762169674.3473,-0.0218
1762169674.5157,-0.0262
1762169674.6676,-0.0294
1762169674.8484,-0.0294
1762169675.0019,-0.0316
1762169675.1803,-0.0371
1762169675.3337,-0.0415
1762169675.5116,-0.0491
1762169675.6772,-0.0491
1762169675.8336,-0.0545
1762169675.9970,-0.0622
1762169676.1732,-0.0698
1762169676.3332,-0.0720
1762169676.4881,-0.0720
1762169676.6717,-0.0731
1762169676.8289,-0.0742
1762169676.9940,-0.0785
1762169677.1653,-0.0829
1762169677.3308,-0.0829
1762169677.4855,-0.0818
1762169677.6692,-0.0883
1762169677.8287,-0.0883
1762169677.9955,-0.0883
1762169678.1597,-0.0883
1762169678.3262,-0.0862
1762169678.4978,-0.0862
1762169678.6539,-0.0851
1762169678.8244,-0.0851
1762169678.9914,-0.0818
1762169679.1620,-0.0764
1762169679.3103,-0.0731
1762169679.4961,-0.0731
1762169679.6576,-0.0753
1762169679.8268,-0.0742
1762169679.9871,-0.0720
1762169680.1539,-0.0709
1762169680.3224,-0.0709
1762169680.4831,-0.0698
1762169680.6546,-0.0676
1762169680.8082,-0.0676
1762169680.9623,-0.0676
1762169681.1447,-0.0622
1762169681.2981,-0.0589
1762169681.4748,-0.0524
1762169681.6438,-0.0524
1762169681.8071,-0.0447
1762169681.9621,-0.0349
1762169682.1399,-0.0284
1762169682.3057,-0.0240
1762169682.4526,-0.0240
