ros_time_s,Lecturas_ValidasRojo
1762169640.0162,0.0000
1762169640.3196,0.0000
1762169640.5801,0.0000
1762169640.8165,0.0000
1762169641.0471,0.0000
1762169641.2505,0.0000
1762169641.4568,0.0000
1762169641.6362,0.0000
1762169641.8405,0.0000
1762169642.0199,0.0000
1762169642.2018,0.0000
1762169642.3797,0.0000
1762169642.5591,0.0000
1762169642.7378,0.0000
1762169642.8882,0.0000
1762169643.0678,0.0000
1762169643.2475,0.0000
1762169643.4020,0.0000
1762169643.5815,0.0000
1762169643.7376,0.0000
1762169643.9161,0.0000
1762169644.0953,0.0000
1762169644.2564,0.0000
1762169644.4093,0.0000
1762169644.5887,0.0000
1762169644.7428,0.0000
1762169644.9236,0.0000
1762169645.0964,0.0000
1762169645.2587,0.0000
1762169645.4371,0.0000
1762169645.5904,0.0000
1762169645.7696,0.0000
1762169645.9243,0.0000
1762169646.0877,0.0000
1762169646.2667,0.0000
1762169646.4209,0.0000
1762169646.5952,0.0000
1762169646.7725,0.0000
1762169646.9243,0.0000
1762169647.1073,0.0000
1762169647.2632,0.0000
1762169647.4354,0.0000
1762169647.5895,1.0000
1762169647.7565,0.0000
1762169647.9411,0.0000
1762169648.0953,1.0000
1762169648.2530,1.0000
1762169648.4310,2.0000
1762169648.5858,2.0000
1762169648.7526,1.0000
1762169648.9312,2.0000
1762169649.0850,2.0000
1762169649.2534,2.0000
1762169649.4183,3.0000
1762169649.5953,3.0000
1762169649.7673,3.0000
1762169649.9222,3.0000
1762169650.0956,3.0000
1762169650.2507,3.0000
1762169650.4289,3.0000
1762169650.5825,4.0000
1762169650.7606,4.0000
1762169650.9150,4.0000
1762169651.0947,4.0000
1762169651.2451,3.0000
1762169651.4099,4.0000
1762169651.5847,3.0000
1762169651.7398,3.0000
1762169651.9209,5.0000
1762169652.0761,3.0000
1762169652.2603,4.0000
1762169652.4156,4.0000
1762169652.5936,4.0000
1762169652.7466,3.0000
1762169652.9259,4.0000
1762169653.0787,4.0000
1762169653.2363,3.0000
1762169653.4172,3.0000
1762169653.5714,4.0000
1762169653.7491,3.0000
1762169653.9030,3.0000
1762169654.0814,2.0000
1762169654.2382,2.0000
1762169654.4110,2.0000
1762169654.5704,2.0000
1762169654.7367,1.0000
1762169654.9039,1.0000
1762169655.0818,1.0000
1762169655.2361,1.0000
1762169655.4090,1.0000
1762169655.5876,1.0000
1762169655.7400,1.0000
1762169655.9205,0.0000
1762169656.0747,0.0000
1762169656.2517,0.0000
1762169656.4073,0.0000
1762169656.5767,0.0000
1762169656.7562,0.0000
1762169656.9101,0.0000
1762169657.0890,0.0000
1762169657.2416,0.0000
1762169657.4219,0.0000
1762169657.5764,0.0000
1762169657.7546,0.0000
1762169657.9094,0.0000
1762169658.0869,0.0000
1762169658.2407,0.0000
1762169658.4171,0.0000
1762169658.5946,0.0000
1762169658.7416,0.0000
1762169658.9104,0.0000
1762169659.0880,0.0000
1762169659.2445,0.0000
1762169659.4271,0.0000
1762169659.5816,0.0000
1762169659.7621,0.0000
1762169659.9165,0.0000
1762169660.0707,0.0000
1762169660.2590,0.0000
1762169660.4125,0.0000
1762169660.5917,0.0000
1762169660.7472,0.0000
1762169660.9016,0.0000
1762169661.0772,0.0000
1762169661.2396,0.0000
1762169661.4204,0.0000
1762169661.5752,0.0000
1762169661.7539,0.0000
1762169661.9073,0.0000
1762169662.0779,0.0000
1762169662.2336,0.0000
1762169662.4173,0.0000
1762169662.5723,0.0000
