ros_time_s,Lecturas_ValidasVerde
1762169640.0148,39.0000
1762169640.3192,36.0000
1762169640.5782,32.0000
1762169640.8149,31.0000
1762169641.0455,29.0000
1762169641.2491,25.0000
1762169641.4551,28.0000
1762169641.6346,27.0000
1762169641.8390,25.0000
1762169642.0184,25.0000
1762169642.1994,25.0000
1762169642.3782,25.0000
1762169642.5574,24.0000
1762169642.7362,25.0000
1762169642.8878,25.0000
1762169643.0674,26.0000
1762169643.2472,22.0000
1762169643.4016,22.0000
1762169643.5808,22.0000
1762169643.7363,24.0000
1762169643.9147,22.0000
1762169644.0939,23.0000
1762169644.2551,23.0000
1762169644.4080,22.0000
1762169644.5883,23.0000
1762169644.7419,23.0000
1762169644.9222,24.0000
1762169645.0952,23.0000
1762169645.2573,24.0000
1762169645.4355,23.0000
1762169645.5890,25.0000
1762169645.7681,26.0000
1762169645.9230,25.0000
1762169646.0864,24.0000
1762169646.2652,25.0000
1762169646.4197,24.0000
1762169646.5936,26.0000
1762169646.7718,23.0000
1762169646.9238,21.0000
1762169647.1060,21.0000
1762169647.2612,25.0000
1762169647.4338,23.0000
1762169647.5886,23.0000
1762169647.7551,20.0000
1762169647.9398,22.0000
1762169648.0941,23.0000
1762169648.2518,23.0000
1762169648.4301,21.0000
1762169648.5850,21.0000
1762169648.7516,21.0000
1762169648.9304,20.0000
1762169649.0841,23.0000
1762169649.2523,23.0000
1762169649.4160,22.0000
1762169649.5939,19.0000
1762169649.7660,21.0000
1762169649.9207,20.0000
1762169650.0944,21.0000
1762169650.2495,20.0000
1762169650.4278,21.0000
1762169650.5814,23.0000
1762169650.7591,22.0000
1762169650.9136,22.0000
1762169651.0923,22.0000
1762169651.2442,19.0000
1762169651.4087,21.0000
1762169651.5838,21.0000
1762169651.7387,19.0000
1762169651.9190,22.0000
1762169652.0746,20.0000
1762169652.2588,24.0000
1762169652.4138,21.0000
1762169652.5919,23.0000
1762169652.7455,23.0000
1762169652.9247,26.0000
1762169653.0777,24.0000
1762169653.2359,19.0000
1762169653.4153,22.0000
1762169653.5701,23.0000
1762169653.7479,23.0000
1762169653.9021,24.0000
1762169654.0805,21.0000
1762169654.2367,22.0000
1762169654.4095,26.0000
1762169654.5689,24.0000
1762169654.7354,23.0000
1762169654.9027,23.0000
1762169655.0808,22.0000
1762169655.2350,20.0000
1762169655.4077,22.0000
1762169655.5862,23.0000
1762169655.7392,21.0000
1762169655.9190,21.0000
1762169656.0731,21.0000
1762169656.2506,22.0000
1762169656.4060,23.0000
1762169656.5755,22.0000
1762169656.7547,23.0000
1762169656.9088,20.0000
1762169657.0876,20.0000
1762169657.2409,24.0000
1762169657.4208,19.0000
1762169657.5751,24.0000
