ros_time_s,Lidar_Left
1762169640.0148,0.9690
1762169640.3192,0.9407
1762169640.5782,0.9616
1762169640.8149,0.9570
1762169641.0455,0.9351
1762169641.2491,0.9559
1762169641.4551,0.9510
1762169641.6346,0.9584
1762169641.8390,0.9528
1762169642.0184,0.9549
1762169642.1994,0.9544
1762169642.3782,0.9517
1762169642.5574,0.9621
1762169642.7362,0.9368
1762169642.8878,0.9649
1762169643.0674,0.9454
1762169643.2472,0.9668
1762169643.4016,0.9532
1762169643.5808,0.9575
1762169643.7363,0.9505
1762169643.9147,0.9705
1762169644.0939,0.9424
1762169644.2551,0.9630
1762169644.4080,0.9638
1762169644.5883,0.9642
1762169644.7419,0.9523
1762169644.9222,0.9719
1762169645.0952,0.9458
1762169645.2573,0.9489
1762169645.4355,0.9396
1762169645.5890,0.9413
1762169645.7681,0.9673
1762169645.9230,0.9727
1762169646.0864,0.9679
1762169646.2652,0.9949
1762169646.4197,0.9971
1762169646.5936,0.9867
1762169646.7718,1.0089
1762169646.9238,1.0249
1762169647.1060,1.0281
1762169647.2612,1.0247
1762169647.4338,1.0353
1762169647.5886,1.0555
1762169647.7551,1.0525
1762169647.9398,1.0638
1762169648.0941,1.1008
1762169648.2518,1.1066
1762169648.4301,1.1020
1762169648.5850,1.1110
1762169648.7516,1.0953
1762169648.9304,1.1119
1762169649.0841,1.1001
1762169649.2523,1.1288
1762169649.4160,1.1178
1762169649.5939,1.1195
1762169649.7660,1.1249
1762169649.9207,1.1322
1762169650.0944,1.1234
1762169650.2495,1.1367
1762169650.4278,1.1288
1762169650.5814,1.1150
1762169650.7591,1.1112
1762169650.9136,1.1281
1762169651.0923,1.1134
1762169651.2442,1.1191
1762169651.4087,1.1197
1762169651.5838,1.1432
1762169651.7387,1.1266
1762169651.9190,1.1379
1762169652.0746,1.1332
1762169652.2588,1.1307
1762169652.4138,1.1331
1762169652.5919,1.1202
1762169652.7455,1.1338
1762169652.9247,1.1296
1762169653.0777,1.1347
1762169653.2359,1.1385
1762169653.4153,1.1446
1762169653.5701,1.1408
1762169653.7479,1.1509
1762169653.9021,1.1037
1762169654.0805,1.1517
1762169654.2367,1.1441
1762169654.4095,1.1514
1762169654.5689,1.1288
1762169654.7354,1.1456
1762169654.9027,1.1520
1762169655.0808,1.1347
1762169655.2350,1.1207
1762169655.4077,1.1385
1762169655.5862,1.1528
1762169655.7392,1.1305
1762169655.9190,1.0940
1762169656.0731,1.1175
1762169656.2506,1.1231
1762169656.4060,1.0971
1762169656.5755,1.1048
1762169656.7547,1.0887
1762169656.9088,1.1002
1762169657.0876,1.1239
1762169657.2409,1.1220
1762169657.4208,1.0895
1762169657.5751,1.0982
1762169657.7531,1.0865
1762169657.9082,1.1017
1762169658.0855,1.1047
1762169658.2396,1.0818
1762169658.4145,1.0908
1762169658.5933,1.0889
1762169658.7407,1.0882
1762169658.9090,1.0705
1762169659.0867,1.1097
1762169659.2431,1.0692
1762169659.4262,1.1070
1762169659.5807,1.1016
1762169659.7604,1.0579
1762169659.9147,1.0988
1762169660.0693,1.0967
1762169660.2574,1.0882
1762169660.4111,1.0994
1762169660.5901,1.1023
1762169660.7460,1.1014
1762169660.9004,1.0959
1762169661.0759,1.0766
1762169661.2387,1.1042
1762169661.4190,1.0714
1762169661.5733,1.0904
1762169661.7520,1.1059
1762169661.9059,1.1214
1762169662.0766,1.0934
1762169662.2321,1.1033
1762169662.4153,1.1129
1762169662.5708,1.1264
1762169662.7243,1.1038
1762169662.9132,1.0907
1762169663.0771,1.0954
1762169663.2304,1.1041
1762169663.4102,1.1153
1762169663.5618,1.0995
1762169663.7402,1.1041
1762169663.8968,1.1170
1762169664.0529,1.0942
1762169664.2326,1.0984
1762169664.4044,1.0772
1762169664.5709,1.0882
1762169664.7240,1.1253
1762169664.8870,1.1231
1762169665.0656,1.0978
1762169665.2183,1.0800
1762169665.3973,1.0968
1762169665.5517,1.0619
1762169665.7300,1.0779
1762169665.8901,1.0910
1762169666.0585,1.0672
1762169666.2159,1.0405
1762169666.3935,1.0442
1762169666.5478,1.0579
1762169666.7278,1.0623
1762169666.8821,1.0639
1762169667.0524,1.0782
1762169667.2102,1.0851
1762169667.3854,1.0974
1762169667.5449,1.0884
1762169667.7213,1.0853
1762169667.8741,1.0810
1762169668.0456,1.0890
1762169668.2064,1.1031
1762169668.3811,1.1118
1762169668.5523,1.1096
1762169668.7033,1.1023
1762169668.8819,1.1109
1762169669.0372,1.1359
1762169669.2095,1.1402
1762169669.3889,1.1372
1762169669.5430,1.1213
1762169669.7063,1.1232
1762169669.8773,1.1052
1762169670.0374,1.1160
1762169670.2112,1.1244
1762169670.3725,1.1347
1762169670.5378,1.1327
1762169670.6955,1.1148
1762169670.8778,1.1156
1762169671.0327,1.1281
1762169671.2028,1.1227
1762169671.3722,1.1101
1762169671.5311,1.1170
1762169671.7061,1.1005
1762169671.8654,1.0949
1762169672.0296,1.0923
1762169672.2060,1.1085
1762169672.3598,1.1305
1762169672.5245,1.1079
1762169672.6915,1.1406
1762169672.8568,1.0998
1762169673.0218,1.0643
1762169673.1900,1.0981
1762169673.3442,1.0963
1762169673.5214,1.0891
1762169673.6858,1.0638
1762169673.8390,1.0832
1762169674.0192,1.0941
1762169674.1808,1.0843
1762169674.3473,1.1010
1762169674.5157,1.0876
1762169674.6676,1.0701
1762169674.8484,1.0904
1762169675.0019,1.0885
1762169675.1803,1.0838
1762169675.3337,1.0905
1762169675.5116,1.0935
1762169675.6772,1.0935
1762169675.8336,1.0843
1762169675.9970,1.1033
1762169676.1732,1.0863
1762169676.3332,1.1174
1762169676.4881,1.1228
1762169676.6717,1.1394
1762169676.8289,1.0914
1762169676.9940,1.1154
1762169677.1653,1.1098
1762169677.3308,1.1200
1762169677.4855,1.1129
1762169677.6692,1.0968
1762169677.8287,1.1084
1762169677.9955,1.0996
1762169678.1597,1.1102
1762169678.3262,1.0974
1762169678.4978,1.1016
1762169678.6539,1.0982
1762169678.8244,1.0959
1762169678.9914,1.1088
1762169679.1620,1.1164
1762169679.3103,1.1226
1762169679.4961,1.1034
1762169679.6576,1.0862
1762169679.8268,1.1084
1762169679.9871,1.0739
1762169680.1539,1.1258
1762169680.3224,1.1024
1762169680.4831,1.0961
1762169680.6546,1.1110
1762169680.8082,1.1118
1762169680.9623,1.1035
1762169681.1447,1.1070
1762169681.2981,1.1031
1762169681.4748,1.0928
1762169681.6438,1.1351
1762169681.8071,1.1305
1762169681.9621,1.1193
1762169682.1399,1.1086
1762169682.3057,1.0786
1762169682.4526,1.1147
1762169682.6306,1.1038
1762169682.7985,1.0551
1762169682.9638,1.1090
1762169683.1069,1.0862
1762169683.2865,1.0959
1762169683.4401,1.0845
1762169683.6234,1.0678
1762169683.7774,1.0777
1762169683.9561,1.0841
1762169684.1003,1.1211
1762169684.2675,1.1088
1762169684.4451,1.1006
