ros_time_s,Vel_Des
1762169643.7534,20.0000
1762169643.7935,36.6400
1762169643.8433,36.6400
1762169643.8941,36.6400
1762169643.9549,36.6600
1762169643.9935,36.6600
1762169644.0431,36.6600
1762169644.0938,36.6600
1762169644.1559,36.6300
1762169644.1937,36.6300
1762169644.2442,36.6300
1762169644.3053,36.6500
1762169644.3438,36.6500
1762169644.3937,36.6500
1762169644.4546,36.6500
1762169644.4935,36.6500
1762169644.5418,36.6500
1762169644.5963,36.6500
1762169644.6419,36.6500
1762169644.6918,36.6500
1762169644.7420,36.6500
1762169644.7976,36.6400
1762169644.8437,36.6400
1762169644.8928,36.6400
1762169644.9556,36.6600
1762169644.9945,36.6600
1762169645.0445,36.6600
1762169645.0945,36.6600
1762169645.1513,36.6400
1762169645.1945,36.6400
1762169645.2445,36.6400
1762169645.3268,36.6400
1762169645.3430,36.6400
1762169645.3941,36.6400
1762169645.4525,36.6300
1762169645.4942,36.6300
1762169645.5445,36.6300
1762169645.6029,36.6300
1762169645.6438,36.6300
1762169645.6943,36.6300
1762169645.7428,36.6300
1762169645.8038,36.6600
1762169645.8436,36.6600
1762169645.8937,36.6600
1762169645.9561,36.6600
1762169645.9937,36.6600
1762169646.0435,36.6600
1762169646.1017,36.6600
1762169646.1434,36.6600
1762169646.1928,36.6600
1762169646.2434,36.6600
1762169646.3038,36.6700
1762169646.3438,36.6700
1762169646.3935,36.6700
1762169646.4557,36.6700
1762169646.4935,36.6700
1762169646.5431,36.6700
1762169646.5938,36.6700
1762169646.6471,36.6600
1762169646.6921,36.6600
1762169646.7420,36.6600
1762169646.7967,36.5700
1762169646.8420,36.5700
1762169646.8921,36.5700
1762169646.9463,36.0500
1762169646.9920,36.0500
1762169647.0439,36.0500
1762169647.0935,36.0500
1762169647.1545,35.9100
1762169647.1929,35.9100
1762169647.2438,35.9100
1762169647.3049,36.0600
1762169647.3427,36.0600
1762169647.3931,36.0600
1762169647.4527,35.5400
1762169647.4937,35.5400
1762169647.5434,35.5400
1762169647.6022,22.1600
1762169647.6439,22.1600
1762169647.6943,22.1600
1762169647.7425,22.1600
1762169647.8061,23.7400
1762169647.8438,23.7400
1762169647.8934,23.7400
1762169647.9571,18.4000
1762169647.9941,18.4000
1762169648.0443,18.4000
1762169648.0937,18.4000
1762169648.1558,-1.6000
1762169648.1938,-3.0700
1762169648.2439,-3.0700
1762169648.3037,-10.0600
1762169648.3445,-10.0600
1762169648.3940,-10.0600
1762169648.4544,-5.8200
1762169648.4947,-5.8200
1762169648.5440,-5.8200
1762169648.6033,-11.9000
1762169648.6441,-11.9000
1762169648.6937,-11.9000
1762169648.7422,-11.9000
1762169648.8023,8.1000
1762169648.8441,8.7300
1762169648.8937,8.7300
1762169648.9551,-11.2700
1762169648.9934,-11.8600
1762169649.0438,-11.8600
1762169649.1041,-0.3200
1762169649.1439,-0.3200
1762169649.1929,-0.3200
1762169649.2437,-0.3200
1762169649.3065,-15.4200
1762169649.3429,-15.4200
1762169649.3935,-15.4200
1762169649.4534,-11.6900
1762169649.4940,-11.6900
1762169649.5439,-11.6900
1762169649.5937,-11.6900
1762169649.6533,-11.6700
1762169649.6929,-11.6700
1762169649.7428,-11.6700
1762169649.8053,-13.8300
1762169649.8432,-13.8300
1762169649.8936,-13.8300
1762169649.9555,-16.8100
1762169649.9938,-16.8100
1762169650.0436,-16.8100
1762169650.0936,-16.8100
1762169650.1561,-13.2000
1762169650.1940,-13.2000
1762169650.2419,-13.2000
1762169650.3035,-18.6200
1762169650.3426,-18.6200
1762169650.3938,-18.6200
1762169650.4527,-15.4000
1762169650.4937,-15.4000
1762169650.5440,-15.4000
1762169650.6041,-11.7500
1762169650.6425,-11.7500
1762169650.6940,-11.7500
1762169650.7440,-11.7500
1762169650.8049,-11.8900
1762169650.8431,-11.8900
1762169650.8939,-11.8900
1762169650.9529,-15.1400
1762169650.9941,-15.1400
1762169651.0436,-15.1400
1762169651.0938,-15.1400
1762169651.1556,-11.8000
1762169651.1938,-11.8000
1762169651.2427,-11.8000
1762169651.3051,-11.6700
1762169651.3439,-11.6700
1762169651.3936,-11.6700
1762169651.4521,-11.6700
1762169651.4935,-11.6700
1762169651.5422,-11.6700
1762169651.6029,-21.4800
1762169651.6428,-21.4800
1762169651.6939,-21.4800
1762169651.7534,-14.5100
1762169651.7939,-14.5100
1762169651.8427,-14.5100
1762169651.8937,-14.5100
1762169651.9481,-19.0900
1762169651.9938,-19.0900
1762169652.0425,-19.0900
1762169652.1045,-17.2000
1762169652.1425,-17.2000
1762169652.1938,-17.2000
1762169652.2435,-17.2000
1762169652.3054,-16.1900
1762169652.3427,-16.1900
1762169652.3938,-16.1900
1762169652.4513,-17.1400
1762169652.4928,-17.1400
1762169652.5429,-17.1400
1762169652.5936,-17.1400
1762169652.6533,-11.7800
1762169652.6938,-11.7800
1762169652.7428,-11.7800
1762169652.8011,-17.4300
1762169652.8424,-17.4300
1762169652.8940,-17.4300
1762169652.9523,-15.7400
1762169652.9940,-15.7400
1762169653.0426,-15.7400
1762169653.1056,-17.8000
1762169653.1433,-17.8000
1762169653.1942,-17.8000
1762169653.2531,-19.3600
1762169653.2943,-19.3600
1762169653.3433,-19.3600
1762169653.3935,-19.3600
1762169653.4521,-22.1800
1762169653.4936,-22.1800
1762169653.5430,-22.1800
1762169653.6055,-20.3700
1762169653.6428,-20.3700
1762169653.6936,-20.3700
1762169653.7442,-20.3700
1762169653.8055,-25.9400
1762169653.8431,-25.9400
1762169653.8947,-25.9400
1762169653.9549,-7.9300
1762169653.9946,-7.9300
1762169654.0429,-7.9300
1762169654.1052,-26.5700
1762169654.1428,-26.5700
1762169654.1939,-26.5700
1762169654.2526,-21.9100
1762169654.2936,-21.9100
1762169654.3431,-21.9100
1762169654.3940,-21.9100
1762169654.4524,-26.3500
1762169654.4943,-26.3500
1762169654.5437,-26.3500
1762169654.6061,-15.4100
1762169654.6447,-15.4100
1762169654.6944,-15.4100
1762169654.7544,-22.7000
1762169654.7944,-22.7000
1762169654.8447,-22.7000
1762169654.8941,-22.7000
1762169654.9521,-26.7500
1762169654.9939,-26.7500
1762169655.0425,-26.7500
1762169655.1053,-17.7800
1762169655.1427,-17.7800
1762169655.1936,-17.7800
1762169655.2532,-11.9900
1762169655.2936,-11.9900
1762169655.3437,-11.9900
1762169655.3931,-11.9900
1762169655.4554,-19.3500
1762169655.4942,-19.3500
1762169655.5443,-19.3500
1762169655.6023,-27.4100
1762169655.6443,-27.4100
1762169655.6938,-27.4100
1762169655.7527,-16.0900
1762169655.7936,-16.0900
1762169655.8445,-16.0900
1762169655.8945,-16.0900
1762169655.9522,3.9100
1762169655.9943,9.6400
1762169656.0431,9.6400
1762169656.1051,-10.3600
1762169656.1425,-11.6900
1762169656.1935,-11.6900
1762169656.2440,-11.6900
1762169656.3067,-13.0700
1762169656.3435,-13.0700
1762169656.3946,-13.0700
1762169656.4552,6.9300
1762169656.4940,7.0500
1762169656.5441,7.0500
1762169656.6045,-8.8000
1762169656.6442,-8.8000
1762169656.6936,-8.8000
1762169656.7443,-8.8000
1762169656.8046,11.2000
1762169656.8440,11.8900
1762169656.8946,11.8900
1762169656.9552,-0.8900
1762169656.9936,-0.8900
1762169657.0429,-0.8900
1762169657.1034,-13.4100
1762169657.1444,-13.4100
1762169657.1936,-13.4100
1762169657.2515,-12.5700
1762169657.2942,-12.5700
1762169657.3448,-12.5700
1762169657.3946,-12.5700
1762169657.4555,7.4300
1762169657.4944,11.9200
1762169657.5435,11.9200
1762169657.6044,5.3500
1762169657.6429,5.3500
1762169657.6949,5.3500
1762169657.7428,5.3500
1762169657.8048,11.8000
1762169657.8428,11.8000
1762169657.8940,11.8000
1762169657.9542,-5.2500
1762169657.9949,-5.2500
1762169658.0431,-5.2500
1762169658.1024,-8.7100
1762169658.1427,-8.7100
1762169658.1936,-8.7100
1762169658.2512,11.2900
1762169658.2934,11.6800
1762169658.3422,11.6800
1762169658.3931,11.6800
1762169658.4517,11.6200
1762169658.4932,11.6200
1762169658.5427,11.6200
1762169658.5935,11.6200
1762169658.6527,11.9000
1762169658.6933,11.9000
1762169658.7521,11.8700
1762169658.7941,11.8700
1762169658.8443,11.8700
1762169658.8940,11.8700
1762169658.9555,15.7100
1762169658.9939,15.7100
1762169659.0441,15.7100
1762169659.1022,-4.2900
1762169659.1441,-11.8400
1762169659.1935,-11.8400
1762169659.2441,-11.8400
1762169659.3061,8.1600
1762169659.3444,16.2300
1762169659.3940,16.2300
1762169659.4510,-3.7700
1762169659.4940,-10.3400
1762169659.5444,-10.3400
1762169659.6041,-5.0300
1762169659.6459,-5.0300
1762169659.6940,-5.0300
1762169659.7442,-5.0300
1762169659.8072,14.9700
1762169659.8431,20.9400
1762169659.8934,20.9400
1762169659.9524,4.1600
1762169659.9943,4.1600
1762169660.0426,4.1600
1762169660.1046,7.4900
1762169660.1429,7.4900
1762169660.1942,7.4900
1762169660.2445,7.4900
1762169660.3049,11.8700
1762169660.3443,11.8700
1762169660.3937,11.8700
1762169660.4542,2.3600
1762169660.4928,2.3600
1762169660.5424,2.3600
1762169660.6025,-6.1800
1762169660.6441,-6.1800
1762169660.6943,-6.1800
1762169660.7437,-6.1800
1762169660.8052,-4.5800
1762169660.8430,-4.5800
1762169660.8944,-4.5800
1762169660.9513,8.2700
1762169660.9940,8.2700
1762169661.0428,8.2700
1762169661.1057,13.2000
1762169661.1430,13.2000
1762169661.1940,13.2000
1762169661.2516,-6.8000
1762169661.2938,-8.3600
1762169661.3429,-8.3600
1762169661.3939,-8.3600
1762169661.4536,11.6400
1762169661.4941,15.3300
1762169661.5423,15.3300
1762169661.6044,11.8000
1762169661.6430,11.8000
1762169661.6941,11.8000
1762169661.7429,11.8000
1762169661.8048,-8.2000
1762169661.8430,-9.5800
1762169661.8938,-9.5800
1762169661.9536,-12.2800
1762169661.9936,-12.2800
1762169662.0426,-12.2800
1762169662.1048,7.7200
1762169662.1431,10.0800
1762169662.1939,10.0800
1762169662.2519,-7.4900
1762169662.2928,-7.4900
1762169662.3437,-7.4900
1762169662.3932,-7.4900
1762169662.4553,-11.8200
1762169662.4937,-11.8200
1762169662.5424,-11.8200
1762169662.6065,-14.4500
1762169662.6425,-14.4500
1762169662.6940,-14.4500
1762169662.7541,-8.0300
1762169662.7943,-8.0300
1762169662.8428,-8.0300
1762169662.8932,-8.0300
1762169662.9540,11.6300
1762169662.9937,11.6300
1762169663.0440,11.6300
1762169663.1043,8.6800
1762169663.1442,8.6800
1762169663.1942,8.6800
1762169663.2529,-8.2400
1762169663.2945,-8.2400
1762169663.3442,-8.2400
1762169663.3938,-8.2400
1762169663.4536,-11.7400
1762169663.4929,-11.7400
1762169663.5439,-11.7400
1762169663.6039,2.0100
1762169663.6432,2.0100
1762169663.6935,2.0100
1762169663.7519,-8.2700
1762169663.7938,-8.2700
1762169663.8440,-8.2700
1762169663.8942,-8.2700
1762169663.9535,-11.7000
1762169663.9942,-11.7000
1762169664.0431,-11.7000
1762169664.1045,8.3000
1762169664.1432,9.5300
1762169664.1941,9.5300
1762169664.2539,5.0300
