ros_time_s,imu_heading
1762169642.5988,0.0000
1762169642.7982,0.0000
1762169642.9996,0.0000
1762169643.2016,0.0000
1762169643.4020,0.0000
1762169643.6023,0.0000
1762169643.8441,0.0000
1762169644.0539,359.9370
1762169644.2649,0.0000
1762169644.4769,0.0000
1762169644.6903,0.0620
1762169644.9001,0.3120
1762169645.1114,0.6870
1762169645.3244,0.9370
1762169645.5251,1.3120
1762169645.7238,2.0630
1762169645.9246,2.9380
1762169646.1241,3.8750
1762169646.3251,5.0620
1762169646.5253,6.3120
1762169646.7259,7.5620
1762169646.9266,8.6880
1762169647.1264,9.6880
1762169647.3271,10.7500
1762169647.5274,11.5630
1762169647.7299,12.3750
1762169647.9432,13.3750
1762169648.1542,14.3130
1762169648.3648,15.0630
1762169648.5773,15.6880
1762169648.7894,16.0000
1762169648.9995,16.2500
1762169649.2130,16.5000
1762169649.4235,16.8750
1762169649.6354,16.8750
1762169649.8477,16.8120
1762169650.0843,16.5000
1762169650.2855,16.2500
1762169650.5176,15.9380
1762169650.7205,15.6880
1762169650.9314,15.3750
1762169651.1679,15.0630
1762169651.3796,14.7500
1762169651.5818,14.2500
1762169651.8164,13.9380
1762169652.0247,13.3750
1762169652.2259,12.6880
1762169652.4266,11.9380
1762169652.6259,11.3750
1762169652.8257,10.9380
1762169653.0371,10.5630
1762169653.2388,10.1250
1762169653.4386,9.6250
1762169653.6682,9.1880
1762169653.8963,8.5630
1762169654.1062,8.1250
1762169654.3178,7.8750
1762169654.5444,7.5000
1762169654.7535,7.1250
1762169654.9636,6.5620
1762169655.1758,5.9370
1762169655.3891,5.3750
1762169655.5887,4.5620
1762169655.8171,4.0620
1762169656.0285,3.7500
1762169656.2413,3.3130
1762169656.4566,2.9380
1762169656.6594,2.6250
1762169656.8955,2.3750
1762169657.1042,2.0630
1762169657.3140,1.8120
1762169657.5259,1.6250
1762169657.7377,1.2500
1762169657.9516,1.0000
1762169658.1616,0.8750
1762169658.3715,0.8750
1762169658.5842,0.6870
1762169658.7957,0.6870
1762169659.0082,0.7500
1762169659.2196,0.6870
1762169659.4317,1.0620
1762169659.6466,1.2500
1762169659.8563,1.5620
1762169660.0680,1.8120
1762169660.2917,2.1250
1762169660.5190,2.5000
1762169660.7286,2.8750
1762169660.9433,3.3130
1762169661.1539,3.3130
1762169661.3662,3.4380
1762169661.5781,3.7500
1762169661.7929,3.7500
1762169662.0020,3.8130
1762169662.2151,3.9380
1762169662.4271,4.0000
1762169662.6389,4.0620
1762169662.8610,4.0620
1762169663.0819,3.7500
1762169663.2959,3.5000
1762169663.5067,3.1250
1762169663.7169,2.7500
1762169663.9289,2.5630
1762169664.1510,2.5000
1762169664.3631,2.2500
1762169664.5740,2.0630
1762169664.7859,2.1250
1762169664.9994,2.3750
1762169665.2107,2.5630
1762169665.4197,2.6880
1762169665.6497,2.9380
1762169665.8609,3.0630
1762169666.0620,3.3130
1762169666.2776,3.5000
1762169666.4900,3.6880
1762169666.7019,4.0000
1762169666.9140,4.5000
1762169667.1499,5.0620
1762169667.3618,5.5620
1762169667.5739,5.9370
1762169667.7851,6.1250
1762169667.9951,6.1250
1762169668.1955,6.5000
1762169668.4259,6.7500
1762169668.6369,7.1250
1762169668.8480,7.5000
1762169669.0598,7.5620
1762169669.2717,7.3750
1762169669.4857,7.3120
1762169669.6960,6.9370
1762169669.8970,6.1870
1762169670.1191,5.5620
1762169670.3443,4.9370
1762169670.5791,4.5620
1762169670.7998,4.2500
1762169671.0117,3.9380
1762169671.2272,3.7500
1762169671.4381,3.3750
1762169671.6396,3.0000
1762169671.8417,2.6880
1762169672.0527,2.3750
1762169672.2633,2.1250
1762169672.4761,2.1250
1762169672.6904,1.9370
1762169672.9015,1.6870
1762169673.1128,1.5000
1762169673.3238,1.3120
1762169673.5362,1.1870
1762169673.7490,1.1250
1762169673.9614,1.2500
1762169674.1639,1.5000
1762169674.3965,1.6870
1762169674.6189,1.8120
1762169674.8312,2.1250
1762169675.0453,2.3750
1762169675.2451,2.8130
1762169675.4455,3.1250
1762169675.6465,3.5630
1762169675.8486,4.0000
1762169676.0486,4.1250
1762169676.2695,4.1870
1762169676.4806,4.2500
1762169676.6953,4.5000
1762169676.9051,4.7500
1762169677.1168,4.6870
1762169677.3291,5.0620
1762169677.5414,5.0620
1762169677.7535,5.0620
1762169677.9664,4.9370
1762169678.1802,4.9370
1762169678.3948,4.8750
1762169678.6032,4.6870
1762169678.8331,4.3750
1762169679.0459,4.1870
1762169679.2577,4.3120
1762169679.4696,4.2500
1762169679.6813,4.1250
1762169679.8960,4.0620
1762169680.1056,4.0000
1762169680.3171,3.8750
1762169680.5460,3.8750
1762169680.7581,3.5630
1762169680.9692,3.3750
1762169681.1705,3.0000
1762169681.3994,2.5630
1762169681.6117,2.0000
1762169681.8227,1.6250
1762169682.0346,1.3750
1762169682.2370,1.3750
1762169682.4448,1.2500
1762169682.6720,1.1870
1762169682.9043,0.8750
1762169683.1161,0.5620
1762169683.3280,0.5000
1762169683.5433,0.3120
1762169683.7522,0.3120
1762169683.9661,0.3120
1762169684.2004,0.5000
1762169684.4122,0.8750
1762169684.6230,1.2500
1762169684.8344,1.3750
1762169685.0464,1.1250
1762169685.2743,0.9370
1762169685.4875,0.6250
1762169685.6990,0.3120
1762169685.9326,0.0000
1762169686.1454,359.9370
1762169686.3542,359.6250
1762169686.5654,359.1870
1762169686.7777,358.8750
1762169686.9882,358.6250
1762169687.1993,358.3750
1762169687.4111,358.1870
1762169687.6491,358.0620
1762169687.8615,358.1250
1762169688.0731,358.0620
1762169688.2844,358.1870
1762169688.4954,358.4370
1762169688.7085,358.6250
1762169688.9196,359.0620
1762169689.1545,359.6250
1762169689.3648,0.5000
1762169689.5725,1.2500
1762169689.7984,1.4370
1762169690.0103,1.6870
1762169690.2119,2.0000
1762169690.4493,2.5000
1762169690.6925,3.1250
1762169690.9026,3.6250
1762169691.1122,3.8130
1762169691.3243,3.8750
1762169691.5393,3.8750
1762169691.7518,3.8130
1762169691.9625,3.5000
1762169692.1741,3.5630
1762169692.3863,3.2500
1762169692.5981,2.8750
1762169692.8096,2.8130
1762169693.0223,2.8130
1762169693.2352,3.0000
1762169693.4473,3.0630
1762169693.6595,3.3130
1762169693.8701,3.3130
1762169694.1005,3.5000
1762169694.3125,3.3750
1762169694.5236,3.0630
1762169694.7357,2.6880
1762169694.9474,2.3750
1762169695.1596,2.1880
