ros_time_s,omega_1
1762169642.5983,0.0000
1762169642.7978,0.0000
1762169642.9995,0.0000
1762169643.2015,0.0000
1762169643.4017,0.0000
1762169643.6022,0.0000
1762169643.8437,0.6170
1762169644.0535,5.4480
1762169644.2645,10.1260
1762169644.4765,14.8240
1762169644.6900,19.6040
1762169644.8996,24.4560
1762169645.1108,29.3180
1762169645.3242,34.1600
1762169645.5246,36.3600
1762169645.7235,36.3600
1762169645.9243,36.3600
1762169646.1236,36.3600
1762169646.3247,36.3600
1762169646.5249,36.3600
1762169646.7257,36.3600
1762169646.9264,36.3600
1762169647.1259,35.4040
1762169647.3266,35.4040
1762169647.5270,35.4040
1762169647.7294,33.8310
1762169647.9429,28.8140
1762169648.1539,23.8080
1762169648.3643,18.7610
1762169648.5765,13.7850
1762169648.7890,8.8410
1762169648.9993,8.4710
1762169649.2125,3.8340
1762169649.4233,-1.1510
1762169649.6352,-6.1470
1762169649.8473,-11.0820
1762169650.0841,-15.9750
1762169650.2853,-15.5840
1762169650.5173,-16.1190
1762169650.7198,-14.5560
1762169650.9307,-12.8400
1762169651.1674,-15.9440
1762169651.3793,-11.6260
1762169651.5813,-12.2330
1762169651.8156,-15.8820
1762169652.0244,-14.5870
1762169652.2256,-17.3830
1762169652.4263,-16.3550
1762169652.6256,-17.4140
1762169652.8254,-14.7930
1762169653.0366,-17.1360
1762169653.2386,-18.3500
1762169653.4383,-19.4390
1762169653.6677,-23.0470
1762169653.8959,-21.1660
1762169654.1059,-22.8730
1762169654.3168,-23.1810
1762169654.5429,-23.1710
1762169654.7531,-24.9180
1762169655.1755,-27.2210
1762169655.3885,-22.9750
1762169655.5882,-19.6760
1762169655.8166,-23.3350
1762169656.0283,-19.0900
1762169656.2411,-14.1660
1762169656.4563,-13.8060
1762169656.6588,-9.0670
1762169656.8935,-8.4190
1762169657.1038,-3.5160
1762169657.3135,-3.8550
1762169657.5256,-8.7690
1762169657.7374,-4.4410
1762169657.9513,0.5760
1762169658.1608,0.1950
1762169658.3707,-3.3620
1762169658.5836,1.6140
1762169658.7953,6.5280
1762169659.0077,11.4410
1762169659.2193,15.0600
1762169659.4314,10.0850
1762169659.6450,9.0980
1762169659.8557,4.1020
1762169660.0675,7.0620
1762169660.2912,7.5870
1762169660.5185,10.3310
1762169660.7284,5.9730
1762169660.9430,0.9150
1762169661.1535,1.2030
1762169661.3657,4.8520
1762169661.5776,1.1000
1762169661.7924,5.9730
1762169662.0015,5.5310
1762169662.2146,1.8090
1762169662.4266,1.3670
1762169662.6386,-3.6290
1762169663.0815,-6.4660
1762169663.2947,-1.5110
1762169663.5060,-3.8140
1762169663.7166,-7.4120
1762169663.9285,-7.8330
1762169664.1505,-10.8450
1762169664.3626,-6.5170
1762169664.5738,-1.5830
1762169664.7855,3.3200
1762169664.9989,1.0180
1762169665.2102,-2.6830
1762169665.4194,2.1900
1762169665.6494,7.2060
1762169665.8606,11.7910
1762169666.0617,11.1540
1762169666.2774,13.8060
1762169666.4896,18.6480
1762169666.7016,22.1320
1762169666.9137,19.1720
1762169667.1496,17.8660
1762169667.3615,13.2920
1762169667.5737,8.3160
1762169667.7846,8.5840
1762169667.9948,10.9380
1762169668.1951,11.7600
1762169668.4256,9.1080
1762169668.6366,4.0810
1762169668.8477,-0.9560
1762169669.0596,-5.9830
1762169669.2716,-11.0100
1762169669.4851,-16.0060
1762169669.6955,-18.5760
1762169669.8965,-13.3020
1762169670.1188,-9.6120
1762169670.3439,-12.9010
1762169670.5787,-16.7660
1762169670.7995,-17.1570
1762169671.0112,-12.5830
1762169671.2268,-14.8950
1762169671.4377,-12.6750
1762169671.6392,-12.3970
1762169671.8413,-11.7700
1762169672.0524,-6.8570
1762169672.2629,-1.9220
1762169672.4758,-4.2970
1762169672.6899,-9.2720
1762169672.9013,-14.2170
1762169673.1123,-13.8980
1762169673.3236,-8.9850
1762169673.5357,-4.1120
1762169673.7486,0.8330
1762169673.9608,5.6950
1762169674.1634,8.9850
1762169674.6187,7.2060
1762169674.8307,11.4410
1762169675.0447,12.9830
1762169675.2446,11.5130
1762169675.4452,11.5130
1762169675.6462,9.8890
1762169675.8484,9.5500
1762169676.0483,11.4830
1762169676.2689,7.7720
1762169676.4801,10.7420
